name,train_wall_sec,file_size_bytes,model_size_bytes,other_artifacts_bytes,gpus,eval_wall_sec,val_bpb,commit_id,run_command
smoke_test_1xh100_10min,600,14678293,14619784,58509,1,10.99,1.3448,45bbccf,"RUN_ID=smoke_test DATA_PATH=./data/datasets/fineweb10B_sp1024/ TOKENIZER_PATH=./data/tokenizers/fineweb_1024_bpe.model VOCAB_SIZE=1024 MAX_WALLCLOCK_SECONDS=600 VAL_LOSS_EVERY=1000 torchrun --standalone --nproc_per_node=1 train_gpt.py"
naive_baseline_1xh100_80min,4800,15871035,15812526,58509,1,10.93,1.2262,7de1e89,"RUN_ID=naive_baseline_1xh100_80min DATA_PATH=./data/datasets/fineweb10B_sp1024/ TOKENIZER_PATH=./data/tokenizers/fineweb_1024_bpe.model VOCAB_SIZE=1024 MAX_WALLCLOCK_SECONDS=4800 VAL_LOSS_EVERY=200 torchrun --standalone --nproc_per_node=1 train_gpt.py"
mamba_v1_loop_scan_10min,600,11054744,11030172,24572,1,39.13,1.5991,506e016,"MAX_WALLCLOCK_SECONDS=600 python -m mamba.train (sequential loop scan, 400 steps @ 1503ms)"
mamba_v2_vectorized_scan_10min,600,14111443,14086871,24572,1,20.06,1.3914,c04b02a,"MAX_WALLCLOCK_SECONDS=600 python -m mamba.train (vectorized matmul scan, 1032 steps @ 581ms)"
mamba_v3_dstate8_cs128_10min,600,13142909,13118337,24572,1,20.07,1.3921,c04b02a,"SSM_STATE_DIM=8 SSM_CHUNK_SIZE=128 MAX_WALLCLOCK_SECONDS=600 python -m mamba.train (1028 steps @ 583ms)"
mamba_80min_v1_wd6000,4800,17222280,17197848,24432,1,20.04,1.2728,d3fdfe6,"WARMDOWN_ITERS=6000 MATRIX_LR=0.03 SCALAR_LR=0.03 TIED_EMBED_LR=0.04 (8248 steps @ 582ms, OVER 16MB LIMIT!)"
mamba_80min_v2_dstate8_seq2048,4800,16045767,16021335,24432,1,19.81,1.2586,fee4fdc,"SSM_STATE_DIM=8 TRAIN_SEQ_LEN=2048 WARMDOWN_ITERS=8000 MATRIX_LR=0.03 (8210 steps @ 585ms, ~16.0MB borderline)"
mamba_80min_v3_extremewd,4800,13037507,13013075,24432,1,19.81,1.2565,bb81969,"SSM_STATE_DIM=8 TRAIN_SEQ_LEN=2048 WARMDOWN_ITERS=20000 MATRIX_LR=0.02 (8209 steps @ 585ms, 13.0MB, quant_dmg=0.004)"
mamba_80min_v4_12layers,4800,14887498,14863066,24432,1,23.98,1.2519,509a27f,"NUM_LAYERS=12 ATTN=9,11 SSM_STATE_DIM=8 SEQ=2048 WD=20000 LR=0.02 (6772 steps @ 709ms, 14.9MB, BEST)"
mamba_80min_v5_13layers,4800,15756898,15732466,24432,1,26.12,1.2529,c15cdd0,"NUM_LAYERS=13 ATTN=10,12 SSM_STATE_DIM=8 SEQ=2048 WD=20000 LR=0.02 (6218 steps @ 772ms, 15.7MB, worse than 12L)"
transformer_v1_10L_seq2048,4800,17021666,16963154,58512,1,13.90,1.1910,98bc404,"10L SEQ=2048 WD=20000 LR=0.02 Muon=0.99 (11056 steps @ 434ms, 17.0MB OVER LIMIT, beats baseline by 0.035)"
transformer_v2_slide64,4800,17049344,16985432,63912,1,1187.10,1.1700,394c4dd,"v1 + sliding window stride=64 (free -0.021 bpb from eval, 17.0MB OVER LIMIT)"
transformer_v3_9L,4800,15417209,15353297,63912,1,1077.53,1.1778,a75e9c8,"9L (single change from v2: drop 1 layer) + slide64 (12022 steps @ 399ms, 15.4MB VALID)"
