step,lr,loss,smoothed_loss,bpb
0,1e-06,5.746400833129883,5.746400833129883,8.29030398491669
1,1.0592537251772888e-06,5.730817794799805,5.745621681213379,8.28917990631065
2,1.1220184543019633e-06,5.697820663452148,5.743231630325318,8.285731791746972
3,1.1885022274370182e-06,5.685612678527832,5.740350682735443,8.281575462945998
4,1.258925411794167e-06,5.636064529418945,5.735136375069617,8.274052807134842
5,1.3335214321633237e-06,5.6138811111450195,5.729073611873386,8.265306088737557
6,1.412537544622754e-06,5.581948280334473,5.72171734529644,8.254693239427539
7,1.496235656094433e-06,5.5399370193481445,5.712628328999025,8.2415805606887
8,1.5848931924611132e-06,5.494909763336182,5.701742400715883,8.225875485939138
9,1.67880401812256e-06,5.4705071449279785,5.690180637926487,8.209195388098943
10,1.7782794100389225e-06,5.423997402191162,5.676871476139721,8.189994326390785
11,1.8836490894898001e-06,5.3787522315979,5.66196551391263,8.168489568606082
12,1.995262314968879e-06,5.351342678070068,5.646434372120502,8.146082867363235
13,2.113489039836646e-06,5.285963535308838,5.628410830279918,8.120080392930571
14,2.238721138568339e-06,5.258988857269287,5.609939731629386,8.093432230507679
15,2.3713737056616544e-06,5.209814548492432,5.589933472472539,8.064569299635355
16,2.5118864315095793e-06,5.16678524017334,5.568776060857578,8.034045606820404
17,2.660725059798809e-06,5.134698390960693,5.547072177362734,8.002733521734362
18,2.818382931264453e-06,5.080190658569336,5.523728101423064,7.969055139142064
19,2.985382618917959e-06,5.0486555099487305,5.499974471849347,7.934785895552949
20,3.1622776601683788e-06,5.0040764808654785,5.475179572300153,7.899014416933986
21,3.349654391578276e-06,4.944835186004639,5.4486623529853775,7.860758156130395
22,3.5481338923357538e-06,4.897998809814453,5.421129175826831,7.821036177983842
23,3.758374042884441e-06,4.877259731292725,5.393935703600126,7.781804290457823
24,3.981071705534972e-06,4.824748992919922,5.365476368066115,7.74074614821591
25,4.2169650342858216e-06,4.771452903747559,5.335775194850187,7.697896412908707
26,4.46683592150963e-06,4.739761829376221,5.305974526576488,7.654903136575065
27,4.731512589614804e-06,4.700870990753174,5.275719349785323,7.6112541430572325
28,5.011872336272722e-06,4.628276824951172,5.243347223543616,7.564551037065289
29,5.308844442309882e-06,4.603919982910156,5.211375861511942,7.518426111611729
30,5.6234132519034895e-06,4.578232288360596,5.179718682854374,7.472754456953919
31,5.9566214352901035e-06,4.520138740539551,5.146739685738633,7.425175821361548
32,6.309573444801931e-06,4.459828853607178,5.11239414413206,7.3756256788091
33,6.683439175686145e-06,4.438433647155762,5.078696119283245,7.327009705471962
34,7.0794578438413775e-06,4.360049247741699,5.0427637757061685,7.275170291585795
35,7.498942093324556e-06,4.329338073730469,5.007092490607383,7.223707505471641
36,7.943282347242813e-06,4.301845550537109,4.971830143603869,7.172834692319565
37,8.41395141645195e-06,4.258784294128418,4.936177851130096,7.1213993067713295
38,8.912509381337454e-06,4.188373565673828,4.898787636857283,7.067456630062167
39,9.440608762859234e-06,4.174614906311035,4.86257900032997,7.015218609706861
40,9.999999999999999e-06,4.138586044311523,4.826379352529047,6.962993557342543
41,1.0592537251772888e-05,4.0830078125,4.789210775527595,6.909370635625648
42,1.1220184543019633e-05,4.067357063293457,4.753118089915888,6.8572998970812735
43,1.1885022274370183e-05,4.029993057250977,4.716961838282642,6.805137452152857
44,1.2589254117941671e-05,4.006023406982422,4.681414916717631,6.753854084692146
45,1.3335214321633239e-05,3.9560439586639404,4.645146368814946,6.701529630492699
46,1.4125375446227541e-05,3.9381439685821533,4.609796248803306,6.650530187657076
47,1.4962356560944333e-05,3.8797178268432617,4.573292327705304,6.597866161715987
48,1.5848931924611134e-05,3.8593125343322754,4.537593338036652,6.546363406356276
49,1.67880401812256e-05,3.826350450515747,4.502031193660607,6.495058077021579
50,1.7782794100389226e-05,3.829157829284668,4.468387525441811,6.446520523725008
51,1.8836490894898004e-05,3.796945095062256,4.434815403922833,6.398086190497457
52,1.9952623149688796e-05,3.7609269618988037,4.401120981821632,6.349475414826434
53,2.113489039836647e-05,3.7185449600219727,4.366992180731648,6.300237962742429
54,2.2387211385683396e-05,3.7303671836853027,4.33516093087933,6.254315176435192
55,2.3713737056616554e-05,3.683100938796997,4.302557931275214,6.207278990588228
56,2.51188643150958e-05,3.667729616165161,4.27081651551971,6.161485807486969
57,2.6607250597988098e-05,3.676905632019043,4.241120971344677,6.11864419316915
58,2.8183829312644542e-05,3.641789436340332,4.21115439459446,6.075411561499193
59,2.98538261891796e-05,3.6341922283172607,4.1823062862806,6.033792538695759
60,3.1622776601683795e-05,3.662496566772461,4.156315800305193,5.996296193468745
61,3.349654391578277e-05,3.614478349685669,4.129223927774216,5.9572108833199096
62,3.548133892335755e-05,3.5858516693115234,4.102055314851081,5.918014860187871
63,3.758374042884442e-05,3.561441421508789,4.075024620183966,5.87901781103984
64,3.981071705534973e-05,3.5884008407592773,4.050693431212732,5.843915325372108
65,4.216965034285823e-05,3.600681781768799,4.028192848740535,5.811453846622357
66,4.4668359215096314e-05,3.5513603687286377,4.00435122473994,5.777057653909959
67,4.731512589614805e-05,3.5455851554870605,3.981412921277296,5.7439646772579955
68,5.011872336272723e-05,3.5252115726470947,3.9586028538457856,5.711056706092213
69,5.308844442309884e-05,3.533205032348633,3.937332962770928,5.680370739718268
70,5.6234132519034914e-05,3.504526138305664,3.915692621547665,5.649150326752321
71,5.9566214352901055e-05,3.503429889678955,3.895079484954229,5.619411856811804
72,6.309573444801933e-05,3.45327091217041,3.872989056315038,5.587542104962932
73,6.683439175686147e-05,3.4281909465789795,3.8507491508282348,5.555456703607281
74,7.07945784384138e-05,3.3970980644226074,3.828066596507953,5.522732694974716
75,7.498942093324559e-05,3.377316474914551,3.8055290904282826,5.490217946719571
76,7.943282347242815e-05,3.3112993240356445,3.780817602108651,5.454566805067853
77,8.413951416451952e-05,3.2727537155151367,3.7554144077789746,5.41791774258569
78,8.912509381337456e-05,3.2371249198913574,3.7294999333845937,5.380531058889673
79,9.440608762859235e-05,3.2365458011627197,3.7048522267735,5.344971934792562
80,0.0001,3.203537940979004,3.6797865124837745,5.3088097530904355
81,0.00010592537251772889,3.148742198944092,3.65323429680679,5.270503003208636
82,0.00011220184543019634,3.1691246032714844,3.6290288121300245,5.235581870503152
83,0.00011885022274370185,3.0891876220703125,3.6020367526270385,5.1966405601148145
84,0.00012589254117941672,3.128645896911621,3.5783672098412675,5.162492628117674
85,0.0001333521432163324,3.0369362831115723,3.5512956635047823,5.123436642468831
86,0.00014125375446227543,3.096482992172241,3.5285550299381554,5.090628843195585
87,0.00014962356560944336,3.0389461517333984,3.504074586027917,5.055311028167523
88,0.00015848931924611136,2.976226329803467,3.4776821732166945,5.017234825087678
89,0.00016788040181225605,3.0702176094055176,3.457308945026136,4.987842469810261
90,0.0001778279410038923,2.9830000400543213,3.433593499777545,4.953628314557644
91,0.00018836490894898008,2.9132883548736572,3.40757824253235,4.916096231942551
92,0.00019952623149688798,2.9909849166870117,3.386748576240083,4.886045375679325
93,0.0002113489039836647,2.9188122749328613,3.363351761174722,4.852290906611933
94,0.000223872113856834,2.916476249694824,3.341007985600727,4.8200556523965945
95,0.00023713737056616557,2.882962226867676,3.3181056976640746,4.787014635165375
96,0.00025118864315095806,2.863020896911621,3.295351457626452,4.754187205903899
97,0.000266072505979881,2.8874287605285645,3.2749553227715573,4.724761803295441
98,0.0002818382931264454,2.8000967502593994,3.251212394145949,4.690507997911094
99,0.00029853826189179595,2.851012706756592,3.231202409776481,4.661639692692997
100,0.00031622776601683794,2.8085031509399414,3.2100674468346537,4.631148386467451
101,0.00033496543915782767,2.792314052581787,3.18917977712201,4.601013848957294
102,0.0003548133892335755,2.779336452484131,3.168687610890116,4.571449902357468
103,0.0003758374042884442,2.851027250289917,3.152804592860106,4.548535551011223
104,0.0003981071705534973,2.7654314041137695,3.1334359334227893,4.520592482092338
105,0.0004216965034285823,2.7890000343322754,3.1162141384682633,4.495746683916237
106,0.00044668359215096316,2.801813840866089,3.1004941235881542,4.473067496406003
107,0.0004731512589614805,2.746891498565674,3.08281399233703,4.44756045872774
108,0.0005011872336272723,2.7210066318511963,3.0647236243127383,4.4214615744912384
109,0.0005308844442309884,2.7603366374969482,3.049504274971949,4.399504694671725
110,0.0005623413251903491,2.701083183288574,3.03208322038778,4.374371425616088
111,0.0005956621435290105,2.785149574279785,3.01973653808238,4.356558928282656
112,0.0006309573444801932,2.6884453296661377,3.0031719776615677,4.332661319109045
113,0.0006683439175686146,2.7269363403320312,2.989360195795091,4.312735129904438
114,0.0007079457843841379,2.6635353565216064,2.9730689538314166,4.289231835913523
115,0.0007498942093324559,2.6757001876831055,2.958200515524001,4.267781213701651
116,0.0007943282347242815,2.703563690185547,2.945468674257078,4.249413049444477
117,0.0008413951416451951,2.6850154399871826,2.9324460125435836,4.230625319971243
118,0.0008912509381337456,2.66025710105896,2.918836566969352,4.210991040332051
119,0.0009440608762859234,2.6939568519592285,2.9075925812188457,4.194769397849969
120,0.001,2.728360414505005,2.8986309728831534,4.181840529945677
121,0.001059253725177289,2.7378406524658203,2.890591456862287,4.170241960051225
122,0.0011220184543019635,2.6773147583007812,2.879927621934211,4.154857298283632
123,0.0011885022274370186,2.6933581829071045,2.870599149982856,4.14139915806034
124,0.0012589254117941673,2.7054405212402344,2.8623412185457244,4.12948548132799
125,0.001333521432163324,2.651977062225342,2.851823010729705,4.114310915072779
126,0.0014125375446227544,2.6406702995300293,2.841265375169721,4.099079466606876
127,0.0014962356560944336,2.624429702758789,2.8304235915491747,4.083438079143123
128,0.0015848931924611136,2.5984983444213867,2.8188273291927852,4.066708208948713
129,0.0016788040181225604,2.644817590713501,2.810126842268821,4.05415605961019
130,0.001778279410038923,2.6774420738220215,2.8034926038464807,4.044584876738205
131,0.0018836490894898008,2.713705062866211,2.799003226797467,4.0381080747329126
132,0.00199526231496888,2.7019283771514893,2.794149484315168,4.0311056045239475
133,0.002113489039836647,2.6532859802246094,2.78710630911064,4.020944450584262
134,0.00223872113856834,2.6667962074279785,2.7810908040265065,4.012265911230941
135,0.0023713737056616554,2.6804981231689453,2.7760611699836284,4.005009683139795
136,0.0025118864315095803,2.6693596839904785,2.7707260956839708,3.9973127979049043
137,0.00266072505979881,2.797511577606201,2.772065369780082,3.999244962001755
138,0.0028183829312644544,2.7276391983032227,2.769844061206239,3.9960402911379878
139,0.0029853826189179603,2.7113146781921387,2.7669175920555342,3.991818288606951
140,0.00316227766016838,2.702651023864746,2.7637042636459945,3.9871824356457606
141,0.0033496543915782773,2.7153329849243164,2.7612856997099104,3.9836931854490993
142,0.0035481338923357554,2.77034330368042,2.7617385799084357,3.9843465534656284
143,0.0037583740428844426,2.782203197479248,2.7627618107869765,3.9858227635797836
144,0.003981071705534973,2.9213247299194336,2.770689956743599,3.997260660434847
145,0.004216965034285824,2.8662586212158203,2.77546838996721,4.00415448234977
146,0.004466835921509632,2.8064794540405273,2.777018943170876,4.006391457767333
147,0.004731512589614806,2.787360668182373,2.777536029421451,4.00713745553675
148,0.005011872336272724,2.771089792251587,2.7772137175629577,4.006672457816881
149,0.005308844442309884,2.736722946166992,2.7751891789931595,4.003751666062145
150,0.005623413251903492,2.781545400619507,2.7755069900744767,4.004210170533101
151,0.005956621435290106,2.696136951446533,2.7715384881430793,3.9984848324769158
152,0.006309573444801934,2.7021453380584717,2.768068830638849,3.9934791748019793
153,0.006683439175686147,2.7500853538513184,2.767169656799472,3.9921819411630133
154,0.00707945784384138,2.7358341217041016,2.7656028800447037,3.989921560108729
155,0.00749894209332456,2.6862213611602783,2.761633804100482,3.9841953939270884
156,0.007943282347242817,2.7184929847717285,2.759476763134044,3.9810834416218146
157,0.008413951416451954,2.6998965740203857,2.756497753678361,3.976785639453339
158,0.008912509381337459,2.7124032974243164,2.7542930308656586,3.9736048967849182
159,0.009440608762859237,2.708285331726074,2.751992645908679,3.970286142815348
160,0.010000000000000004,2.7307703495025635,2.7509315310883733,3.9687552777262796
161,0.010592537251772893,2.665858745574951,2.746677891812702,3.962618573437538
162,0.011220184543019639,2.7230210304260254,2.745495048743368,3.96091209160726
163,0.01188502227437019,2.7329564094543457,2.7448681167789166,3.9600076199711713
164,0.012589254117941678,2.6998343467712402,2.742616428278533,3.956759120138041
165,0.013335214321633248,2.7273287773132324,2.741852045730268,3.9556563492263175
166,0.01412537544622755,2.6744608879089355,2.7384824878392013,3.950795104766887
167,0.014962356560944343,2.7150745391845703,2.7373120904064696,3.9491065781948156
168,0.015848931924611145,2.695732593536377,2.7352331155629646,3.946107251497958
169,0.016788040181225615,2.7362780570983887,2.7352853626397358,3.946182628096517
170,0.01778279410038924,2.729045867919922,2.7349733879037452,3.9457325436920208
171,0.018836490894898018,2.712254524230957,2.7338374447201055,3.9440937240942517
172,0.01995262314968881,2.73464298248291,2.7338777216082453,3.9441518313610335
173,0.021134890398366482,2.7711589336395264,2.7357417822098093,3.9468411023468266
174,0.022387211385683413,2.7953126430511475,2.7387203252518764,3.951138231622691
175,0.02371373705661657,2.7332983016967773,2.738449224074121,3.9507471152979643
176,0.025118864315095822,2.8115732669830322,2.7421054262195668,3.9560219000016863
177,0.02660725059798812,2.821104049682617,2.746055357392719,3.961720446117046
178,0.028183829312644564,2.7824440002441406,2.7478747895352904,3.9643453318463675
179,0.029853826189179623,2.7907028198242188,2.750016191049737,3.967434721191812
180,0.03162277660168382,2.7626044750213623,2.750645605248318,3.96834277393477
181,0.033496543915782793,2.81366229057312,2.753796439514558,3.9728884669053373
182,0.03548133892335757,2.843179702758789,2.7582656026767696,3.9793361064363837
183,0.037583740428844443,2.8203890323638916,2.7613717741611254,3.9838173646330146
184,0.039810717055349755,2.8102517127990723,2.7638157710930225,3.98734330688661
185,0.04216965034285826,2.8655431270599365,2.768902138891368,3.9946813844854203
186,0.04466835921509635,2.85056209564209,2.7729851367289036,4.000571905217593
187,0.047315125896148086,2.8715591430664062,2.7779138370457783,4.0076825167227765
188,0.05011872336272727,2.8516557216644287,2.781600931276711,4.013001869285033
189,0.05308844442309888,2.864983081817627,2.7857700388037565,4.019016620039235
190,0.05623413251903496,2.9450175762176514,2.7937324156744507,4.030503901664274
191,0.0595662143529011,2.919628381729126,2.800027213977184,4.039585375959024
192,0.06309573444801939,2.8100805282592773,2.8005298796912883,4.040310569291987
193,0.06683439175686152,2.8794074058532715,2.8044737559993873,4.046000380083561
194,0.07079457843841386,2.893594264984131,2.808929781448624,4.05242906590125
195,0.07498942093324565,2.8347136974334717,2.8102189772478665,4.054288982287551
196,0.07943282347242822,2.880298137664795,2.813722935268713,4.05934412514771
197,0.08413951416451959,2.8470640182495117,2.8153899894177528,4.061749175901423
198,0.08912509381337463,2.821046829223633,2.8156728314080466,4.062157230638175
199,0.09440608762859243,2.7854714393615723,2.8141627618057226,4.059978660711505
