step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,26.9,4.743212,6.843008,,,3.30e-05
20,50.5,3.706647,5.347562,,,6.30e-05
30,74.1,3.449399,4.976431,,,9.30e-05
40,97.7,3.184004,4.593547,,,1.23e-04
50,121.4,2.976007,4.293471,,,1.53e-04
60,145.1,2.825015,4.075635,,,1.83e-04
70,168.7,2.732781,3.942570,,,2.13e-04
80,192.4,2.668590,3.849961,,,2.43e-04
90,216.1,2.622091,3.782878,,,2.73e-04
100,239.7,2.614388,3.771764,,,3.00e-04
100,260.5,,,2.598610,3.749002,3.00e-04
110,284.2,2.591716,3.739056,,,2.96e-04
120,307.9,2.587094,3.732387,,,2.86e-04
130,331.5,2.570263,3.708105,,,2.69e-04
140,355.2,2.576430,3.717003,,,2.46e-04
150,378.8,2.564860,3.700310,,,2.19e-04
160,402.5,2.553800,3.684354,,,1.89e-04
170,426.1,2.551560,3.681123,,,1.57e-04
180,449.8,2.555370,3.686620,,,1.24e-04
190,473.4,2.543180,3.669033,,,9.26e-05
200,497.1,2.535560,3.658039,,,6.40e-05
200,517.9,,,2.533202,3.654637,6.40e-05
210,541.5,2.537884,3.661393,,,3.94e-05
220,565.2,2.535706,3.658251,,,2.01e-05
230,588.8,2.524432,3.641986,,,6.94e-06
236,621.4,,,2.517129,3.631450,0
