1

[AI OS] Training (Time Limit: 10 min)...
step    0 | batch 64 | loss 6.1952 | Left: 10.0 min
step   20 | batch 64 | loss 4.4763 | Left: 9.6 min
step   40 | batch 64 | loss 4.0720 | Left: 9.4 min
step   60 | batch 64 | loss 3.8281 | Left: 9.3 min
step   80 | batch 64 | loss 3.7321 | Left: 9.1 min
step  100 | batch 64 | loss 3.6082 | Left: 9.0 min
step  120 | batch 64 | loss 3.5592 | Left: 8.8 min
step  140 | batch 64 | loss 3.5184 | Left: 8.7 min
step  160 | batch 64 | loss 3.4062 | Left: 8.6 min
step  180 | batch 128 | loss 3.4071 | Left: 7.3 min
step  200 | batch 128 | loss 3.3320 | Left: 7.2 min
step  220 | batch 128 | loss 3.2719 | Left: 7.1 min
step  240 | batch 128 | loss 3.2631 | Left: 7.0 min
step  260 | batch 128 | loss 3.2300 | Left: 6.9 min
step  280 | batch 128 | loss 3.2132 | Left: 6.8 min
step  300 | batch 128 | loss 3.1927 | Left: 6.7 min
step  320 | batch 128 | loss 3.1558 | Left: 6.7 min
step  340 | batch 128 | loss 3.1347 | Left: 6.6 min
step  360 | batch 128 | loss 3.1359 | Left: 6.5 min
step  380 | batch 128 | loss 3.1286 | Left: 6.4 min
step  400 | batch 128 | loss 3.0694 | Left: 6.3 min
step  420 | batch 128 | loss 3.0637 | Left: 6.2 min
step  440 | batch 128 | loss 3.0742 | Left: 6.1 min
step  460 | batch 128 | loss 3.0537 | Left: 6.0 min
step  480 | batch 128 | loss 2.9896 | Left: 5.9 min
step  500 | batch 128 | loss 3.0263 | Left: 5.8 min
step  520 | batch 128 | loss 2.9728 | Left: 5.8 min
step  540 | batch 128 | loss 3.0042 | Left: 5.7 min
step  560 | batch 128 | loss 2.9885 | Left: 5.6 min
step  580 | batch 192 | loss 2.9122 | Left: 5.0 min
step  600 | batch 192 | loss 2.8756 | Left: 5.0 min
step  620 | batch 192 | loss 2.8334 | Left: 4.9 min
step  640 | batch 192 | loss 2.8269 | Left: 4.8 min
step  660 | batch 192 | loss 2.8483 | Left: 4.7 min
step  680 | batch 192 | loss 2.8099 | Left: 4.6 min
step  700 | batch 192 | loss 2.8391 | Left: 4.6 min
step  720 | batch 192 | loss 2.8085 | Left: 4.5 min
step  740 | batch 192 | loss 2.7977 | Left: 4.4 min
step  760 | batch 192 | loss 2.8169 | Left: 4.3 min
step  780 | batch 192 | loss 2.7730 | Left: 4.3 min
step  800 | batch 192 | loss 2.7593 | Left: 4.2 min
step  820 | batch 192 | loss 2.7661 | Left: 4.1 min
step  840 | batch 192 | loss 2.7543 | Left: 4.0 min
step  860 | batch 192 | loss 2.7508 | Left: 4.0 min
step  880 | batch 192 | loss 2.7250 | Left: 3.9 min
step  900 | batch 192 | loss 2.7501 | Left: 3.8 min
step  920 | batch 192 | loss 2.7017 | Left: 3.7 min
step  940 | batch 192 | loss 2.7141 | Left: 3.7 min
step  960 | batch 192 | loss 2.6675 | Left: 3.6 min
step  980 | batch 192 | loss 2.7105 | Left: 3.5 min
step 1000 | batch 192 | loss 2.6949 | Left: 3.4 min
step 1020 | batch 192 | loss 2.6840 | Left: 3.4 min
step 1040 | batch 192 | loss 2.7072 | Left: 3.3 min
step 1060 | batch 192 | loss 2.6651 | Left: 3.2 min
step 1080 | batch 192 | loss 2.6443 | Left: 3.1 min
step 1100 | batch 192 | loss 2.6414 | Left: 3.1 min
step 1120 | batch 192 | loss 2.6875 | Left: 3.0 min
step 1140 | batch 192 | loss 2.6697 | Left: 2.9 min
step 1160 | batch 192 | loss 2.6878 | Left: 2.8 min
step 1180 | batch 192 | loss 2.6366 | Left: 2.8 min
step 1200 | batch 192 | loss 2.6567 | Left: 2.7 min
step 1220 | batch 192 | loss 2.6442 | Left: 2.6 min
step 1240 | batch 192 | loss 2.6397 | Left: 2.5 min
step 1260 | batch 192 | loss 2.6442 | Left: 2.5 min
step 1280 | batch 192 | loss 2.6635 | Left: 2.4 min
step 1300 | batch 192 | loss 2.6220 | Left: 2.3 min
step 1320 | batch 192 | loss 2.6631 | Left: 2.2 min
step 1340 | batch 192 | loss 2.6223 | Left: 2.1 min
step 1360 | batch 192 | loss 2.6434 | Left: 2.1 min
step 1380 | batch 192 | loss 2.6008 | Left: 2.0 min
step 1400 | batch 192 | loss 2.5830 | Left: 1.9 min
step 1420 | batch 192 | loss 2.5798 | Left: 1.8 min
step 1440 | batch 192 | loss 2.6243 | Left: 1.8 min
step 1460 | batch 192 | loss 2.6006 | Left: 1.7 min
step 1480 | batch 192 | loss 2.5932 | Left: 1.6 min
step 1500 | batch 192 | loss 2.6084 | Left: 1.5 min
step 1520 | batch 192 | loss 2.6018 | Left: 1.5 min
step 1540 | batch 192 | loss 2.5787 | Left: 1.4 min
step 1560 | batch 192 | loss 2.5988 | Left: 1.3 min
step 1580 | batch 192 | loss 2.6204 | Left: 1.2 min
step 1600 | batch 192 | loss 2.5972 | Left: 1.2 min
step 1620 | batch 192 | loss 2.5860 | Left: 1.1 min
step 1640 | batch 192 | loss 2.6170 | Left: 1.0 min
step 1660 | batch 192 | loss 2.5514 | Left: 0.9 min
step 1680 | batch 192 | loss 2.5951 | Left: 0.9 min
step 1700 | batch 192 | loss 2.5735 | Left: 0.8 min
step 1720 | batch 192 | loss 2.5855 | Left: 0.7 min
step 1740 | batch 192 | loss 2.5743 | Left: 0.6 min
step 1760 | batch 192 | loss 2.5845 | Left: 0.6 min
step 1780 | batch 192 | loss 2.5609 | Left: 0.5 min
step 1800 | batch 192 | loss 2.5451 | Left: 0.4 min
step 1820 | batch 192 | loss 2.5339 | Left: 0.3 min
step 1840 | batch 192 | loss 2.5645 | Left: 0.3 min
step 1860 | batch 192 | loss 2.5548 | Left: 0.2 min
step 1880 | batch 192 | loss 2.5453 | Left: 0.1 min
step 1900 | batch 192 | loss 2.5105 | Left: 0.0 min

========================================
🏆 Final BPB: 1.0288
========================================



2. [AI OS] Training (Time Limit: 10 min)...
step    0 | batch 64 | loss 6.2268 | Left: 10.0 min
step   20 | batch 64 | loss 4.5761 | Left: 9.8 min
step   40 | batch 64 | loss 4.1437 | Left: 9.7 min
step   60 | batch 64 | loss 3.8854 | Left: 9.5 min
step   80 | batch 64 | loss 3.7616 | Left: 9.4 min
step  100 | batch 64 | loss 3.6065 | Left: 9.2 min
step  120 | batch 64 | loss 3.5434 | Left: 9.1 min
step  140 | batch 64 | loss 3.5102 | Left: 9.0 min
step  160 | batch 64 | loss 3.4445 | Left: 8.8 min
step  180 | batch 64 | loss 3.4298 | Left: 8.7 min
step  200 | batch 64 | loss 3.4168 | Left: 8.5 min
step  220 | batch 128 | loss 3.3029 | Left: 8.4 min
step  240 | batch 128 | loss 3.2979 | Left: 8.3 min
step  260 | batch 128 | loss 3.2353 | Left: 8.2 min
step  280 | batch 128 | loss 3.2257 | Left: 8.1 min
step  300 | batch 128 | loss 3.2409 | Left: 8.1 min
step  320 | batch 128 | loss 3.1755 | Left: 8.0 min
step  340 | batch 128 | loss 3.1611 | Left: 7.9 min
step  360 | batch 128 | loss 3.1047 | Left: 7.8 min
step  380 | batch 128 | loss 3.1113 | Left: 7.7 min
step  400 | batch 128 | loss 3.1057 | Left: 7.6 min
step  420 | batch 128 | loss 3.0886 | Left: 7.5 min
step  440 | batch 128 | loss 3.0285 | Left: 7.4 min
step  460 | batch 128 | loss 3.0426 | Left: 7.3 min
step  480 | batch 128 | loss 3.0220 | Left: 7.3 min
step  500 | batch 128 | loss 3.0167 | Left: 7.2 min
step  520 | batch 128 | loss 3.0057 | Left: 7.1 min
step  540 | batch 128 | loss 2.9720 | Left: 7.0 min
step  560 | batch 128 | loss 2.9622 | Left: 6.9 min
step  580 | batch 128 | loss 2.9422 | Left: 6.8 min
step  600 | batch 128 | loss 2.9583 | Left: 6.7 min
step  620 | batch 128 | loss 2.9063 | Left: 6.6 min
step  640 | batch 128 | loss 2.9541 | Left: 6.5 min
step  660 | batch 128 | loss 2.8979 | Left: 6.5 min
step  680 | batch 128 | loss 2.9179 | Left: 6.4 min
step  700 | batch 128 | loss 2.9076 | Left: 6.3 min
step  720 | batch 128 | loss 2.9087 | Left: 6.2 min
step  740 | batch 128 | loss 2.8959 | Left: 6.1 min
step  760 | batch 128 | loss 2.8641 | Left: 6.0 min
step  780 | batch 128 | loss 2.9005 | Left: 5.9 min
step  800 | batch 128 | loss 2.9009 | Left: 5.8 min
step  820 | batch 128 | loss 2.8916 | Left: 5.7 min
step  840 | batch 128 | loss 2.8598 | Left: 5.7 min
step  860 | batch 128 | loss 2.8666 | Left: 5.6 min
step  880 | batch 192 | loss 2.8057 | Left: 5.5 min
step  900 | batch 192 | loss 2.7530 | Left: 5.4 min
step  920 | batch 192 | loss 2.7411 | Left: 5.3 min
step  940 | batch 192 | loss 2.7300 | Left: 5.2 min
step  960 | batch 192 | loss 2.7147 | Left: 5.2 min
step  980 | batch 192 | loss 2.7539 | Left: 5.1 min
step 1000 | batch 192 | loss 2.7143 | Left: 5.0 min
step 1020 | batch 192 | loss 2.7098 | Left: 4.9 min
step 1040 | batch 192 | loss 2.7059 | Left: 4.9 min
step 1060 | batch 192 | loss 2.6933 | Left: 4.8 min
step 1080 | batch 192 | loss 2.7103 | Left: 4.7 min
step 1100 | batch 192 | loss 2.6722 | Left: 4.6 min
step 1120 | batch 192 | loss 2.6990 | Left: 4.6 min
step 1140 | batch 192 | loss 2.6696 | Left: 4.5 min
step 1160 | batch 192 | loss 2.6933 | Left: 4.4 min
step 1180 | batch 192 | loss 2.6573 | Left: 4.3 min
step 1200 | batch 192 | loss 2.6366 | Left: 4.3 min
step 1220 | batch 192 | loss 2.6503 | Left: 4.2 min
step 1240 | batch 192 | loss 2.6374 | Left: 4.1 min
step 1260 | batch 192 | loss 2.6325 | Left: 4.0 min
step 1280 | batch 192 | loss 2.6270 | Left: 4.0 min
step 1300 | batch 192 | loss 2.6545 | Left: 3.9 min
step 1320 | batch 192 | loss 2.6576 | Left: 3.8 min
step 1340 | batch 192 | loss 2.6308 | Left: 3.7 min
step 1360 | batch 192 | loss 2.5921 | Left: 3.7 min
step 1380 | batch 192 | loss 2.6518 | Left: 3.6 min
step 1400 | batch 192 | loss 2.6082 | Left: 3.5 min
step 1420 | batch 192 | loss 2.6201 | Left: 3.4 min
step 1440 | batch 192 | loss 2.6379 | Left: 3.4 min
step 1460 | batch 192 | loss 2.6097 | Left: 3.3 min
step 1480 | batch 192 | loss 2.6158 | Left: 3.2 min
step 1500 | batch 192 | loss 2.5862 | Left: 3.1 min
step 1520 | batch 192 | loss 2.5839 | Left: 3.1 min
step 1540 | batch 192 | loss 2.5729 | Left: 3.0 min
step 1560 | batch 192 | loss 2.5732 | Left: 2.9 min
step 1580 | batch 192 | loss 2.6106 | Left: 2.8 min
step 1600 | batch 192 | loss 2.5920 | Left: 2.8 min
step 1620 | batch 192 | loss 2.5764 | Left: 2.7 min
step 1640 | batch 192 | loss 2.5836 | Left: 2.6 min
step 1660 | batch 192 | loss 2.5857 | Left: 2.5 min
step 1680 | batch 192 | loss 2.5753 | Left: 2.4 min
step 1700 | batch 192 | loss 2.5470 | Left: 2.4 min
step 1720 | batch 192 | loss 2.5865 | Left: 2.3 min
step 1740 | batch 192 | loss 2.5753 | Left: 2.2 min
step 1760 | batch 192 | loss 2.5675 | Left: 2.1 min
step 1780 | batch 192 | loss 2.5504 | Left: 2.1 min
step 1800 | batch 192 | loss 2.5579 | Left: 2.0 min
step 1820 | batch 192 | loss 2.5424 | Left: 1.9 min
step 1840 | batch 192 | loss 2.5772 | Left: 1.8 min
step 1860 | batch 192 | loss 2.5356 | Left: 1.8 min
step 1880 | batch 192 | loss 2.5625 | Left: 1.7 min
step 1900 | batch 192 | loss 2.5483 | Left: 1.6 min
step 1920 | batch 192 | loss 2.5256 | Left: 1.5 min
step 1940 | batch 192 | loss 2.5384 | Left: 1.5 min
step 1960 | batch 192 | loss 2.4990 | Left: 1.4 min
step 1980 | batch 192 | loss 2.5380 | Left: 1.3 min
step 2000 | batch 192 | loss 2.5423 | Left: 1.2 min
step 2020 | batch 192 | loss 2.5353 | Left: 1.2 min
step 2040 | batch 192 | loss 2.5255 | Left: 1.1 min
step 2060 | batch 192 | loss 2.5494 | Left: 1.0 min
step 2080 | batch 192 | loss 2.5180 | Left: 0.9 min
step 2100 | batch 192 | loss 2.5477 | Left: 0.9 min
step 2120 | batch 192 | loss 2.5343 | Left: 0.8 min
step 2140 | batch 192 | loss 2.5501 | Left: 0.7 min
step 2160 | batch 192 | loss 2.5119 | Left: 0.6 min
step 2180 | batch 192 | loss 2.5401 | Left: 0.6 min
step 2200 | batch 192 | loss 2.5435 | Left: 0.5 min
step 2220 | batch 192 | loss 2.5359 | Left: 0.4 min
step 2240 | batch 192 | loss 2.5213 | Left: 0.3 min
step 2260 | batch 192 | loss 2.5385 | Left: 0.3 min
step 2280 | batch 192 | loss 2.5176 | Left: 0.2 min
step 2300 | batch 192 | loss 2.5368 | Left: 0.1 min
step 2320 | batch 192 | loss 2.5236 | Left: 0.0 min

========================================
🏆 Final BPB: 1.0198
========================================


3. [AI OS] Training (Time Limit: 10 min)...
step    0 | batch 64 | loss 6.2312 | Left: 10.0 min
step   20 | batch 64 | loss 4.5983 | Left: 9.8 min
step   40 | batch 64 | loss 4.1067 | Left: 9.7 min
step   60 | batch 64 | loss 3.8579 | Left: 9.5 min
step   80 | batch 64 | loss 3.6633 | Left: 9.4 min
step  100 | batch 64 | loss 3.5737 | Left: 9.2 min
step  120 | batch 64 | loss 3.5969 | Left: 9.1 min
step  140 | batch 64 | loss 3.4809 | Left: 8.9 min
step  160 | batch 64 | loss 3.4347 | Left: 8.8 min
step  180 | batch 64 | loss 3.4396 | Left: 8.6 min
step  200 | batch 128 | loss 3.3883 | Left: 8.5 min
step  220 | batch 128 | loss 3.3127 | Left: 8.4 min
step  240 | batch 128 | loss 3.2580 | Left: 8.3 min
step  260 | batch 128 | loss 3.2218 | Left: 8.2 min
step  280 | batch 128 | loss 3.2091 | Left: 8.1 min
step  300 | batch 128 | loss 3.1696 | Left: 8.0 min
step  320 | batch 128 | loss 3.2024 | Left: 8.0 min
step  340 | batch 128 | loss 3.1596 | Left: 7.9 min
step  360 | batch 128 | loss 3.1516 | Left: 7.8 min
step  380 | batch 128 | loss 3.1117 | Left: 7.7 min
step  400 | batch 128 | loss 3.0620 | Left: 7.6 min
step  420 | batch 128 | loss 3.0738 | Left: 7.5 min
step  440 | batch 128 | loss 3.0762 | Left: 7.4 min
step  460 | batch 128 | loss 3.0540 | Left: 7.3 min
step  480 | batch 128 | loss 3.0350 | Left: 7.2 min
step  500 | batch 128 | loss 3.0385 | Left: 7.1 min
step  520 | batch 128 | loss 3.0155 | Left: 7.1 min
step  540 | batch 128 | loss 2.9933 | Left: 7.0 min
step  560 | batch 128 | loss 2.9669 | Left: 6.9 min
step  580 | batch 128 | loss 2.9462 | Left: 6.8 min
step  600 | batch 128 | loss 2.9724 | Left: 6.7 min
step  620 | batch 128 | loss 2.9885 | Left: 6.6 min
step  640 | batch 128 | loss 2.9179 | Left: 6.5 min
step  660 | batch 128 | loss 2.9538 | Left: 6.4 min
step  680 | batch 128 | loss 2.9478 | Left: 6.3 min
step  700 | batch 128 | loss 2.8924 | Left: 6.3 min
step  720 | batch 128 | loss 2.9101 | Left: 6.2 min
step  740 | batch 128 | loss 2.8593 | Left: 6.1 min
step  760 | batch 128 | loss 2.8613 | Left: 6.0 min
step  780 | batch 128 | loss 2.8984 | Left: 5.9 min
step  800 | batch 128 | loss 2.8612 | Left: 5.8 min
step  820 | batch 128 | loss 2.8484 | Left: 5.7 min
step  840 | batch 128 | loss 2.8488 | Left: 5.6 min
step  860 | batch 128 | loss 2.8516 | Left: 5.5 min
step  880 | batch 192 | loss 2.7778 | Left: 5.5 min
step  900 | batch 192 | loss 2.7663 | Left: 5.4 min
step  920 | batch 192 | loss 2.7482 | Left: 5.3 min
step  940 | batch 192 | loss 2.7225 | Left: 5.2 min
step  960 | batch 192 | loss 2.7417 | Left: 5.2 min
step  980 | batch 192 | loss 2.7538 | Left: 5.1 min
step 1000 | batch 192 | loss 2.7028 | Left: 5.0 min
step 1020 | batch 192 | loss 2.7279 | Left: 4.9 min
step 1040 | batch 192 | loss 2.7272 | Left: 4.9 min
step 1060 | batch 192 | loss 2.6791 | Left: 4.8 min
step 1080 | batch 192 | loss 2.6756 | Left: 4.7 min
step 1100 | batch 192 | loss 2.6863 | Left: 4.6 min
step 1120 | batch 192 | loss 2.6990 | Left: 4.6 min
step 1140 | batch 192 | loss 2.6782 | Left: 4.5 min
step 1160 | batch 192 | loss 2.6636 | Left: 4.4 min
step 1180 | batch 192 | loss 2.6536 | Left: 4.3 min
step 1200 | batch 192 | loss 2.6698 | Left: 4.2 min
step 1220 | batch 192 | loss 2.6439 | Left: 4.2 min
step 1240 | batch 192 | loss 2.6390 | Left: 4.1 min
step 1260 | batch 192 | loss 2.6824 | Left: 4.0 min
step 1280 | batch 192 | loss 2.6413 | Left: 3.9 min
step 1300 | batch 192 | loss 2.6000 | Left: 3.9 min
step 1320 | batch 192 | loss 2.6367 | Left: 3.8 min
step 1340 | batch 192 | loss 2.6128 | Left: 3.7 min
step 1360 | batch 192 | loss 2.6164 | Left: 3.6 min
step 1380 | batch 192 | loss 2.6349 | Left: 3.6 min
step 1400 | batch 192 | loss 2.6201 | Left: 3.5 min
step 1420 | batch 192 | loss 2.6165 | Left: 3.4 min
step 1440 | batch 192 | loss 2.6202 | Left: 3.3 min
step 1460 | batch 192 | loss 2.6076 | Left: 3.3 min
step 1480 | batch 192 | loss 2.6192 | Left: 3.2 min
step 1500 | batch 192 | loss 2.6464 | Left: 3.1 min
step 1520 | batch 192 | loss 2.6033 | Left: 3.0 min
step 1540 | batch 192 | loss 2.6178 | Left: 3.0 min
step 1560 | batch 192 | loss 2.6062 | Left: 2.9 min
step 1580 | batch 192 | loss 2.5999 | Left: 2.8 min
step 1600 | batch 192 | loss 2.6078 | Left: 2.7 min
step 1620 | batch 192 | loss 2.6205 | Left: 2.7 min
step 1640 | batch 192 | loss 2.5781 | Left: 2.6 min
step 1660 | batch 192 | loss 2.5678 | Left: 2.5 min
step 1680 | batch 192 | loss 2.5733 | Left: 2.4 min
step 1700 | batch 192 | loss 2.6200 | Left: 2.4 min
step 1720 | batch 192 | loss 2.5691 | Left: 2.3 min
step 1740 | batch 192 | loss 2.5876 | Left: 2.2 min
step 1760 | batch 192 | loss 2.5464 | Left: 2.1 min
step 1780 | batch 192 | loss 2.5761 | Left: 2.1 min
step 1800 | batch 192 | loss 2.5880 | Left: 2.0 min
step 1820 | batch 192 | loss 2.5758 | Left: 1.9 min
step 1840 | batch 192 | loss 2.5443 | Left: 1.8 min
step 1860 | batch 192 | loss 2.5784 | Left: 1.8 min
step 1880 | batch 192 | loss 2.5664 | Left: 1.7 min
step 1900 | batch 192 | loss 2.5207 | Left: 1.6 min
step 1920 | batch 192 | loss 2.5398 | Left: 1.5 min
step 1940 | batch 192 | loss 2.5576 | Left: 1.4 min
step 1960 | batch 192 | loss 2.5818 | Left: 1.4 min
step 1980 | batch 192 | loss 2.5356 | Left: 1.3 min
step 2000 | batch 192 | loss 2.5376 | Left: 1.2 min
step 2020 | batch 192 | loss 2.5513 | Left: 1.1 min
step 2040 | batch 192 | loss 2.5126 | Left: 1.1 min
step 2060 | batch 192 | loss 2.5564 | Left: 1.0 min
step 2080 | batch 192 | loss 2.5436 | Left: 0.9 min
step 2100 | batch 192 | loss 2.5560 | Left: 0.8 min
step 2120 | batch 192 | loss 2.5371 | Left: 0.8 min
step 2140 | batch 192 | loss 2.5305 | Left: 0.7 min
step 2160 | batch 192 | loss 2.5388 | Left: 0.6 min
step 2180 | batch 192 | loss 2.5278 | Left: 0.5 min
step 2200 | batch 192 | loss 2.5190 | Left: 0.5 min
step 2220 | batch 192 | loss 2.5102 | Left: 0.4 min
step 2240 | batch 192 | loss 2.5071 | Left: 0.3 min
step 2260 | batch 192 | loss 2.5375 | Left: 0.2 min
step 2280 | batch 192 | loss 2.5553 | Left: 0.2 min
step 2300 | batch 192 | loss 2.4973 | Left: 0.1 min
step 2320 | batch 192 | loss 2.5359 | Left: 0.0 min

========================================
🏆 Final BPB: 1.0194
========================================
