Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:674564 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:True passes:1 every:2 eval_passes:2 capsule:True engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:235ms step:235ms
step:2/100000 loss:6.6874 t:385ms step:150ms
step:3/100000 loss:6.2305 t:583ms step:198ms
step:4/100000 loss:6.0820 t:720ms step:137ms
step:5/100000 loss:6.1532 t:919ms step:198ms
step:10/100000 loss:6.0473 t:1735ms step:137ms
step:20/100000 loss:5.7863 t:3432ms step:141ms
step:30/100000 loss:5.6640 t:5175ms step:144ms
step:40/100000 loss:5.4652 t:6906ms step:141ms
step:50/100000 loss:5.2889 t:8603ms step:138ms
step:60/100000 loss:5.1290 t:10294ms step:138ms
step:70/100000 loss:5.0052 t:11979ms step:136ms
step:80/100000 loss:4.9007 t:13693ms step:137ms
step:90/100000 loss:4.9031 t:15382ms step:138ms
step:100/100000 loss:4.9181 t:17070ms step:137ms
step:110/100000 loss:4.8183 t:18756ms step:137ms
step:120/100000 loss:4.7549 t:20468ms step:137ms
step:130/100000 loss:4.7201 t:22157ms step:138ms
step:140/100000 loss:4.6477 t:23847ms step:138ms
step:150/100000 loss:4.7724 t:25532ms step:138ms
step:160/100000 loss:4.5640 t:27236ms step:142ms
step:170/100000 loss:4.6033 t:28953ms step:137ms
step:180/100000 loss:4.6045 t:30636ms step:136ms
step:190/100000 loss:4.4921 t:32323ms step:137ms
step:200/100000 loss:4.6261 t:34032ms step:138ms
step:210/100000 loss:4.4765 t:35720ms step:138ms
step:220/100000 loss:4.6105 t:37403ms step:138ms
step:230/100000 loss:4.5905 t:39090ms step:138ms
step:240/100000 loss:4.4111 t:40811ms step:138ms
step:250/100000 loss:4.7074 t:42500ms step:138ms
step:260/100000 loss:4.5514 t:44185ms step:137ms
step:270/100000 loss:4.4985 t:45873ms step:138ms
step:280/100000 loss:4.4006 t:47585ms step:137ms
step:290/100000 loss:4.5117 t:49274ms step:138ms
step:300/100000 loss:4.4988 t:50961ms step:138ms
step:310/100000 loss:4.4241 t:52649ms step:138ms
step:320/100000 loss:4.5193 t:54364ms step:138ms
step:330/100000 loss:4.2741 t:56055ms step:138ms
step:340/100000 loss:4.4733 t:57777ms step:146ms
step:350/100000 loss:4.5435 t:59477ms step:138ms
step:360/100000 loss:4.5616 t:61189ms step:137ms
step:370/100000 loss:4.4160 t:62874ms step:137ms
step:380/100000 loss:4.2988 t:64562ms step:137ms
