Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:621059 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:True engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=True
step:1/100000 loss:6.9357 t:451ms step:450ms
step:2/100000 loss:6.6842 t:708ms step:258ms
step:3/100000 loss:6.2220 t:976ms step:268ms
step:4/100000 loss:6.0728 t:1247ms step:270ms
step:5/100000 loss:6.1371 t:1517ms step:270ms
step:10/100000 loss:5.8696 t:2814ms step:261ms
step:20/100000 loss:5.5790 t:5503ms step:259ms
step:30/100000 loss:5.1201 t:8087ms step:259ms
step:40/100000 loss:5.0236 t:10680ms step:252ms
step:50/100000 loss:4.8140 t:13262ms step:259ms
step:60/100000 loss:4.7712 t:15846ms step:259ms
step:70/100000 loss:4.6251 t:18480ms step:273ms
step:80/100000 loss:4.5571 t:21080ms step:258ms
step:90/100000 loss:4.5409 t:23661ms step:257ms
step:100/100000 loss:4.5889 t:26254ms step:259ms
step:110/100000 loss:4.4579 t:28827ms step:259ms
step:120/100000 loss:4.3103 t:31428ms step:254ms
step:130/100000 loss:4.3997 t:34012ms step:257ms
step:140/100000 loss:4.2465 t:36595ms step:258ms
step:150/100000 loss:4.4617 t:39195ms step:257ms
step:160/100000 loss:4.2279 t:41778ms step:258ms
step:170/100000 loss:4.2827 t:44363ms step:260ms
step:180/100000 loss:4.3067 t:46971ms step:258ms
step:190/100000 loss:4.1713 t:49594ms step:258ms
step:200/100000 loss:4.1296 t:52178ms step:257ms
step:210/100000 loss:4.0966 t:54779ms step:260ms
step:220/100000 loss:4.2356 t:57361ms step:257ms
step:230/100000 loss:4.2928 t:59944ms step:257ms
step:240/100000 loss:4.0359 t:62536ms step:259ms
step:250/100000 loss:4.1979 t:65119ms step:258ms
step:260/100000 loss:4.2377 t:67723ms step:278ms
step:270/100000 loss:4.0740 t:70304ms step:261ms
step:280/100000 loss:4.0578 t:72886ms step:257ms
step:290/100000 loss:4.2419 t:75494ms step:279ms
step:300/100000 loss:4.2072 t:78077ms step:258ms
step:310/100000 loss:4.1002 t:80661ms step:257ms
step:320/100000 loss:4.1515 t:83245ms step:259ms
step:330/100000 loss:4.0093 t:85847ms step:259ms
step:340/100000 loss:4.0953 t:88419ms step:260ms
step:350/100000 loss:4.2610 t:91028ms step:260ms
step:360/100000 loss:4.3235 t:93612ms step:258ms
step:370/100000 loss:4.1675 t:96194ms step:259ms
