Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:750498 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:308ms step:308ms
step:2/100000 loss:6.6877 t:442ms step:134ms
step:3/100000 loss:6.2304 t:579ms step:137ms
step:4/100000 loss:6.0815 t:716ms step:136ms
step:5/100000 loss:6.1466 t:854ms step:138ms
step:10/100000 loss:5.9019 t:1543ms step:138ms
step:20/100000 loss:5.6107 t:2982ms step:142ms
step:30/100000 loss:5.0966 t:4391ms step:143ms
step:40/100000 loss:4.9983 t:5804ms step:143ms
step:50/100000 loss:4.8488 t:7205ms step:137ms
step:60/100000 loss:4.7824 t:8581ms step:138ms
step:70/100000 loss:4.6080 t:9956ms step:138ms
step:80/100000 loss:4.5225 t:11346ms step:136ms
step:90/100000 loss:4.4882 t:12720ms step:139ms
step:100/100000 loss:4.5703 t:14097ms step:138ms
step:110/100000 loss:4.4034 t:15473ms step:138ms
step:120/100000 loss:4.2684 t:16847ms step:137ms
step:130/100000 loss:4.3529 t:18232ms step:137ms
step:140/100000 loss:4.1947 t:19606ms step:137ms
step:150/100000 loss:4.4019 t:20980ms step:137ms
step:160/100000 loss:4.2154 t:22356ms step:137ms
step:170/100000 loss:4.2477 t:23731ms step:138ms
step:180/100000 loss:4.3007 t:25105ms step:138ms
step:190/100000 loss:4.1422 t:26492ms step:136ms
step:200/100000 loss:4.1398 t:27868ms step:138ms
step:210/100000 loss:4.0997 t:29243ms step:137ms
step:220/100000 loss:4.1724 t:30619ms step:138ms
step:230/100000 loss:4.2647 t:31994ms step:138ms
step:240/100000 loss:3.9533 t:33381ms step:133ms
step:250/100000 loss:4.1494 t:34755ms step:138ms
step:260/100000 loss:4.1634 t:36131ms step:137ms
step:270/100000 loss:4.0608 t:37506ms step:138ms
step:280/100000 loss:3.9885 t:38880ms step:137ms
step:290/100000 loss:4.2387 t:40256ms step:137ms
step:300/100000 loss:4.2038 t:41637ms step:135ms
step:310/100000 loss:4.0536 t:43009ms step:137ms
step:320/100000 loss:4.1075 t:44385ms step:138ms
step:330/100000 loss:3.9294 t:45760ms step:138ms
step:340/100000 loss:4.1491 t:47135ms step:138ms
step:350/100000 loss:4.2258 t:48509ms step:137ms
step:360/100000 loss:4.3046 t:49893ms step:138ms
step:370/100000 loss:4.1306 t:51268ms step:137ms
step:380/100000 loss:3.9945 t:52643ms step:138ms
step:390/100000 loss:3.9692 t:54017ms step:137ms
