Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:999731 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h2o@L1) vrl:True xsa_start:4 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:214ms step:214ms
step:2/100000 loss:6.6989 t:386ms step:172ms
step:3/100000 loss:6.3084 t:557ms step:171ms
step:4/100000 loss:6.1757 t:727ms step:170ms
step:5/100000 loss:6.1581 t:898ms step:170ms
step:10/100000 loss:5.9558 t:1749ms step:169ms
step:20/100000 loss:5.5641 t:3548ms step:179ms
step:30/100000 loss:5.1034 t:5361ms step:185ms
step:40/100000 loss:4.9319 t:7116ms step:174ms
step:50/100000 loss:4.7412 t:8872ms step:177ms
step:60/100000 loss:4.7028 t:10618ms step:173ms
step:70/100000 loss:4.5321 t:12544ms step:232ms
step:80/100000 loss:4.4441 t:14438ms step:175ms
step:90/100000 loss:4.4044 t:16427ms step:202ms
step:100/100000 loss:4.4801 t:18448ms step:201ms
step:110/100000 loss:4.3349 t:20477ms step:201ms
step:120/100000 loss:4.1945 t:22501ms step:201ms
step:130/100000 loss:4.3068 t:24518ms step:202ms
step:140/100000 loss:4.1476 t:26541ms step:205ms
step:150/100000 loss:4.3365 t:28560ms step:202ms
step:160/100000 loss:4.1638 t:30584ms step:201ms
step:170/100000 loss:4.1441 t:32601ms step:205ms
step:180/100000 loss:4.2487 t:34616ms step:201ms
step:190/100000 loss:4.0812 t:36774ms step:194ms
step:200/100000 loss:4.0196 t:38727ms step:192ms
step:210/100000 loss:4.0254 t:40650ms step:192ms
step:220/100000 loss:4.1265 t:42584ms step:194ms
step:230/100000 loss:4.1928 t:44547ms step:193ms
step:240/100000 loss:3.9193 t:46484ms step:192ms
step:250/100000 loss:4.0725 t:48409ms step:195ms
step:260/100000 loss:4.0801 t:50351ms step:192ms
step:270/100000 loss:3.9697 t:52277ms step:193ms
step:280/100000 loss:3.9442 t:54204ms step:204ms
step:290/100000 loss:4.1868 t:56135ms step:193ms
step:300/100000 loss:4.1222 t:58219ms step:212ms
step:310/100000 loss:3.9604 t:60143ms step:192ms
step:320/100000 loss:4.0416 t:62118ms step:195ms
step:330/100000 loss:3.8673 t:63938ms step:176ms
step:340/100000 loss:4.0686 t:65696ms step:173ms
step:350/100000 loss:4.1344 t:67425ms step:172ms
step:360/100000 loss:4.2368 t:69152ms step:172ms
step:370/100000 loss:4.0340 t:70878ms step:172ms
step:380/100000 loss:3.9143 t:72608ms step:176ms
step:390/100000 loss:3.8747 t:74337ms step:173ms
