Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:992486 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:224ms step:223ms
step:2/100000 loss:6.6989 t:402ms step:178ms
step:3/100000 loss:6.3082 t:586ms step:183ms
step:4/100000 loss:6.1749 t:771ms step:185ms
step:5/100000 loss:6.1574 t:952ms step:181ms
step:10/100000 loss:5.9438 t:1884ms step:184ms
step:20/100000 loss:5.5394 t:3741ms step:189ms
step:30/100000 loss:5.0588 t:5636ms step:190ms
step:40/100000 loss:4.9360 t:7569ms step:201ms
step:50/100000 loss:4.7446 t:9392ms step:170ms
step:60/100000 loss:4.6558 t:11281ms step:187ms
step:70/100000 loss:4.4367 t:13151ms step:188ms
step:80/100000 loss:4.3878 t:14996ms step:186ms
step:90/100000 loss:4.3647 t:16828ms step:186ms
step:100/100000 loss:4.4124 t:18671ms step:187ms
step:110/100000 loss:4.2311 t:20522ms step:180ms
step:120/100000 loss:4.0731 t:22369ms step:181ms
step:130/100000 loss:4.1445 t:24231ms step:184ms
step:140/100000 loss:3.9499 t:26075ms step:185ms
step:150/100000 loss:4.1136 t:27918ms step:186ms
step:160/100000 loss:3.9196 t:29757ms step:183ms
step:170/100000 loss:3.8887 t:31621ms step:187ms
step:180/100000 loss:3.9016 t:33496ms step:211ms
step:190/100000 loss:3.7466 t:35330ms step:186ms
step:200/100000 loss:3.7354 t:37174ms step:190ms
step:210/100000 loss:3.7299 t:39019ms step:186ms
step:220/100000 loss:3.7408 t:40885ms step:179ms
step:230/100000 loss:3.7518 t:42736ms step:180ms
step:240/100000 loss:3.4720 t:44628ms step:186ms
step:250/100000 loss:3.6041 t:46493ms step:201ms
step:260/100000 loss:3.6145 t:48302ms step:180ms
step:270/100000 loss:3.4843 t:50116ms step:181ms
step:280/100000 loss:3.4214 t:51989ms step:182ms
step:290/100000 loss:3.6442 t:53769ms step:176ms
step:300/100000 loss:3.5705 t:55687ms step:180ms
step:310/100000 loss:3.4421 t:57512ms step:181ms
step:320/100000 loss:3.4605 t:59361ms step:186ms
step:330/100000 loss:3.2876 t:61227ms step:183ms
step:340/100000 loss:3.3899 t:63042ms step:183ms
step:350/100000 loss:3.4871 t:64908ms step:185ms
step:360/100000 loss:3.5628 t:66750ms step:182ms
step:370/100000 loss:3.4135 t:68593ms step:185ms
step:380/100000 loss:3.3132 t:70431ms step:184ms
step:390/100000 loss:3.3167 t:72280ms step:186ms
