START: BB_wht32  Fri Apr  3 18:08:12 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:375ms step:375ms
step:2/100000 loss:6.6795 t:555ms step:179ms
step:3/100000 loss:6.2048 t:735ms step:180ms
step:4/100000 loss:6.0702 t:916ms step:181ms
step:5/100000 loss:6.1449 t:1098ms step:182ms
step:10/100000 loss:5.8770 t:2004ms step:181ms
step:20/100000 loss:5.5819 t:3819ms step:181ms
step:30/100000 loss:5.0728 t:5636ms step:181ms
step:40/100000 loss:4.9906 t:7451ms step:182ms
step:50/100000 loss:4.8218 t:9290ms step:207ms
step:60/100000 loss:4.7953 t:11099ms step:181ms
step:70/100000 loss:4.5913 t:12921ms step:185ms
step:80/100000 loss:4.5319 t:14787ms step:181ms
step:90/100000 loss:4.4923 t:16617ms step:181ms
step:100/100000 loss:4.5254 t:18431ms step:181ms
step:110/100000 loss:4.3668 t:20244ms step:182ms
step:120/100000 loss:4.2173 t:22090ms step:208ms
step:130/100000 loss:4.2844 t:23899ms step:182ms
step:140/100000 loss:4.1259 t:25719ms step:183ms
step:150/100000 loss:4.2851 t:27532ms step:182ms
step:160/100000 loss:4.1157 t:29370ms step:181ms
step:170/100000 loss:4.1114 t:31185ms step:181ms
step:180/100000 loss:4.1512 t:32994ms step:182ms
step:190/100000 loss:3.9773 t:34820ms step:177ms
step:200/100000 loss:3.9615 t:36644ms step:182ms
step:210/100000 loss:3.9666 t:38475ms step:183ms
step:220/100000 loss:4.0431 t:40304ms step:183ms
step:230/100000 loss:4.0936 t:42132ms step:182ms
step:240/100000 loss:3.8298 t:43977ms step:183ms
step:250/100000 loss:3.9318 t:45809ms step:183ms
step:260/100000 loss:4.0698 t:47640ms step:182ms
step:270/100000 loss:3.8882 t:49471ms step:183ms
step:280/100000 loss:3.8290 t:51275ms step:175ms
step:290/100000 loss:3.9820 t:53085ms step:182ms
step:300/100000 loss:3.9193 t:54915ms step:183ms
step:310/100000 loss:3.8508 t:56742ms step:183ms
step:320/100000 loss:3.8640 t:58593ms step:182ms
step:330/100000 loss:3.7365 t:60420ms step:183ms
step:340/100000 loss:3.6736 t:62243ms step:183ms
step:350/100000 loss:3.9411 t:64071ms step:184ms
step:360/100000 loss:3.9981 t:65915ms step:183ms
step:370/100000 loss:3.8026 t:67760ms step:184ms
step:380/100000 loss:3.7182 t:69594ms step:183ms
