START: BM_engram_orders3  Fri Apr  3 19:04:27 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:990515 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:233ms step:233ms
step:2/100000 loss:6.6795 t:422ms step:189ms
step:3/100000 loss:6.2051 t:613ms step:191ms
step:4/100000 loss:6.0702 t:803ms step:190ms
step:5/100000 loss:6.1471 t:996ms step:192ms
step:10/100000 loss:5.8815 t:1954ms step:192ms
step:20/100000 loss:5.5628 t:3890ms step:190ms
step:30/100000 loss:5.0719 t:5796ms step:190ms
step:40/100000 loss:4.9967 t:7695ms step:190ms
step:50/100000 loss:4.8336 t:9602ms step:189ms
step:60/100000 loss:4.7952 t:11523ms step:191ms
step:70/100000 loss:4.5659 t:13431ms step:190ms
step:80/100000 loss:4.4948 t:15341ms step:191ms
step:90/100000 loss:4.4809 t:17262ms step:187ms
step:100/100000 loss:4.5698 t:19167ms step:191ms
step:110/100000 loss:4.3818 t:21078ms step:191ms
step:120/100000 loss:4.2670 t:22998ms step:193ms
step:130/100000 loss:4.3390 t:24930ms step:193ms
step:140/100000 loss:4.1877 t:26848ms step:191ms
step:150/100000 loss:4.4141 t:28785ms step:193ms
step:160/100000 loss:4.2084 t:30721ms step:193ms
step:170/100000 loss:4.2151 t:32641ms step:194ms
step:180/100000 loss:4.2751 t:34580ms step:192ms
step:190/100000 loss:4.1169 t:36527ms step:193ms
step:200/100000 loss:4.1255 t:38442ms step:190ms
step:210/100000 loss:4.0242 t:40368ms step:192ms
step:220/100000 loss:4.1414 t:42310ms step:191ms
step:230/100000 loss:4.2592 t:44229ms step:192ms
step:240/100000 loss:3.9909 t:46157ms step:192ms
step:250/100000 loss:4.1602 t:48097ms step:194ms
step:260/100000 loss:4.1538 t:50023ms step:192ms
step:270/100000 loss:4.0439 t:51938ms step:191ms
step:280/100000 loss:3.9726 t:53867ms step:191ms
step:290/100000 loss:4.2131 t:55789ms step:193ms
step:300/100000 loss:4.1317 t:57705ms step:192ms
step:310/100000 loss:4.0239 t:59641ms step:192ms
step:320/100000 loss:4.0966 t:61563ms step:191ms
step:330/100000 loss:3.9355 t:63491ms step:193ms
step:340/100000 loss:4.1462 t:65424ms step:193ms
step:350/100000 loss:4.2187 t:67344ms step:191ms
step:360/100000 loss:4.2573 t:69271ms step:191ms
step:370/100000 loss:4.1106 t:71207ms step:192ms
step:380/100000 loss:3.9783 t:73141ms step:194ms
