START: BS_self_distill  Fri Apr  3 19:35:18 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:930486 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:True passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.1 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:1293ms step:1293ms
step:2/100000 loss:6.6796 t:1499ms step:205ms
step:3/100000 loss:6.2050 t:1783ms step:283ms
step:4/100000 loss:6.0702 t:1972ms step:189ms
step:5/100000 loss:6.1457 t:2256ms step:284ms
step:10/100000 loss:5.8903 t:3393ms step:190ms
step:20/100000 loss:5.8278 t:5770ms step:191ms
step:30/100000 loss:5.5770 t:8151ms step:188ms
step:40/100000 loss:5.4058 t:10524ms step:189ms
step:50/100000 loss:5.2455 t:12900ms step:191ms
step:60/100000 loss:5.0738 t:15291ms step:189ms
step:70/100000 loss:4.9593 t:17650ms step:190ms
step:80/100000 loss:4.8847 t:20029ms step:189ms
step:90/100000 loss:4.8865 t:22426ms step:189ms
step:100/100000 loss:4.8830 t:24794ms step:189ms
step:110/100000 loss:4.8176 t:27168ms step:189ms
step:120/100000 loss:4.7805 t:29555ms step:189ms
step:130/100000 loss:4.7837 t:31935ms step:190ms
step:140/100000 loss:4.6734 t:34311ms step:190ms
step:150/100000 loss:4.7703 t:36691ms step:190ms
step:160/100000 loss:4.6193 t:39061ms step:190ms
step:170/100000 loss:4.6922 t:41467ms step:223ms
step:180/100000 loss:4.6972 t:43844ms step:190ms
step:190/100000 loss:4.5666 t:46212ms step:189ms
step:200/100000 loss:4.6355 t:48605ms step:211ms
step:210/100000 loss:4.6102 t:50977ms step:190ms
step:220/100000 loss:4.7104 t:53350ms step:189ms
step:230/100000 loss:4.6640 t:55754ms step:189ms
step:240/100000 loss:4.4189 t:58129ms step:190ms
step:250/100000 loss:4.6276 t:60502ms step:191ms
step:260/100000 loss:4.6303 t:62889ms step:189ms
step:270/100000 loss:4.5905 t:65263ms step:189ms
step:280/100000 loss:4.5542 t:67658ms step:191ms
step:290/100000 loss:4.6057 t:70082ms step:190ms
step:300/100000 loss:4.5864 t:72455ms step:190ms
step:310/100000 loss:4.4745 t:74830ms step:189ms
step:320/100000 loss:4.5662 t:77209ms step:190ms
step:330/100000 loss:4.3676 t:79579ms step:190ms
step:340/100000 loss:4.5233 t:81955ms step:190ms
