START: BW_clip01  Fri Apr  3 19:55:51 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:221ms step:220ms
step:2/100000 loss:6.6795 t:408ms step:188ms
step:3/100000 loss:6.2050 t:593ms step:184ms
step:4/100000 loss:6.0700 t:777ms step:184ms
step:5/100000 loss:6.1446 t:961ms step:184ms
step:10/100000 loss:5.8824 t:1907ms step:185ms
step:20/100000 loss:5.5855 t:3755ms step:185ms
step:30/100000 loss:5.1159 t:5604ms step:183ms
step:40/100000 loss:5.0059 t:7448ms step:185ms
step:50/100000 loss:4.8366 t:9323ms step:186ms
step:60/100000 loss:4.8061 t:11179ms step:185ms
step:70/100000 loss:4.6370 t:13028ms step:184ms
step:80/100000 loss:4.5842 t:14870ms step:185ms
step:90/100000 loss:4.5461 t:16737ms step:185ms
step:100/100000 loss:4.6094 t:18584ms step:184ms
step:110/100000 loss:4.4651 t:20429ms step:184ms
step:120/100000 loss:4.3475 t:22279ms step:187ms
step:130/100000 loss:4.4163 t:24140ms step:185ms
step:140/100000 loss:4.2454 t:25982ms step:184ms
step:150/100000 loss:4.4643 t:27826ms step:184ms
step:160/100000 loss:4.2462 t:29698ms step:186ms
step:170/100000 loss:4.2845 t:31565ms step:185ms
step:180/100000 loss:4.3691 t:33422ms step:186ms
step:190/100000 loss:4.1642 t:35319ms step:195ms
step:200/100000 loss:4.1521 t:37217ms step:186ms
step:210/100000 loss:4.1450 t:39076ms step:186ms
step:220/100000 loss:4.2526 t:40938ms step:186ms
step:230/100000 loss:4.2767 t:42811ms step:196ms
step:240/100000 loss:4.0410 t:44662ms step:186ms
step:250/100000 loss:4.1956 t:46523ms step:186ms
step:260/100000 loss:4.2093 t:48389ms step:185ms
step:270/100000 loss:4.0810 t:50267ms step:184ms
step:280/100000 loss:4.0584 t:52136ms step:187ms
step:290/100000 loss:4.2669 t:53996ms step:185ms
step:300/100000 loss:4.2056 t:55859ms step:187ms
step:310/100000 loss:4.0719 t:57731ms step:185ms
step:320/100000 loss:4.1326 t:59596ms step:186ms
step:330/100000 loss:4.0156 t:61462ms step:186ms
step:340/100000 loss:4.1423 t:63334ms step:184ms
step:350/100000 loss:4.2705 t:65196ms step:186ms
step:360/100000 loss:4.3185 t:67057ms step:188ms
step:370/100000 loss:4.1818 t:68926ms step:188ms
step:380/100000 loss:4.0594 t:70828ms step:187ms
