START: EA_wht8  Sat Apr  4 01:23:42 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852278 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:1012ms step:1012ms
step:2/100000 loss:6.6792 t:1303ms step:290ms
step:3/100000 loss:6.2567 t:1597ms step:294ms
step:4/100000 loss:6.1109 t:1891ms step:293ms
step:5/100000 loss:6.1122 t:2182ms step:291ms
step:10/100000 loss:5.7892 t:3623ms step:284ms
step:20/100000 loss:5.2353 t:6580ms step:292ms
step:30/100000 loss:4.8565 t:9483ms step:300ms
step:40/100000 loss:4.7245 t:12430ms step:319ms
step:50/100000 loss:4.5478 t:15399ms step:291ms
step:60/100000 loss:4.4589 t:18288ms step:295ms
step:70/100000 loss:4.2653 t:21206ms step:289ms
step:80/100000 loss:4.1807 t:24071ms step:287ms
step:90/100000 loss:4.1050 t:26986ms step:292ms
step:100/100000 loss:4.1929 t:29894ms step:291ms
step:110/100000 loss:4.0029 t:32780ms step:276ms
step:120/100000 loss:3.8627 t:35625ms step:281ms
step:130/100000 loss:3.9102 t:38527ms step:290ms
step:140/100000 loss:3.7488 t:41441ms step:293ms
step:150/100000 loss:3.8921 t:44328ms step:284ms
step:160/100000 loss:3.7260 t:47261ms step:290ms
step:170/100000 loss:3.6978 t:50233ms step:292ms
step:180/100000 loss:3.7473 t:53147ms step:288ms
step:190/100000 loss:3.6175 t:56080ms step:289ms
step:200/100000 loss:3.5522 t:58968ms step:284ms
step:210/100000 loss:3.5743 t:61876ms step:289ms
step:220/100000 loss:3.6686 t:64776ms step:285ms
step:230/100000 loss:3.7209 t:67684ms step:294ms
step:240/100000 loss:3.4209 t:70606ms step:293ms
step:250/100000 loss:3.5324 t:73519ms step:296ms
step:260/100000 loss:3.5728 t:76448ms step:295ms
step:270/100000 loss:3.4490 t:79367ms step:293ms
step:280/100000 loss:3.3680 t:82232ms step:278ms
step:290/100000 loss:3.4731 t:85110ms step:290ms
step:300/100000 loss:3.4164 t:87985ms step:288ms
step:310/100000 loss:3.3150 t:90941ms step:298ms
step:320/100000 loss:3.3654 t:93846ms step:289ms
step:330/100000 loss:3.1818 t:96758ms step:291ms
step:340/100000 loss:3.2475 t:99669ms step:291ms
step:350/100000 loss:3.5075 t:102518ms step:271ms
step:360/100000 loss:3.9344 t:105476ms step:325ms
step:370/100000 loss:3.8448 t:108421ms step:292ms
step:380/100000 loss:3.6801 t:111398ms step:331ms
