START: EB_caps16  Sat Apr  4 01:28:16 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:854246 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:361ms step:361ms
step:2/100000 loss:6.6795 t:655ms step:294ms
step:3/100000 loss:6.2582 t:949ms step:293ms
step:4/100000 loss:6.1140 t:1239ms step:290ms
step:5/100000 loss:6.1164 t:1531ms step:291ms
step:10/100000 loss:5.7927 t:2955ms step:289ms
step:20/100000 loss:5.3145 t:5902ms step:291ms
step:30/100000 loss:4.9266 t:8805ms step:296ms
step:40/100000 loss:4.8797 t:11794ms step:276ms
step:50/100000 loss:4.6559 t:14720ms step:294ms
step:60/100000 loss:4.5700 t:17615ms step:294ms
step:70/100000 loss:4.3753 t:20513ms step:282ms
step:80/100000 loss:4.3044 t:23448ms step:292ms
step:90/100000 loss:4.2081 t:26361ms step:295ms
step:100/100000 loss:4.3064 t:30312ms step:384ms
step:110/100000 loss:4.1728 t:34159ms step:380ms
step:120/100000 loss:3.9765 t:36801ms step:314ms
step:130/100000 loss:4.0967 t:39819ms step:308ms
step:140/100000 loss:3.9524 t:42867ms step:295ms
step:150/100000 loss:4.1091 t:45872ms step:300ms
step:160/100000 loss:3.8901 t:48855ms step:300ms
step:170/100000 loss:3.8817 t:51875ms step:296ms
step:180/100000 loss:3.9457 t:54952ms step:299ms
step:190/100000 loss:3.7717 t:57955ms step:292ms
step:200/100000 loss:3.6913 t:60928ms step:304ms
step:210/100000 loss:3.6382 t:63980ms step:310ms
step:220/100000 loss:3.7533 t:67019ms step:307ms
step:230/100000 loss:3.7905 t:70092ms step:308ms
step:240/100000 loss:3.4690 t:73121ms step:304ms
step:250/100000 loss:3.5648 t:76131ms step:301ms
step:260/100000 loss:3.6129 t:79152ms step:300ms
step:270/100000 loss:3.4591 t:82201ms step:309ms
step:280/100000 loss:3.4589 t:85225ms step:298ms
step:290/100000 loss:3.5481 t:88258ms step:301ms
step:300/100000 loss:3.5057 t:91290ms step:313ms
step:310/100000 loss:3.3283 t:94312ms step:293ms
step:320/100000 loss:3.3710 t:97329ms step:302ms
step:330/100000 loss:3.1597 t:100374ms step:301ms
step:340/100000 loss:3.2064 t:103405ms step:302ms
step:350/100000 loss:3.9423 t:106533ms step:317ms
step:360/100000 loss:3.9054 t:109595ms step:301ms
step:370/100000 loss:3.7204 t:112635ms step:301ms
step:380/100000 loss:3.7172 t:115690ms step:338ms
