START: EC_wht8_caps16  Sat Apr  4 01:33:25 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:854246 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:353ms step:353ms
step:2/100000 loss:6.6792 t:649ms step:295ms
step:3/100000 loss:6.2569 t:937ms step:287ms
step:4/100000 loss:6.1108 t:1220ms step:282ms
step:5/100000 loss:6.1122 t:1504ms step:284ms
step:10/100000 loss:5.7832 t:2942ms step:280ms
step:20/100000 loss:5.2650 t:5843ms step:291ms
step:30/100000 loss:4.8538 t:8665ms step:293ms
step:40/100000 loss:4.7545 t:11575ms step:297ms
step:50/100000 loss:4.5204 t:14443ms step:278ms
step:60/100000 loss:4.4325 t:17313ms step:297ms
step:70/100000 loss:4.2394 t:20233ms step:282ms
step:80/100000 loss:4.1888 t:23113ms step:285ms
step:90/100000 loss:4.1075 t:25954ms step:284ms
step:100/100000 loss:4.1325 t:29669ms step:390ms
step:110/100000 loss:3.9509 t:33382ms step:374ms
step:120/100000 loss:3.7471 t:36477ms step:292ms
step:130/100000 loss:3.8232 t:39339ms step:284ms
step:140/100000 loss:3.6449 t:42260ms step:293ms
step:150/100000 loss:3.8266 t:45167ms step:290ms
step:160/100000 loss:3.5970 t:48082ms step:288ms
step:170/100000 loss:3.6104 t:50965ms step:288ms
step:180/100000 loss:3.6529 t:53868ms step:291ms
step:190/100000 loss:3.5031 t:56774ms step:286ms
step:200/100000 loss:3.4744 t:59700ms step:300ms
step:210/100000 loss:3.4676 t:62695ms step:293ms
step:220/100000 loss:3.5101 t:65614ms step:296ms
step:230/100000 loss:3.7189 t:68505ms step:288ms
step:240/100000 loss:3.3070 t:71400ms step:303ms
step:250/100000 loss:3.4519 t:74317ms step:296ms
step:260/100000 loss:3.4751 t:77215ms step:290ms
step:270/100000 loss:3.3883 t:80117ms step:294ms
step:280/100000 loss:3.3103 t:83045ms step:293ms
step:290/100000 loss:3.4382 t:85936ms step:291ms
step:300/100000 loss:3.3523 t:88824ms step:290ms
step:310/100000 loss:3.1833 t:91780ms step:297ms
step:320/100000 loss:3.2717 t:94682ms step:294ms
step:330/100000 loss:3.0852 t:97611ms step:288ms
step:340/100000 loss:3.0853 t:100490ms step:289ms
step:350/100000 loss:3.3042 t:103405ms step:296ms
step:360/100000 loss:3.7590 t:106392ms step:296ms
step:370/100000 loss:3.6498 t:109296ms step:289ms
step:380/100000 loss:3.5746 t:112211ms step:299ms
