START: EE_lr_low16  Sat Apr  4 01:43:38 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852278 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:217ms step:217ms
step:2/100000 loss:6.6989 t:391ms step:174ms
step:3/100000 loss:6.3084 t:563ms step:171ms
step:4/100000 loss:6.1746 t:737ms step:174ms
step:5/100000 loss:6.1572 t:909ms step:172ms
step:10/100000 loss:5.9478 t:1769ms step:170ms
step:20/100000 loss:5.5345 t:3525ms step:178ms
step:30/100000 loss:5.0770 t:5243ms step:171ms
step:40/100000 loss:4.9103 t:6965ms step:174ms
step:50/100000 loss:4.7119 t:8681ms step:172ms
step:60/100000 loss:4.6402 t:10428ms step:179ms
step:70/100000 loss:4.4674 t:12161ms step:171ms
step:80/100000 loss:4.4078 t:13881ms step:172ms
step:90/100000 loss:4.3689 t:15611ms step:172ms
step:100/100000 loss:4.4280 t:17339ms step:170ms
step:110/100000 loss:4.2256 t:19091ms step:172ms
step:120/100000 loss:4.0664 t:20809ms step:172ms
step:130/100000 loss:4.1449 t:22539ms step:174ms
step:140/100000 loss:3.9599 t:24263ms step:171ms
step:150/100000 loss:4.1453 t:26026ms step:171ms
step:160/100000 loss:3.9231 t:27753ms step:173ms
step:170/100000 loss:3.8658 t:29465ms step:174ms
step:180/100000 loss:3.8816 t:31184ms step:170ms
step:190/100000 loss:3.7263 t:32911ms step:170ms
step:200/100000 loss:3.6486 t:34660ms step:171ms
step:210/100000 loss:3.6405 t:36384ms step:173ms
step:220/100000 loss:3.6895 t:38104ms step:171ms
step:230/100000 loss:3.7709 t:39844ms step:173ms
step:240/100000 loss:3.4372 t:41591ms step:172ms
step:250/100000 loss:3.6265 t:43307ms step:173ms
step:260/100000 loss:3.6250 t:45027ms step:174ms
step:270/100000 loss:3.4700 t:46755ms step:174ms
step:280/100000 loss:3.4637 t:48511ms step:179ms
step:290/100000 loss:3.6206 t:50296ms step:173ms
step:300/100000 loss:3.5501 t:52035ms step:172ms
step:310/100000 loss:3.4586 t:53761ms step:171ms
step:320/100000 loss:3.5099 t:55489ms step:170ms
step:330/100000 loss:3.3545 t:57245ms step:179ms
step:340/100000 loss:3.3929 t:58973ms step:172ms
step:350/100000 loss:3.5267 t:60697ms step:172ms
step:360/100000 loss:3.5774 t:62425ms step:170ms
step:370/100000 loss:3.4337 t:64189ms step:173ms
step:380/100000 loss:3.3902 t:65905ms step:173ms
