START: EJ_koop_3step  Sat Apr  4 02:05:29 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852278 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:244ms step:244ms
step:2/100000 loss:6.6795 t:417ms step:173ms
step:3/100000 loss:6.2581 t:595ms step:177ms
step:4/100000 loss:6.1142 t:773ms step:178ms
step:5/100000 loss:6.1158 t:951ms step:178ms
step:10/100000 loss:5.8019 t:1839ms step:179ms
step:20/100000 loss:5.3014 t:3600ms step:177ms
step:30/100000 loss:4.9104 t:5376ms step:178ms
step:40/100000 loss:4.8383 t:7148ms step:175ms
step:50/100000 loss:4.6625 t:8920ms step:174ms
step:60/100000 loss:4.5968 t:10691ms step:176ms
step:70/100000 loss:4.4201 t:12455ms step:178ms
step:80/100000 loss:4.3459 t:14227ms step:176ms
step:90/100000 loss:4.2353 t:15998ms step:179ms
step:100/100000 loss:4.3735 t:17769ms step:175ms
step:110/100000 loss:4.1686 t:19536ms step:177ms
step:120/100000 loss:4.0541 t:21303ms step:177ms
step:130/100000 loss:4.1470 t:23103ms step:177ms
step:140/100000 loss:3.9931 t:24874ms step:176ms
step:150/100000 loss:4.1572 t:26643ms step:177ms
step:160/100000 loss:3.9429 t:28417ms step:177ms
step:170/100000 loss:3.8875 t:30176ms step:179ms
step:180/100000 loss:3.9748 t:31956ms step:175ms
step:190/100000 loss:3.7826 t:33726ms step:174ms
step:200/100000 loss:3.7484 t:35505ms step:177ms
step:210/100000 loss:3.7039 t:37273ms step:179ms
step:220/100000 loss:3.8768 t:39041ms step:177ms
step:230/100000 loss:3.8512 t:40831ms step:174ms
step:240/100000 loss:3.5328 t:42599ms step:175ms
step:250/100000 loss:3.7169 t:44360ms step:177ms
step:260/100000 loss:3.8109 t:46134ms step:183ms
step:270/100000 loss:3.6831 t:47878ms step:173ms
step:280/100000 loss:3.5783 t:49633ms step:165ms
step:290/100000 loss:3.7490 t:51416ms step:177ms
step:300/100000 loss:3.7478 t:53193ms step:178ms
step:310/100000 loss:3.5642 t:54969ms step:177ms
step:320/100000 loss:3.6381 t:56761ms step:179ms
step:330/100000 loss:3.4915 t:58623ms step:175ms
step:340/100000 loss:3.5282 t:60410ms step:179ms
step:350/100000 loss:3.7869 t:62185ms step:177ms
step:360/100000 loss:3.7647 t:63992ms step:182ms
step:370/100000 loss:3.6018 t:65764ms step:178ms
step:380/100000 loss:3.4949 t:67568ms step:174ms
