START: EK_koop_3step_w001  Sat Apr  4 02:10:35 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852278 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:214ms step:213ms
step:2/100000 loss:6.6795 t:389ms step:175ms
step:3/100000 loss:6.2581 t:566ms step:177ms
step:4/100000 loss:6.1142 t:745ms step:178ms
step:5/100000 loss:6.1158 t:922ms step:177ms
step:10/100000 loss:5.8019 t:1809ms step:177ms
step:20/100000 loss:5.3014 t:3576ms step:178ms
step:30/100000 loss:4.9104 t:5360ms step:177ms
step:40/100000 loss:4.8383 t:7147ms step:175ms
step:50/100000 loss:4.6625 t:8914ms step:177ms
step:60/100000 loss:4.5968 t:10684ms step:179ms
step:70/100000 loss:4.4201 t:12451ms step:179ms
step:80/100000 loss:4.3459 t:14256ms step:174ms
step:90/100000 loss:4.2353 t:16028ms step:176ms
step:100/100000 loss:4.3735 t:17792ms step:177ms
step:110/100000 loss:4.1686 t:19565ms step:176ms
step:120/100000 loss:4.0541 t:21332ms step:177ms
step:130/100000 loss:4.1470 t:23114ms step:173ms
step:140/100000 loss:3.9931 t:24895ms step:183ms
step:150/100000 loss:4.1572 t:26659ms step:177ms
step:160/100000 loss:3.9429 t:28422ms step:179ms
step:170/100000 loss:3.8875 t:30188ms step:175ms
step:180/100000 loss:3.9748 t:31980ms step:174ms
step:190/100000 loss:3.7826 t:33744ms step:176ms
step:200/100000 loss:3.7484 t:35513ms step:178ms
step:210/100000 loss:3.7039 t:37284ms step:177ms
step:220/100000 loss:3.8768 t:39067ms step:175ms
step:230/100000 loss:3.8512 t:40844ms step:174ms
step:240/100000 loss:3.5328 t:42618ms step:183ms
step:250/100000 loss:3.7169 t:44387ms step:177ms
step:260/100000 loss:3.8109 t:46156ms step:179ms
step:270/100000 loss:3.6831 t:47958ms step:175ms
step:280/100000 loss:3.5783 t:49738ms step:176ms
step:290/100000 loss:3.7490 t:51505ms step:177ms
step:300/100000 loss:3.7478 t:53276ms step:179ms
step:310/100000 loss:3.5642 t:55055ms step:178ms
step:320/100000 loss:3.6381 t:56853ms step:174ms
step:330/100000 loss:3.4915 t:58626ms step:177ms
step:340/100000 loss:3.5282 t:60396ms step:179ms
step:350/100000 loss:3.7737 t:62168ms step:176ms
step:360/100000 loss:3.7617 t:63956ms step:174ms
step:370/100000 loss:3.5691 t:65733ms step:175ms
step:380/100000 loss:3.5284 t:67515ms step:177ms
