Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:3220070 arch:skc layers:6 dim:256 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9366 t:434ms step:434ms
step:2/100000 loss:6.9162 t:818ms step:383ms
step:3/100000 loss:6.3319 t:1214ms step:396ms
step:4/100000 loss:7.3515 t:1616ms step:401ms
step:5/100000 loss:7.1640 t:2011ms step:395ms
step:10/100000 loss:6.9254 t:4020ms step:403ms
step:20/100000 loss:5.9346 t:8038ms step:389ms
step:30/100000 loss:5.5365 t:11982ms step:388ms
step:40/100000 loss:5.4824 t:15896ms step:392ms
step:50/100000 loss:5.0713 t:19835ms step:393ms
step:60/100000 loss:5.0439 t:23742ms step:389ms
step:70/100000 loss:4.7842 t:27680ms step:410ms
step:80/100000 loss:4.6719 t:31593ms step:390ms
step:90/100000 loss:4.5973 t:35512ms step:392ms
step:100/100000 loss:4.6735 t:39489ms step:392ms
step:110/100000 loss:4.4386 t:43412ms step:391ms
step:120/100000 loss:4.2654 t:47328ms step:395ms
step:130/100000 loss:4.3543 t:51241ms step:391ms
step:140/100000 loss:4.1896 t:55149ms step:391ms
step:150/100000 loss:4.3800 t:59066ms step:388ms
step:160/100000 loss:4.1412 t:62981ms step:395ms
step:170/100000 loss:4.1610 t:66896ms step:393ms
step:180/100000 loss:4.1936 t:70837ms step:389ms
step:190/100000 loss:4.0249 t:74759ms step:393ms
step:200/100000 loss:3.9406 t:78696ms step:392ms
step:210/100000 loss:3.9157 t:82620ms step:392ms
step:220/100000 loss:3.9807 t:86543ms step:391ms
step:230/100000 loss:3.9689 t:90461ms step:393ms
step:240/100000 loss:3.6529 t:94372ms step:393ms
step:250/100000 loss:3.7993 t:98340ms step:398ms
step:260/100000 loss:3.6771 t:102289ms step:389ms
step:270/100000 loss:3.4935 t:106225ms step:391ms
step:280/100000 loss:3.3061 t:110149ms step:392ms
step:290/100000 loss:3.3932 t:114077ms step:390ms
step:300/100000 loss:3.2568 t:118006ms step:386ms
step:310/100000 loss:3.1095 t:121928ms step:390ms
step:320/100000 loss:3.1082 t:125877ms step:395ms
step:330/100000 loss:2.9443 t:129788ms step:392ms
step:340/100000 loss:3.0745 t:133737ms step:388ms
step:350/100000 loss:3.1047 t:137668ms step:393ms
step:360/100000 loss:3.1576 t:141593ms step:393ms
step:370/100000 loss:2.9340 t:145520ms step:395ms
step:380/100000 loss:2.8364 t:149440ms step:389ms
step:390/100000 loss:2.7809 t:153376ms step:393ms
