====== START B_6layers @ Fri Apr  3 15:18:02 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:230ms step:230ms
step:2/100000 loss:6.6796 t:417ms step:186ms
step:3/100000 loss:6.2050 t:610ms step:193ms
step:4/100000 loss:6.0702 t:800ms step:190ms
step:5/100000 loss:6.1458 t:988ms step:188ms
step:10/100000 loss:5.8754 t:1944ms step:192ms
step:20/100000 loss:5.5652 t:3883ms step:192ms
step:30/100000 loss:5.0719 t:5799ms step:192ms
step:40/100000 loss:4.9951 t:7705ms step:188ms
step:50/100000 loss:4.8481 t:9620ms step:187ms
step:60/100000 loss:4.8038 t:11542ms step:190ms
step:70/100000 loss:4.6317 t:13452ms step:191ms
step:80/100000 loss:4.5842 t:15368ms step:190ms
step:90/100000 loss:4.5492 t:17294ms step:190ms
step:100/100000 loss:4.6299 t:19200ms step:192ms
step:110/100000 loss:4.4787 t:21121ms step:195ms
step:120/100000 loss:4.3672 t:23050ms step:185ms
step:130/100000 loss:4.4108 t:24959ms step:191ms
step:140/100000 loss:4.2920 t:26861ms step:193ms
step:150/100000 loss:4.5099 t:28769ms step:193ms
step:160/100000 loss:4.2488 t:30677ms step:191ms
step:170/100000 loss:4.2944 t:32589ms step:191ms
step:180/100000 loss:4.2929 t:34510ms step:188ms
step:190/100000 loss:4.1779 t:36449ms step:189ms
step:200/100000 loss:4.1548 t:38361ms step:191ms
step:210/100000 loss:4.1156 t:40278ms step:192ms
step:220/100000 loss:4.2454 t:42202ms step:209ms
step:230/100000 loss:4.2942 t:44109ms step:191ms
step:240/100000 loss:4.0351 t:46026ms step:189ms
step:250/100000 loss:4.2238 t:47942ms step:191ms
step:260/100000 loss:4.2122 t:49875ms step:189ms
step:270/100000 loss:4.0772 t:51784ms step:192ms
step:280/100000 loss:4.0456 t:53742ms step:200ms
step:290/100000 loss:4.2546 t:55673ms step:192ms
step:300/100000 loss:4.2178 t:57592ms step:189ms
step:310/100000 loss:4.0885 t:59516ms step:190ms
step:320/100000 loss:4.1471 t:61429ms step:189ms
step:330/100000 loss:4.0070 t:63377ms step:195ms
step:340/100000 loss:4.0948 t:65302ms step:191ms
step:350/100000 loss:4.2852 t:67212ms step:194ms
step:360/100000 loss:4.3157 t:69169ms step:196ms
step:370/100000 loss:4.1614 t:71077ms step:191ms
step:380/100000 loss:4.0290 t:72983ms step:189ms
