====== START G_lawa_off @ Fri Apr  3 15:28:14 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:612258 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=False(k=5 freq=100) swa=False(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:183ms step:183ms
step:2/100000 loss:6.6875 t:327ms step:143ms
step:3/100000 loss:6.2305 t:470ms step:143ms
step:4/100000 loss:6.0821 t:615ms step:144ms
step:5/100000 loss:6.1464 t:757ms step:142ms
step:10/100000 loss:5.9009 t:1491ms step:143ms
step:20/100000 loss:5.6088 t:2940ms step:143ms
step:30/100000 loss:5.1205 t:4374ms step:144ms
step:40/100000 loss:5.0323 t:5825ms step:146ms
step:50/100000 loss:4.8514 t:7271ms step:144ms
step:60/100000 loss:4.8390 t:8724ms step:145ms
step:70/100000 loss:4.6613 t:10161ms step:141ms
step:80/100000 loss:4.5876 t:11609ms step:145ms
step:90/100000 loss:4.5541 t:13050ms step:146ms
step:100/100000 loss:4.6335 t:14495ms step:140ms
step:110/100000 loss:4.4882 t:15931ms step:139ms
step:120/100000 loss:4.3531 t:17356ms step:143ms
step:130/100000 loss:4.4253 t:18806ms step:142ms
step:140/100000 loss:4.2895 t:20245ms step:146ms
step:150/100000 loss:4.4546 t:21685ms step:145ms
step:160/100000 loss:4.2781 t:23138ms step:142ms
step:170/100000 loss:4.3161 t:24585ms step:143ms
step:180/100000 loss:4.3156 t:26041ms step:138ms
step:190/100000 loss:4.2455 t:27479ms step:144ms
step:200/100000 loss:4.1834 t:28918ms step:147ms
step:210/100000 loss:4.1522 t:30360ms step:142ms
step:220/100000 loss:4.2841 t:31805ms step:143ms
step:230/100000 loss:4.3300 t:33242ms step:146ms
step:240/100000 loss:4.0680 t:34695ms step:142ms
step:250/100000 loss:4.2628 t:36163ms step:144ms
step:260/100000 loss:4.2417 t:37602ms step:145ms
step:270/100000 loss:4.1082 t:39060ms step:140ms
step:280/100000 loss:4.0812 t:40489ms step:142ms
step:290/100000 loss:4.3054 t:41941ms step:145ms
step:300/100000 loss:4.2562 t:43385ms step:142ms
step:310/100000 loss:4.1300 t:44821ms step:143ms
step:320/100000 loss:4.2042 t:46264ms step:141ms
step:330/100000 loss:4.0357 t:47721ms step:149ms
step:340/100000 loss:4.1306 t:49159ms step:146ms
step:350/100000 loss:4.3328 t:50596ms step:143ms
step:360/100000 loss:4.3699 t:52067ms step:145ms
step:370/100000 loss:4.2273 t:53504ms step:149ms
step:380/100000 loss:4.1059 t:54944ms step:140ms
step:390/100000 loss:4.0498 t:56381ms step:142ms
step:400/100000 loss:4.1323 t:57829ms step:144ms
step:410/100000 loss:4.1711 t:59276ms step:141ms
step:420/100000 loss:4.0047 t:60726ms step:146ms
step:430/100000 loss:3.9125 t:62164ms step:143ms
step:440/100000 loss:4.0994 t:63619ms step:143ms
step:450/100000 loss:4.2072 t:65051ms step:144ms
step:460/100000 loss:4.0227 t:66494ms step:143ms
step:470/100000 loss:3.9290 t:67943ms step:144ms
step:480/100000 loss:4.1081 t:69367ms step:155ms
step:490/100000 loss:4.1181 t:70803ms step:143ms
step:500/100000 loss:4.0824 t:72250ms step:141ms
step:510/100000 loss:4.0641 t:73691ms step:145ms
step:520/100000 loss:4.0613 t:75135ms step:143ms
step:530/100000 loss:3.7233 t:76568ms step:144ms
step:540/100000 loss:4.0257 t:78011ms step:145ms
step:550/100000 loss:4.0968 t:79457ms step:144ms
step:560/100000 loss:3.9639 t:80902ms step:144ms
step:570/100000 loss:3.9957 t:82349ms step:139ms
step:580/100000 loss:3.9698 t:83802ms step:144ms
step:590/100000 loss:4.0226 t:85245ms step:144ms
step:600/100000 loss:3.8749 t:86679ms step:141ms
step:610/100000 loss:3.9648 t:88128ms step:144ms
step:620/100000 loss:3.9618 t:89569ms step:149ms
step:630/100000 loss:4.7588 t:91014ms step:142ms
step:640/100000 loss:3.9859 t:92460ms step:146ms
step:650/100000 loss:3.9574 t:93895ms step:145ms
step:660/100000 loss:3.9295 t:95354ms step:143ms
step:670/100000 loss:4.0701 t:96809ms step:146ms
step:680/100000 loss:3.8633 t:98254ms step:145ms
step:690/100000 loss:3.9658 t:99707ms step:143ms
step:700/100000 loss:4.0636 t:101177ms step:147ms
step:710/100000 loss:4.0336 t:102639ms step:143ms
step:720/100000 loss:3.9535 t:104101ms step:145ms
step:730/100000 loss:3.9586 t:105554ms step:147ms
step:740/100000 loss:3.9385 t:107006ms step:141ms
step:750/100000 loss:4.0283 t:108470ms step:146ms
step:760/100000 loss:4.0743 t:109909ms step:147ms
step:770/100000 loss:4.1031 t:111343ms step:142ms
step:780/100000 loss:3.9899 t:112808ms step:159ms
step:790/100000 loss:4.0896 t:114141ms step:132ms
step:800/100000 loss:4.1869 t:115467ms step:131ms
step:810/100000 loss:3.9927 t:116778ms step:133ms
step:820/100000 loss:3.9201 t:118095ms step:131ms
step:830/100000 loss:4.0374 t:119416ms step:133ms
step:840/100000 loss:4.1343 t:120741ms step:133ms
step:850/100000 loss:4.1517 t:122076ms step:137ms
step:860/100000 loss:4.1557 t:123419ms step:133ms
step:870/100000 loss:3.7244 t:124745ms step:131ms
step:880/100000 loss:4.0221 t:126076ms step:133ms
step:890/100000 loss:3.9478 t:127389ms step:131ms
step:900/100000 loss:3.8866 t:128720ms step:132ms
step:910/100000 loss:3.8749 t:130050ms step:133ms
step:920/100000 loss:3.9106 t:131377ms step:129ms
step:930/100000 loss:4.1408 t:132727ms step:133ms
step:940/100000 loss:4.0841 t:134053ms step:130ms
step:950/100000 loss:3.9396 t:135408ms step:150ms
step:960/100000 loss:3.9184 t:136716ms step:133ms
step:970/100000 loss:4.2440 t:138058ms step:135ms
step:980/100000 loss:3.9473 t:139383ms step:133ms
step:990/100000 loss:3.8666 t:140704ms step:130ms
step:1000/100000 loss:3.9110 t:142049ms step:133ms
step:1010/100000 loss:3.8959 t:143366ms step:133ms
step:1020/100000 loss:3.8217 t:144706ms step:132ms
step:1030/100000 loss:3.8790 t:146024ms step:133ms
step:1040/100000 loss:3.9750 t:147347ms step:131ms
step:1050/100000 loss:3.9949 t:148682ms step:133ms
step:1060/100000 loss:4.0110 t:150015ms step:136ms
step:1070/100000 loss:3.7247 t:151350ms step:132ms
step:1080/100000 loss:3.8296 t:152675ms step:133ms
step:1090/100000 loss:4.0525 t:154013ms step:128ms
step:1100/100000 loss:3.9455 t:155337ms step:133ms
step:1110/100000 loss:3.8775 t:156660ms step:131ms
step:1120/100000 loss:3.8849 t:157992ms step:134ms
step:1130/100000 loss:3.7552 t:159307ms step:133ms
step:1140/100000 loss:4.3439 t:160640ms step:130ms
step:1150/100000 loss:3.9344 t:161978ms step:135ms
step:1160/100000 loss:3.9206 t:163292ms step:130ms
step:1170/100000 loss:3.9578 t:164626ms step:134ms
step:1180/100000 loss:3.7994 t:165946ms step:133ms
step:1190/100000 loss:3.9333 t:167281ms step:129ms
step:1200/100000 loss:4.0013 t:168603ms step:131ms
step:1210/100000 loss:3.9933 t:169921ms step:131ms
step:1220/100000 loss:3.7926 t:171249ms step:133ms
step:1230/100000 loss:3.7564 t:172572ms step:133ms
step:1240/100000 loss:3.9513 t:173926ms step:135ms
step:1250/100000 loss:3.9300 t:175255ms step:135ms
step:1260/100000 loss:3.9884 t:176583ms step:131ms
step:1270/100000 loss:3.8157 t:177918ms step:148ms
step:1280/100000 loss:3.2567 t:179233ms step:133ms
step:1290/100000 loss:3.9835 t:180574ms step:134ms
step:1300/100000 loss:3.9832 t:181891ms step:133ms
step:1310/100000 loss:4.0346 t:183217ms step:131ms
