====== START J_lr_low @ Fri Apr  3 15:43:29 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:612258 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:177ms step:177ms
step:2/100000 loss:6.7038 t:318ms step:141ms
step:3/100000 loss:6.2847 t:461ms step:143ms
step:4/100000 loss:6.1299 t:604ms step:142ms
step:5/100000 loss:6.1490 t:748ms step:144ms
step:10/100000 loss:5.9603 t:1435ms step:138ms
step:20/100000 loss:5.7359 t:2857ms step:143ms
step:30/100000 loss:5.3654 t:4284ms step:150ms
step:40/100000 loss:5.0956 t:5697ms step:142ms
step:50/100000 loss:4.9087 t:7123ms step:143ms
step:60/100000 loss:4.8425 t:8533ms step:143ms
step:70/100000 loss:4.6984 t:9966ms step:142ms
step:80/100000 loss:4.6313 t:11383ms step:142ms
step:90/100000 loss:4.6055 t:12799ms step:141ms
step:100/100000 loss:4.6470 t:14235ms step:144ms
step:110/100000 loss:4.5020 t:15657ms step:145ms
step:120/100000 loss:4.3703 t:17083ms step:139ms
step:130/100000 loss:4.4389 t:18520ms step:143ms
step:140/100000 loss:4.2742 t:19942ms step:143ms
step:150/100000 loss:4.4938 t:21364ms step:140ms
step:160/100000 loss:4.2946 t:22795ms step:143ms
step:170/100000 loss:4.3160 t:24234ms step:141ms
step:180/100000 loss:4.3393 t:25661ms step:144ms
step:190/100000 loss:4.2039 t:27091ms step:141ms
step:200/100000 loss:4.1800 t:28588ms step:145ms
step:210/100000 loss:4.1588 t:30049ms step:145ms
step:220/100000 loss:4.3111 t:31475ms step:142ms
step:230/100000 loss:4.3215 t:32893ms step:143ms
step:240/100000 loss:4.0615 t:34360ms step:142ms
step:250/100000 loss:4.2437 t:35793ms step:142ms
step:260/100000 loss:4.2626 t:37222ms step:139ms
step:270/100000 loss:4.1402 t:38645ms step:142ms
step:280/100000 loss:4.0796 t:40071ms step:142ms
step:290/100000 loss:4.3028 t:41499ms step:142ms
step:300/100000 loss:4.2619 t:42950ms step:172ms
step:310/100000 loss:4.1300 t:44365ms step:142ms
step:320/100000 loss:4.1961 t:45807ms step:149ms
step:330/100000 loss:4.0779 t:47227ms step:144ms
step:340/100000 loss:4.1446 t:48664ms step:141ms
step:350/100000 loss:4.3510 t:50093ms step:140ms
step:360/100000 loss:4.3547 t:51514ms step:145ms
step:370/100000 loss:4.2055 t:52949ms step:141ms
step:380/100000 loss:4.0919 t:54375ms step:143ms
