====== START K_6layers_s1337 @ Fri Apr  3 15:48:34 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9363 t:226ms step:225ms
step:2/100000 loss:6.6589 t:414ms step:188ms
step:3/100000 loss:6.1935 t:603ms step:188ms
step:4/100000 loss:6.0891 t:792ms step:189ms
step:5/100000 loss:6.1444 t:980ms step:188ms
step:10/100000 loss:5.9203 t:1927ms step:189ms
step:20/100000 loss:5.6614 t:3816ms step:189ms
step:30/100000 loss:5.2182 t:5712ms step:190ms
step:40/100000 loss:5.0604 t:7593ms step:188ms
step:50/100000 loss:4.8444 t:9486ms step:189ms
step:60/100000 loss:4.8130 t:11394ms step:206ms
step:70/100000 loss:4.6620 t:13277ms step:189ms
step:80/100000 loss:4.5887 t:15170ms step:190ms
step:90/100000 loss:4.5747 t:17058ms step:188ms
step:100/100000 loss:4.6333 t:18952ms step:189ms
step:110/100000 loss:4.4680 t:20838ms step:187ms
step:120/100000 loss:4.3259 t:22731ms step:188ms
step:130/100000 loss:4.4268 t:24640ms step:188ms
step:140/100000 loss:4.2473 t:26528ms step:188ms
step:150/100000 loss:4.4457 t:28433ms step:193ms
step:160/100000 loss:4.2481 t:30348ms step:194ms
step:170/100000 loss:4.2974 t:32271ms step:189ms
step:180/100000 loss:4.2887 t:34167ms step:189ms
step:190/100000 loss:4.2059 t:36058ms step:189ms
step:200/100000 loss:4.1255 t:37955ms step:189ms
step:210/100000 loss:4.1375 t:39847ms step:189ms
step:220/100000 loss:4.2337 t:41732ms step:187ms
step:230/100000 loss:4.3067 t:43625ms step:188ms
step:240/100000 loss:4.0351 t:45530ms step:189ms
step:250/100000 loss:4.2123 t:47441ms step:192ms
step:260/100000 loss:4.1837 t:49345ms step:190ms
step:270/100000 loss:4.0656 t:51257ms step:188ms
step:280/100000 loss:4.0049 t:53145ms step:188ms
step:290/100000 loss:4.1887 t:55038ms step:189ms
step:300/100000 loss:4.1177 t:56922ms step:186ms
step:310/100000 loss:4.0007 t:58817ms step:190ms
step:320/100000 loss:4.0043 t:60708ms step:189ms
step:330/100000 loss:3.8431 t:62596ms step:189ms
step:340/100000 loss:4.0065 t:64495ms step:190ms
step:350/100000 loss:4.1035 t:66388ms step:189ms
step:360/100000 loss:4.1428 t:68280ms step:188ms
step:370/100000 loss:3.9471 t:70180ms step:189ms
step:380/100000 loss:3.9248 t:72075ms step:189ms
