====== START L_weight_share @ Fri Apr  3 15:53:40 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=True inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:370ms step:370ms
step:2/100000 loss:6.6795 t:548ms step:178ms
step:3/100000 loss:6.2050 t:725ms step:177ms
step:4/100000 loss:6.0700 t:901ms step:176ms
step:5/100000 loss:6.1459 t:1078ms step:176ms
step:10/100000 loss:5.8812 t:1961ms step:177ms
step:20/100000 loss:5.5965 t:3728ms step:176ms
step:30/100000 loss:5.1133 t:5493ms step:176ms
step:40/100000 loss:5.0041 t:7333ms step:182ms
step:50/100000 loss:4.8515 t:9168ms step:182ms
step:60/100000 loss:4.8076 t:11007ms step:184ms
step:70/100000 loss:4.6472 t:12866ms step:183ms
step:80/100000 loss:4.5672 t:14720ms step:185ms
step:90/100000 loss:4.5770 t:16607ms step:185ms
step:100/100000 loss:4.6409 t:18458ms step:180ms
step:110/100000 loss:4.4566 t:20267ms step:178ms
step:120/100000 loss:4.3401 t:22038ms step:176ms
step:130/100000 loss:4.3904 t:23807ms step:178ms
step:140/100000 loss:4.2620 t:25597ms step:177ms
step:150/100000 loss:4.4723 t:27451ms step:188ms
step:160/100000 loss:4.2865 t:29480ms step:192ms
step:170/100000 loss:4.2534 t:31379ms step:192ms
step:180/100000 loss:4.3375 t:33294ms step:190ms
step:190/100000 loss:4.1714 t:35178ms step:187ms
step:200/100000 loss:4.2409 t:37056ms step:188ms
step:210/100000 loss:4.1535 t:39005ms step:188ms
step:220/100000 loss:4.2443 t:40903ms step:194ms
step:230/100000 loss:4.2869 t:42793ms step:190ms
step:240/100000 loss:4.0256 t:44720ms step:195ms
step:250/100000 loss:4.2089 t:46754ms step:199ms
step:260/100000 loss:4.1955 t:48708ms step:192ms
step:270/100000 loss:4.0863 t:50652ms step:192ms
step:280/100000 loss:4.0306 t:52589ms step:190ms
step:290/100000 loss:4.2694 t:54507ms step:188ms
step:300/100000 loss:4.2141 t:56423ms step:190ms
step:310/100000 loss:4.0419 t:58367ms step:192ms
step:320/100000 loss:4.1388 t:60322ms step:194ms
step:330/100000 loss:3.9950 t:62221ms step:190ms
step:340/100000 loss:4.1017 t:64115ms step:191ms
step:350/100000 loss:4.2135 t:66013ms step:190ms
step:360/100000 loss:4.2704 t:67922ms step:189ms
step:370/100000 loss:4.1007 t:69815ms step:189ms
step:380/100000 loss:4.0196 t:71713ms step:191ms
