====== START M_feedback @ Fri Apr  3 15:58:47 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:674564 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:True passes:1 every:2 eval_passes:2 capsule:True engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:874ms step:874ms
step:2/100000 loss:6.6874 t:1019ms step:144ms
step:3/100000 loss:6.2305 t:1215ms step:196ms
step:4/100000 loss:6.0820 t:1353ms step:137ms
step:5/100000 loss:6.1532 t:1553ms step:200ms
step:10/100000 loss:5.9261 t:2361ms step:136ms
step:20/100000 loss:5.7860 t:4044ms step:138ms
step:30/100000 loss:5.6372 t:5726ms step:138ms
step:40/100000 loss:5.3842 t:7409ms step:137ms
step:50/100000 loss:5.2531 t:9081ms step:135ms
step:60/100000 loss:5.1265 t:10757ms step:136ms
step:70/100000 loss:4.9757 t:12441ms step:136ms
step:80/100000 loss:4.8601 t:14116ms step:136ms
step:90/100000 loss:4.8712 t:15798ms step:137ms
step:100/100000 loss:4.8940 t:17481ms step:138ms
step:110/100000 loss:4.8128 t:19173ms step:137ms
step:120/100000 loss:4.7145 t:20848ms step:135ms
step:130/100000 loss:4.7155 t:22535ms step:138ms
step:140/100000 loss:4.6189 t:24222ms step:144ms
step:150/100000 loss:4.7283 t:25936ms step:138ms
step:160/100000 loss:4.5213 t:27619ms step:138ms
step:170/100000 loss:4.5781 t:29308ms step:137ms
step:180/100000 loss:4.6514 t:30992ms step:137ms
step:190/100000 loss:4.5637 t:32674ms step:135ms
step:200/100000 loss:4.5920 t:34350ms step:137ms
step:210/100000 loss:4.5163 t:36032ms step:136ms
step:220/100000 loss:4.5882 t:37715ms step:138ms
step:230/100000 loss:4.6559 t:39407ms step:136ms
step:240/100000 loss:4.3883 t:41089ms step:137ms
step:250/100000 loss:4.6561 t:42762ms step:135ms
step:260/100000 loss:4.5628 t:44434ms step:138ms
step:270/100000 loss:4.5038 t:46119ms step:138ms
step:280/100000 loss:4.4292 t:47801ms step:137ms
step:290/100000 loss:4.5551 t:49481ms step:138ms
step:300/100000 loss:4.5408 t:51164ms step:138ms
step:310/100000 loss:4.4067 t:52857ms step:136ms
step:320/100000 loss:4.5112 t:54532ms step:136ms
step:330/100000 loss:4.3081 t:56219ms step:139ms
step:340/100000 loss:4.5341 t:57898ms step:137ms
step:350/100000 loss:4.5893 t:59602ms step:138ms
step:360/100000 loss:4.6756 t:61286ms step:137ms
