====== START N_engram @ Fri Apr  3 16:03:56 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:759714 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:178ms step:178ms
step:2/100000 loss:6.6876 t:317ms step:139ms
step:3/100000 loss:6.2302 t:458ms step:141ms
step:4/100000 loss:6.0816 t:599ms step:141ms
step:5/100000 loss:6.1466 t:737ms step:137ms
step:10/100000 loss:5.9038 t:1418ms step:138ms
step:20/100000 loss:5.6030 t:2788ms step:137ms
step:30/100000 loss:5.1209 t:4133ms step:136ms
step:40/100000 loss:4.9889 t:5493ms step:136ms
step:50/100000 loss:4.8081 t:6862ms step:134ms
step:60/100000 loss:4.7715 t:8217ms step:136ms
step:70/100000 loss:4.5964 t:9577ms step:138ms
step:80/100000 loss:4.4954 t:10936ms step:137ms
step:90/100000 loss:4.4498 t:12297ms step:136ms
step:100/100000 loss:4.5189 t:13671ms step:134ms
step:110/100000 loss:4.3718 t:15040ms step:138ms
step:120/100000 loss:4.1991 t:16402ms step:141ms
step:130/100000 loss:4.3303 t:17773ms step:135ms
step:140/100000 loss:4.1639 t:19141ms step:136ms
step:150/100000 loss:4.3943 t:20521ms step:134ms
step:160/100000 loss:4.2049 t:21885ms step:138ms
step:170/100000 loss:4.1734 t:23243ms step:137ms
step:180/100000 loss:4.2398 t:24610ms step:138ms
step:190/100000 loss:4.1188 t:25979ms step:137ms
step:200/100000 loss:4.0714 t:27355ms step:134ms
step:210/100000 loss:4.0575 t:28715ms step:137ms
step:220/100000 loss:4.1359 t:30075ms step:136ms
step:230/100000 loss:4.2322 t:31438ms step:135ms
step:240/100000 loss:3.9448 t:32803ms step:136ms
step:250/100000 loss:4.1797 t:34171ms step:135ms
step:260/100000 loss:4.1278 t:35535ms step:136ms
step:270/100000 loss:4.0073 t:36901ms step:137ms
step:280/100000 loss:3.9591 t:38263ms step:136ms
step:290/100000 loss:4.2051 t:39630ms step:136ms
step:300/100000 loss:4.1705 t:41024ms step:139ms
step:310/100000 loss:4.0186 t:42405ms step:136ms
step:320/100000 loss:4.1051 t:43772ms step:135ms
step:330/100000 loss:3.9108 t:45135ms step:138ms
step:340/100000 loss:4.1637 t:46501ms step:136ms
step:350/100000 loss:4.2143 t:47879ms step:136ms
step:360/100000 loss:4.3073 t:49243ms step:137ms
step:370/100000 loss:4.1029 t:50643ms step:148ms
step:380/100000 loss:3.9923 t:52100ms step:146ms
