====== START Q_6L_feedback @ Fri Apr  3 16:14:07 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:939286 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:True passes:1 every:2 eval_passes:2 capsule:True engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:335ms step:335ms
step:2/100000 loss:6.6796 t:544ms step:208ms
step:3/100000 loss:6.2054 t:835ms step:291ms
step:4/100000 loss:6.0705 t:1033ms step:197ms
step:5/100000 loss:6.1490 t:1323ms step:290ms
step:10/100000 loss:5.8994 t:2495ms step:195ms
step:20/100000 loss:5.7847 t:4932ms step:196ms
step:30/100000 loss:5.5494 t:7369ms step:197ms
step:40/100000 loss:5.4833 t:9796ms step:196ms
step:50/100000 loss:5.2215 t:12228ms step:196ms
step:60/100000 loss:5.1071 t:14659ms step:195ms
step:70/100000 loss:4.9732 t:17093ms step:195ms
step:80/100000 loss:4.8867 t:19535ms step:197ms
step:90/100000 loss:4.9085 t:21961ms step:195ms
step:100/100000 loss:4.8986 t:24413ms step:194ms
step:110/100000 loss:4.8543 t:26862ms step:197ms
step:120/100000 loss:4.7076 t:29281ms step:198ms
step:130/100000 loss:4.7071 t:31720ms step:197ms
step:140/100000 loss:4.6141 t:34166ms step:198ms
step:150/100000 loss:4.7301 t:36602ms step:197ms
step:160/100000 loss:4.5857 t:39047ms step:192ms
step:170/100000 loss:4.5925 t:41483ms step:196ms
step:180/100000 loss:4.6306 t:43920ms step:197ms
step:190/100000 loss:4.4706 t:46375ms step:196ms
step:200/100000 loss:4.5833 t:48824ms step:198ms
step:210/100000 loss:4.5649 t:51300ms step:196ms
step:220/100000 loss:4.5932 t:53744ms step:197ms
step:230/100000 loss:4.6436 t:56179ms step:197ms
step:240/100000 loss:4.4066 t:58627ms step:212ms
step:250/100000 loss:4.5562 t:61062ms step:196ms
step:260/100000 loss:4.5913 t:63498ms step:197ms
step:270/100000 loss:4.4435 t:65935ms step:197ms
step:280/100000 loss:4.4323 t:68365ms step:195ms
step:290/100000 loss:4.5065 t:70794ms step:197ms
step:300/100000 loss:4.4927 t:73277ms step:217ms
step:310/100000 loss:4.3660 t:75866ms step:213ms
step:320/100000 loss:4.4777 t:78506ms step:209ms
step:330/100000 loss:4.2645 t:80961ms step:199ms
step:340/100000 loss:4.5185 t:83423ms step:219ms
step:350/100000 loss:4.4932 t:85945ms step:199ms
step:360/100000 loss:4.5437 t:88498ms step:198ms
