START: DE_koopman_w05  Sat Apr  4 00:35:28 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:1025430 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:True engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:227ms step:227ms
step:2/100000 loss:6.6988 t:416ms step:188ms
step:3/100000 loss:6.3082 t:601ms step:186ms
step:4/100000 loss:6.1751 t:787ms step:186ms
step:5/100000 loss:6.1569 t:974ms step:186ms
step:10/100000 loss:5.9319 t:1912ms step:187ms
step:20/100000 loss:5.5673 t:3819ms step:187ms
step:30/100000 loss:5.1164 t:5696ms step:186ms
step:40/100000 loss:4.9530 t:7599ms step:190ms
step:50/100000 loss:4.7487 t:9486ms step:186ms
step:60/100000 loss:4.6917 t:11383ms step:191ms
step:70/100000 loss:4.5233 t:13288ms step:190ms
step:80/100000 loss:4.4235 t:15204ms step:192ms
step:90/100000 loss:4.3544 t:17112ms step:191ms
step:100/100000 loss:4.3484 t:19043ms step:190ms
step:110/100000 loss:4.2259 t:20953ms step:191ms
step:120/100000 loss:4.0910 t:22859ms step:190ms
step:130/100000 loss:4.1878 t:24769ms step:191ms
step:140/100000 loss:4.0019 t:26676ms step:192ms
step:150/100000 loss:4.2401 t:28623ms step:193ms
step:160/100000 loss:4.0009 t:30567ms step:191ms
step:170/100000 loss:3.9782 t:32472ms step:189ms
step:180/100000 loss:4.0206 t:34396ms step:191ms
step:190/100000 loss:3.9047 t:36296ms step:189ms
step:200/100000 loss:3.9273 t:38182ms step:188ms
step:210/100000 loss:3.8450 t:40078ms step:192ms
step:220/100000 loss:3.9305 t:41991ms step:190ms
step:230/100000 loss:3.9911 t:43892ms step:190ms
step:240/100000 loss:3.7045 t:45817ms step:191ms
step:250/100000 loss:3.8700 t:47726ms step:194ms
step:260/100000 loss:3.9383 t:49661ms step:192ms
step:270/100000 loss:3.7642 t:51576ms step:193ms
step:280/100000 loss:3.7534 t:53491ms step:191ms
step:290/100000 loss:3.8594 t:55394ms step:190ms
step:300/100000 loss:3.8376 t:57309ms step:190ms
step:310/100000 loss:3.7614 t:59189ms step:188ms
step:320/100000 loss:3.8029 t:61066ms step:188ms
step:330/100000 loss:3.5834 t:62945ms step:187ms
step:340/100000 loss:3.7199 t:64844ms step:187ms
step:350/100000 loss:3.8399 t:66719ms step:187ms
step:360/100000 loss:3.9059 t:68599ms step:188ms
