START: DF_koopman_1step  Sat Apr  4 00:40:38 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:1025430 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:True engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:224ms step:224ms
step:2/100000 loss:6.6988 t:404ms step:179ms
step:3/100000 loss:6.3082 t:586ms step:182ms
step:4/100000 loss:6.1751 t:767ms step:181ms
step:5/100000 loss:6.1569 t:950ms step:183ms
step:10/100000 loss:5.9312 t:1863ms step:181ms
step:20/100000 loss:5.5725 t:3707ms step:183ms
step:30/100000 loss:5.1323 t:5542ms step:185ms
step:40/100000 loss:4.9624 t:7374ms step:184ms
step:50/100000 loss:4.7535 t:9206ms step:182ms
step:60/100000 loss:4.6988 t:11043ms step:183ms
step:70/100000 loss:4.5020 t:12875ms step:185ms
step:80/100000 loss:4.4028 t:14706ms step:181ms
step:90/100000 loss:4.3359 t:16540ms step:185ms
step:100/100000 loss:4.3728 t:18368ms step:181ms
step:110/100000 loss:4.2420 t:20197ms step:182ms
step:120/100000 loss:4.1116 t:22041ms step:187ms
step:130/100000 loss:4.1741 t:23879ms step:182ms
step:140/100000 loss:3.9769 t:25727ms step:182ms
step:150/100000 loss:4.1863 t:27555ms step:182ms
step:160/100000 loss:4.0122 t:29390ms step:185ms
step:170/100000 loss:3.9841 t:31248ms step:182ms
step:180/100000 loss:4.0643 t:33077ms step:183ms
step:190/100000 loss:3.8940 t:34910ms step:185ms
step:200/100000 loss:3.9762 t:36744ms step:183ms
step:210/100000 loss:3.9356 t:38584ms step:182ms
step:220/100000 loss:3.9338 t:40420ms step:187ms
step:230/100000 loss:3.9612 t:42274ms step:187ms
step:240/100000 loss:3.6566 t:44140ms step:185ms
step:250/100000 loss:3.8712 t:45970ms step:183ms
step:260/100000 loss:3.8921 t:47801ms step:181ms
step:270/100000 loss:3.7586 t:49627ms step:183ms
step:280/100000 loss:3.6834 t:51516ms step:182ms
step:290/100000 loss:3.8384 t:53363ms step:185ms
step:300/100000 loss:3.8628 t:55200ms step:183ms
step:310/100000 loss:3.7306 t:57048ms step:184ms
step:320/100000 loss:3.7462 t:58885ms step:184ms
step:330/100000 loss:3.6060 t:60723ms step:183ms
step:340/100000 loss:3.6617 t:62554ms step:183ms
step:350/100000 loss:3.8930 t:64398ms step:181ms
step:360/100000 loss:3.8534 t:66233ms step:184ms
