START: DG_best_seed1337  Sat Apr  4 00:45:48 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:1016630 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9363 t:220ms step:220ms
step:2/100000 loss:6.6798 t:397ms step:177ms
step:3/100000 loss:6.2931 t:576ms step:178ms
step:4/100000 loss:6.1791 t:755ms step:178ms
step:5/100000 loss:6.1785 t:934ms step:179ms
step:10/100000 loss:5.9766 t:1851ms step:178ms
step:20/100000 loss:5.5817 t:3646ms step:179ms
step:30/100000 loss:5.1451 t:5438ms step:180ms
step:40/100000 loss:4.9605 t:7248ms step:180ms
step:50/100000 loss:4.7659 t:9086ms step:182ms
step:60/100000 loss:4.7127 t:10880ms step:180ms
step:70/100000 loss:4.5349 t:12679ms step:180ms
step:80/100000 loss:4.4805 t:14507ms step:211ms
step:90/100000 loss:4.3724 t:16292ms step:180ms
step:100/100000 loss:4.4165 t:18080ms step:179ms
step:110/100000 loss:4.2222 t:19872ms step:179ms
step:120/100000 loss:4.0966 t:21688ms step:179ms
step:130/100000 loss:4.1415 t:23483ms step:178ms
step:140/100000 loss:4.0346 t:25276ms step:179ms
step:150/100000 loss:4.1765 t:27071ms step:180ms
step:160/100000 loss:3.9613 t:28885ms step:178ms
step:170/100000 loss:3.9561 t:30680ms step:180ms
step:180/100000 loss:3.9326 t:32473ms step:181ms
step:190/100000 loss:3.8534 t:34282ms step:179ms
step:200/100000 loss:3.8190 t:36077ms step:180ms
step:210/100000 loss:3.6387 t:37870ms step:179ms
step:220/100000 loss:3.9011 t:39663ms step:179ms
step:230/100000 loss:3.8892 t:41463ms step:178ms
step:240/100000 loss:3.4868 t:43279ms step:185ms
step:250/100000 loss:3.7341 t:45197ms step:190ms
step:260/100000 loss:3.7281 t:47033ms step:206ms
step:270/100000 loss:3.6470 t:48837ms step:181ms
step:280/100000 loss:3.5204 t:50640ms step:179ms
step:290/100000 loss:3.6701 t:52436ms step:180ms
step:300/100000 loss:3.6171 t:54255ms step:179ms
step:310/100000 loss:3.5217 t:56053ms step:179ms
step:320/100000 loss:3.6220 t:57847ms step:180ms
step:330/100000 loss:3.3976 t:59644ms step:179ms
step:340/100000 loss:3.5190 t:61459ms step:179ms
step:350/100000 loss:3.5610 t:63256ms step:180ms
step:360/100000 loss:3.7774 t:65040ms step:178ms
step:370/100000 loss:3.5253 t:66848ms step:192ms
step:380/100000 loss:3.3593 t:68629ms step:178ms
