0.16	RTX A5000	Low	24
0.17	RTX A4000	Low	16
0.18	RTX 3080 Ti	Low	12
0.19	RTX 4070 Ti	Low	12
0.19	RTX A4500	Low	20
0.2	RTX 4000 Ada	Low	20
0.22	RTX 3090	High	24
0.27	RTX 3090 Ti	Low	24
0.27	RTX 4080	Low	16
0.28	RTX 4080 SUPER	Low	16
0.33	RTX A6000	Low	48
0.34	RTX 4090	Medium	24
0.39	RTX 5080	Low	16
0.49	RTX 5000 Ada	Low	32
0.69	L40	Low	48
0.69	RTX 5090	Medium	32
0.74	RTX 6000 Ada	Low	48
0.79	L40S	Low	48
1.19	A100 PCIe	Low	80
1.39	A100 SXM	Low	80
1.64	RTX PRO 6000 MaxQ	Low	96
1.69	RTX PRO 6000 WK	Low	96
2.59	H100 NVL	Low	94
