==========================================================================
  Cheap Multi-GPU Small SKC Run
  RUN_ID : small_skc_2gpu_s42_20260407_053520
  MODEL  : SKC L=8 D=256 H=4/2
  SKC    : block=16 caps=8 cap_dim=64
  ENGRAM : buckets=3072 dim=112 orders=3
  TERNARY: train_align=0@0.85 thr_search=0 scale_search=0
  CURR   : 64 -> 128 -> 256 @ 35% / 65%
  BATCH  : 8192 tok/step  seq=256
  VRAM   : min_gpu_mem=141GB  val_batch=32768
  BUDGET : 45s
  SEED   : 42
  GPUS   : 1
  EXPORT : turbo=1 hess=0 sliding=0 ngram=0
  SMOKE  : 1
==========================================================================
logs/cuda/small_skc_2gpu_s42_20260407_053520.txt
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 scalar_decay=31 engram_scalar=12
params:3810120 L:8 d:256 h:4 kv:2 ws:1 ga:1 s:42
step:1/500000 loss:7.0881 t:469ms avg:469.3ms
step:2/500000 loss:6.8291 t:537ms avg:268.7ms
step:3/500000 loss:6.7281 t:595ms avg:198.2ms
step:4/500000 loss:6.5545 t:657ms avg:164.3ms
step:5/500000 loss:12.1984 t:723ms avg:144.6ms
step:6/500000 loss:6.7991 t:785ms avg:130.9ms
step:7/500000 loss:11.1953 t:850ms avg:121.4ms
step:8/500000 loss:8.3475 t:911ms avg:113.8ms
step:9/500000 loss:16.7339 t:970ms avg:107.8ms
step:10/500000 loss:11.7228 t:1035ms avg:103.5ms
step:11/500000 loss:8.2056 t:1092ms avg:99.3ms
step:12/500000 loss:7.8285 t:1157ms avg:96.4ms
step:13/500000 loss:9.1714 t:1224ms avg:94.1ms
step:14/500000 loss:7.2310 t:1281ms avg:91.5ms
step:15/500000 loss:18.5390 t:1345ms avg:89.6ms
step:16/500000 loss:12.5691 t:1405ms avg:87.8ms
step:17/500000 loss:9.2759 t:1467ms avg:86.3ms
step:18/500000 loss:7.7145 t:1534ms avg:85.2ms
step:19/500000 loss:12.0537 t:1591ms avg:83.7ms
step:20/500000 loss:8.6814 t:1657ms avg:82.9ms
step:21/500000 loss:9.9552 t:1722ms avg:82.0ms
step:22/500000 loss:9.2763 t:1786ms avg:81.2ms
step:23/500000 loss:10.5058 t:1852ms avg:80.5ms
step:24/500000 loss:8.4389 t:1918ms avg:79.9ms
step:25/500000 loss:8.2176 t:1976ms avg:79.0ms
step:26/500000 loss:9.0481 t:2041ms avg:78.5ms
step:27/500000 loss:13.0377 t:2101ms avg:77.8ms
step:28/500000 loss:10.4198 t:2161ms avg:77.2ms
step:29/500000 loss:8.0068 t:2236ms avg:77.1ms
step:30/500000 loss:7.5547 t:2309ms avg:77.0ms
step:31/500000 loss:7.6622 t:2377ms avg:76.7ms
step:32/500000 loss:12.1484 t:2450ms avg:76.6ms
step:33/500000 loss:9.0691 t:2533ms avg:76.7ms
step:34/500000 loss:9.9942 t:2598ms avg:76.4ms
step:35/500000 loss:8.9290 t:2677ms avg:76.5ms
step:36/500000 loss:9.8251 t:2751ms avg:76.4ms
step:37/500000 loss:8.2716 t:2823ms avg:76.3ms
step:38/500000 loss:9.0321 t:2888ms avg:76.0ms
step:39/500000 loss:8.2966 t:2958ms avg:75.8ms
step:40/500000 loss:14.7275 t:3029ms avg:75.7ms
step:41/500000 loss:11.5905 t:3094ms avg:75.5ms
step:42/500000 loss:7.8790 t:3165ms avg:75.4ms
step:43/500000 loss:7.7110 t:3241ms avg:75.4ms
step:44/500000 loss:7.7972 t:3311ms avg:75.3ms
step:45/500000 loss:7.1821 t:3380ms avg:75.1ms
step:46/500000 loss:7.9220 t:3452ms avg:75.0ms
step:47/500000 loss:7.2435 t:3525ms avg:75.0ms
step:48/500000 loss:7.1648 t:3591ms avg:74.8ms
step:49/500000 loss:7.3387 t:3659ms avg:74.7ms
step:50/500000 loss:7.2640 t:3732ms avg:74.6ms
step:51/500000 loss:6.7153 t:3804ms avg:74.6ms
step:52/500000 loss:6.7245 t:3874ms avg:74.5ms
step:53/500000 loss:6.9199 t:3947ms avg:74.5ms
step:54/500000 loss:6.3067 t:4018ms avg:74.4ms
step:55/500000 loss:6.8594 t:4083ms avg:74.2ms
step:56/500000 loss:7.0528 t:4163ms avg:74.3ms
step:57/500000 loss:6.6797 t:4232ms avg:74.2ms
step:58/500000 loss:6.7211 t:4297ms avg:74.1ms
step:59/500000 loss:6.4423 t:4379ms avg:74.2ms
step:60/500000 loss:6.2738 t:4452ms avg:74.2ms
step:61/500000 loss:6.3684 t:4527ms avg:74.2ms
step:62/500000 loss:6.3168 t:4594ms avg:74.1ms
step:63/500000 loss:6.0257 t:4663ms avg:74.0ms
step:64/500000 loss:6.4768 t:4735ms avg:74.0ms
step:65/500000 loss:6.1425 t:4803ms avg:73.9ms
step:66/500000 loss:6.3920 t:4873ms avg:73.8ms
step:67/500000 loss:6.2838 t:4945ms avg:73.8ms
step:68/500000 loss:5.9806 t:5017ms avg:73.8ms
step:69/500000 loss:5.8971 t:5082ms avg:73.7ms
step:70/500000 loss:5.7611 t:5156ms avg:73.7ms
step:71/500000 loss:5.8317 t:5231ms avg:73.7ms
step:72/500000 loss:5.9739 t:5295ms avg:73.5ms
step:73/500000 loss:5.8402 t:5362ms avg:73.5ms
step:74/500000 loss:5.8265 t:5431ms avg:73.4ms
step:75/500000 loss:5.3084 t:5493ms avg:73.2ms
step:76/500000 loss:5.6072 t:5565ms avg:73.2ms
step:77/500000 loss:5.7553 t:5637ms avg:73.2ms
step:78/500000 loss:5.7117 t:5703ms avg:73.1ms
step:79/500000 loss:5.5962 t:5771ms avg:73.0ms
step:80/500000 loss:5.5283 t:5840ms avg:73.0ms
step:81/500000 loss:5.5812 t:5904ms avg:72.9ms
step:82/500000 loss:5.3920 t:5974ms avg:72.9ms
step:83/500000 loss:5.4034 t:6041ms avg:72.8ms
step:84/500000 loss:5.4022 t:6103ms avg:72.7ms
step:85/500000 loss:5.3197 t:6170ms avg:72.6ms
step:86/500000 loss:5.4260 t:6237ms avg:72.5ms
step:87/500000 loss:5.4692 t:6299ms avg:72.4ms
step:88/500000 loss:5.4089 t:6370ms avg:72.4ms
step:89/500000 loss:5.3750 t:6436ms avg:72.3ms
step:90/500000 loss:5.3347 t:6494ms avg:72.2ms
step:91/500000 loss:5.4472 t:6557ms avg:72.1ms
step:92/500000 loss:5.3163 t:6622ms avg:72.0ms
step:93/500000 loss:5.2566 t:6680ms avg:71.8ms
step:94/500000 loss:5.2886 t:6750ms avg:71.8ms
step:95/500000 loss:5.2916 t:6813ms avg:71.7ms
step:96/500000 loss:5.2102 t:6873ms avg:71.6ms
step:97/500000 loss:5.1781 t:6937ms avg:71.5ms
step:98/500000 loss:5.1880 t:6995ms avg:71.4ms
step:99/500000 loss:5.0393 t:7058ms avg:71.3ms
step:100/500000 loss:5.3583 t:7126ms avg:71.3ms
step:101/500000 loss:5.4369 t:7185ms avg:71.1ms
step:102/500000 loss:5.4815 t:7249ms avg:71.1ms
step:103/500000 loss:5.2827 t:7309ms avg:71.0ms
step:104/500000 loss:5.2852 t:7373ms avg:70.9ms
step:105/500000 loss:5.0840 t:7439ms avg:70.8ms
step:106/500000 loss:5.1699 t:7497ms avg:70.7ms
step:107/500000 loss:5.0972 t:7562ms avg:70.7ms
step:108/500000 loss:5.0718 t:7627ms avg:70.6ms
step:109/500000 loss:5.1394 t:7685ms avg:70.5ms
step:110/500000 loss:4.9810 t:7752ms avg:70.5ms
step:111/500000 loss:5.0159 t:7820ms avg:70.5ms
step:112/500000 loss:5.0342 t:7879ms avg:70.3ms
step:113/500000 loss:5.0141 t:7943ms avg:70.3ms
step:114/500000 loss:5.0826 t:8003ms avg:70.2ms
step:115/500000 loss:4.9392 t:8067ms avg:70.1ms
step:116/500000 loss:4.9938 t:8133ms avg:70.1ms
step:117/500000 loss:4.9609 t:8191ms avg:70.0ms
step:118/500000 loss:5.0279 t:8259ms avg:70.0ms
step:119/500000 loss:4.9289 t:8325ms avg:70.0ms
step:120/500000 loss:4.8310 t:8384ms avg:69.9ms
step:121/500000 loss:4.9275 t:8446ms avg:69.8ms
step:122/500000 loss:4.8816 t:8507ms avg:69.7ms
