0.34	NVIDIA RTX A4000	Low	16	RTX A4000
0.36	NVIDIA GeForce RTX 3080 Ti	Low	12	RTX 3080 Ti
0.38	NVIDIA GeForce RTX 4070 Ti	Low	12	RTX 4070 Ti
0.38	NVIDIA RTX A4500	Low	20	RTX A4500
0.4	NVIDIA RTX 4000 Ada Generation	Low	20	RTX 4000 Ada
0.44	NVIDIA GeForce RTX 3090	High	24	RTX 3090
0.56	NVIDIA GeForce RTX 4080 SUPER	Low	16	RTX 4080 SUPER
0.68	NVIDIA GeForce RTX 4090	High	24	RTX 4090
0.98	NVIDIA RTX 5000 Ada Generation	Low	32	RTX 5000 Ada
1.38	NVIDIA GeForce RTX 5090	Low	32	RTX 5090
1.38	NVIDIA L40	Low	48	L40
1.48	NVIDIA RTX 6000 Ada Generation	Low	48	RTX 6000 Ada
1.58	NVIDIA L40S	Low	48	L40S
2.38	NVIDIA A100 80GB PCIe	Low	80	A100 PCIe
2.78	NVIDIA A100-SXM4-80GB	Low	80	A100 SXM
