params=7,311,756 est_fp16_artifact=13.95MB
train_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_train_*.bin
val_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens=62021632
training window: start_g=0 target_g=1000000000 run_update_budget=125000000
u=1 g=8 loss=55.4500 lr=1.5e-06 tok/step=32768
u=20 g=160 loss=55.4201 lr=3e-05 tok/step=32768
u=40 g=320 loss=55.2552 lr=6e-05 tok/step=32768
u=60 g=480 loss=55.0374 lr=9e-05 tok/step=32768
u=80 g=640 loss=54.7648 lr=0.00012 tok/step=32768
u=100 g=800 loss=54.4233 lr=0.00015 tok/step=32768
u=120 g=960 loss=54.0115 lr=0.00018 tok/step=32768
u=140 g=1120 loss=53.5466 lr=0.00021 tok/step=32768
u=160 g=1280 loss=53.0155 lr=0.00024 tok/step=32768
u=180 g=1440 loss=52.4605 lr=0.00027 tok/step=32768
u=200 g=1600 loss=51.8842 lr=0.0003 tok/step=32768
u=220 g=1760 loss=51.2803 lr=0.0003 tok/step=32768
u=240 g=1920 loss=50.7034 lr=0.0003 tok/step=32768
u=260 g=2080 loss=49.5582 lr=0.0003 tok/step=32768
u=280 g=2240 loss=48.7375 lr=0.0003 tok/step=32768
u=300 g=2400 loss=47.9102 lr=0.0003 tok/step=32768
u=320 g=2560 loss=47.1820 lr=0.0003 tok/step=32768
u=340 g=2720 loss=46.4776 lr=0.0003 tok/step=32768
u=360 g=2880 loss=45.8172 lr=0.0003 tok/step=32768
u=380 g=3040 loss=45.2013 lr=0.0003 tok/step=32768
u=400 g=3200 loss=44.5996 lr=0.0003 tok/step=32768
u=420 g=3360 loss=43.9901 lr=0.0003 tok/step=32768
u=440 g=3520 loss=43.3690 lr=0.0003 tok/step=32768
u=460 g=3680 loss=42.7604 lr=0.0003 tok/step=32768
u=480 g=3840 loss=42.1665 lr=0.0003 tok/step=32768
u=500 g=4000 loss=41.7156 lr=0.0003 tok/step=32768
u=520 g=4160 loss=41.1266 lr=0.0003 tok/step=32768
u=540 g=4320 loss=40.6026 lr=0.0003 tok/step=32768
u=560 g=4480 loss=39.9894 lr=0.0003 tok/step=32768
u=580 g=4640 loss=39.4466 lr=0.0003 tok/step=32768
u=600 g=4800 loss=38.9422 lr=0.0003 tok/step=32768
u=620 g=4960 loss=38.3898 lr=0.0003 tok/step=32768
u=640 g=5120 loss=37.7937 lr=0.0003 tok/step=32768
u=660 g=5280 loss=37.3083 lr=0.0003 tok/step=32768
u=680 g=5440 loss=36.6732 lr=0.0003 tok/step=32768
u=700 g=5600 loss=36.0703 lr=0.0003 tok/step=32768
u=720 g=5760 loss=35.5580 lr=0.0003 tok/step=32768
u=740 g=5920 loss=34.8948 lr=0.0003 tok/step=32768
u=760 g=6080 loss=34.3507 lr=0.0003 tok/step=32768
u=780 g=6240 loss=33.8839 lr=0.0003 tok/step=32768
u=800 g=6400 loss=33.3107 lr=0.0003 tok/step=32768
u=820 g=6560 loss=32.8559 lr=0.0003 tok/step=32768
u=840 g=6720 loss=32.3746 lr=0.0003 tok/step=32768
u=860 g=6880 loss=31.7733 lr=0.0003 tok/step=32768
u=880 g=7040 loss=31.2481 lr=0.0003 tok/step=32768
u=900 g=7200 loss=30.7764 lr=0.0003 tok/step=32768
u=920 g=7360 loss=30.1829 lr=0.0003 tok/step=32768
u=940 g=7520 loss=29.7491 lr=0.0003 tok/step=32768
u=960 g=7680 loss=29.2343 lr=0.0003 tok/step=32768
u=980 g=7840 loss=28.7783 lr=0.0003 tok/step=32768
u=1000 g=8000 loss=28.2317 lr=0.0003 tok/step=32768
u=1020 g=8160 loss=27.6054 lr=0.0003 tok/step=32768
u=1040 g=8320 loss=27.2535 lr=0.0003 tok/step=32768
u=1060 g=8480 loss=26.7819 lr=0.0003 tok/step=32768
u=1080 g=8640 loss=26.3314 lr=0.0003 tok/step=32768
u=1100 g=8800 loss=25.7918 lr=0.0003 tok/step=32768
u=1120 g=8960 loss=25.2214 lr=0.0003 tok/step=32768
u=1140 g=9120 loss=24.7904 lr=0.0003 tok/step=32768
u=1160 g=9280 loss=24.3355 lr=0.0003 tok/step=32768
u=1180 g=9440 loss=24.0425 lr=0.0003 tok/step=32768
u=1200 g=9600 loss=23.6272 lr=0.0003 tok/step=32768
u=1220 g=9760 loss=23.1758 lr=0.0003 tok/step=32768
u=1240 g=9920 loss=22.7429 lr=0.0003 tok/step=32768
u=1260 g=10080 loss=22.4183 lr=0.0003 tok/step=32768
u=1280 g=10240 loss=21.8078 lr=0.0003 tok/step=32768
u=1300 g=10400 loss=21.5154 lr=0.0003 tok/step=32768
u=1320 g=10560 loss=21.1275 lr=0.0003 tok/step=32768
u=1340 g=10720 loss=20.6619 lr=0.0003 tok/step=32768
u=1360 g=10880 loss=20.3890 lr=0.0003 tok/step=32768
u=1380 g=11040 loss=19.8829 lr=0.0003 tok/step=32768
u=1400 g=11200 loss=19.5559 lr=0.0003 tok/step=32768
u=1420 g=11360 loss=19.1878 lr=0.0003 tok/step=32768
u=1440 g=11520 loss=18.7979 lr=0.0003 tok/step=32768
u=1460 g=11680 loss=18.4240 lr=0.0003 tok/step=32768
u=1480 g=11840 loss=18.0108 lr=0.0003 tok/step=32768
u=1500 g=12000 loss=17.6810 lr=0.0003 tok/step=32768
u=1520 g=12160 loss=17.2968 lr=0.0003 tok/step=32768
u=1540 g=12320 loss=16.9353 lr=0.0003 tok/step=32768
u=1560 g=12480 loss=16.5757 lr=0.0003 tok/step=32768
u=1580 g=12640 loss=16.2321 lr=0.0003 tok/step=32768
u=1600 g=12800 loss=15.9887 lr=0.0003 tok/step=32768
u=1620 g=12960 loss=15.6490 lr=0.0003 tok/step=32768
u=1640 g=13120 loss=15.3982 lr=0.0003 tok/step=32768
u=1660 g=13280 loss=15.1309 lr=0.0003 tok/step=32768
u=1680 g=13440 loss=14.6570 lr=0.0003 tok/step=32768
u=1700 g=13600 loss=14.5222 lr=0.0003 tok/step=32768
u=1720 g=13760 loss=14.1148 lr=0.0003 tok/step=32768
u=1740 g=13920 loss=13.8458 lr=0.0003 tok/step=32768
u=1760 g=14080 loss=13.5625 lr=0.0003 tok/step=32768
u=1780 g=14240 loss=13.2468 lr=0.0003 tok/step=32768
u=1800 g=14400 loss=12.9691 lr=0.0003 tok/step=32768
u=1820 g=14560 loss=12.7083 lr=0.0003 tok/step=32768
u=1840 g=14720 loss=12.4354 lr=0.0003 tok/step=32768
u=1860 g=14880 loss=12.0818 lr=0.0003 tok/step=32768
u=1880 g=15040 loss=11.8807 lr=0.0003 tok/step=32768
u=1900 g=15200 loss=11.4683 lr=0.0003 tok/step=32768
u=1920 g=15360 loss=11.1361 lr=0.0003 tok/step=32768
u=1940 g=15520 loss=10.9447 lr=0.0003 tok/step=32768
u=1960 g=15680 loss=10.5608 lr=0.0003 tok/step=32768
u=1980 g=15840 loss=10.4081 lr=0.0003 tok/step=32768
u=2000 g=16000 loss=10.1745 lr=0.0003 tok/step=32768
u=2020 g=16160 loss=9.9562 lr=0.0003 tok/step=32768
u=2040 g=16320 loss=9.6577 lr=0.0003 tok/step=32768
u=2060 g=16480 loss=9.4109 lr=0.0003 tok/step=32768
u=2080 g=16640 loss=9.1963 lr=0.0003 tok/step=32768
u=2100 g=16800 loss=8.9375 lr=0.0003 tok/step=32768
u=2120 g=16960 loss=8.6152 lr=0.0003 tok/step=32768
u=2140 g=17120 loss=8.4183 lr=0.0003 tok/step=32768
u=2160 g=17280 loss=8.1956 lr=0.0003 tok/step=32768
u=2180 g=17440 loss=8.3340 lr=0.0003 tok/step=32768
u=2200 g=17600 loss=7.8351 lr=0.0003 tok/step=32768
u=2220 g=17760 loss=7.8862 lr=0.0003 tok/step=32768
u=2240 g=17920 loss=7.4152 lr=0.0003 tok/step=32768
u=2260 g=18080 loss=7.1568 lr=0.0003 tok/step=32768
u=2280 g=18240 loss=6.9565 lr=0.0003 tok/step=32768
u=2300 g=18400 loss=6.6530 lr=0.0003 tok/step=32768
u=2320 g=18560 loss=6.4521 lr=0.0003 tok/step=32768
u=2340 g=18720 loss=6.3537 lr=0.0003 tok/step=32768
u=2360 g=18880 loss=6.1260 lr=0.0003 tok/step=32768
u=2380 g=19040 loss=5.9332 lr=0.0003 tok/step=32768
u=2400 g=19200 loss=5.8193 lr=0.0003 tok/step=32768
u=2420 g=19360 loss=5.6607 lr=0.0003 tok/step=32768
u=2440 g=19520 loss=5.4499 lr=0.0003 tok/step=32768
u=2460 g=19680 loss=5.4121 lr=0.0003 tok/step=32768
u=2480 g=19840 loss=5.4589 lr=0.0003 tok/step=32768
