[W222 14:40:58.881382055 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:40:59.804767646 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:40:59.938341343 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:41:00.988306225 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:41:00.045376427 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:41:00.074507308 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:41:00.075013559 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[W222 14:41:00.079373768 Utils.hpp:136] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
logs/speedrunb1_tgpt_kv11m4_no_tee_sched_03_d512_l11_h8_kv2_m4_v2048_144043.txt
[rank6]:[W222 14:41:06.754564599 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank1]:[W222 14:41:06.754567194 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank3]:[W222 14:41:06.754572216 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank4]:[W222 14:41:06.754593696 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank0]:[W222 14:41:06.754605811 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank2]:[W222 14:41:06.754617554 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank7]:[W222 14:41:06.754727780 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
[rank5]:[W222 14:41:06.754767043 Utils.hpp:111] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function operator())
model_params:32374823
attention_mode:gqa num_heads:8 num_kv_heads:2
tie_embeddings:False embed_lr:0.6 head_lr:0.008
world_size:8 grad_accum_steps:1 compile_model:True compile_dynamic:False compile_fullgraph:True use_amp:True
sdp_backends:cudnn=False flash=True mem_efficient=False math=False
val_bpb:enabled tokenizer_kind=sp tokenizer_path=/root/code/openai-parameter-challenge/data/matched_10B/tokenizers/fineweb_2048_bpe.model
auto_final_int8_zlib:True (disable with AUTO_FINAL_INT8_ZLIB=0)
warmup_steps:50
warmup_step:10/50
warmup_step:20/50
warmup_step:30/50
warmup_step:40/50
warmup_step:50/50
step:0/10000 val_loss:7.6246 train_time:0ms step_avg:0.04ms val_bpb:3.8004
step:1/10000 train_loss:7.6246 train_time:1724ms step_avg:1723.72ms
step:25/10000 train_loss:4.5435 train_time:4004ms step_avg:160.16ms
step:50/10000 train_loss:4.1553 train_time:5451ms step_avg:109.01ms
step:75/10000 train_loss:3.6291 train_time:6900ms step_avg:92.00ms
step:100/10000 train_loss:3.3889 train_time:8344ms step_avg:83.44ms
step:125/10000 train_loss:3.3546 train_time:9791ms step_avg:78.33ms
step:150/10000 train_loss:3.1094 train_time:11240ms step_avg:74.93ms
step:175/10000 train_loss:3.0941 train_time:12686ms step_avg:72.49ms
step:200/10000 train_loss:2.9253 train_time:14242ms step_avg:71.21ms
step:225/10000 train_loss:2.9748 train_time:15694ms step_avg:69.75ms
step:250/10000 train_loss:2.9015 train_time:17146ms step_avg:68.58ms
step:275/10000 train_loss:2.9810 train_time:18596ms step_avg:67.62ms
step:300/10000 train_loss:2.8580 train_time:20047ms step_avg:66.82ms
step:325/10000 train_loss:2.8641 train_time:21496ms step_avg:66.14ms
step:350/10000 train_loss:2.7395 train_time:22947ms step_avg:65.56ms
step:375/10000 train_loss:2.8132 train_time:24395ms step_avg:65.05ms
step:400/10000 train_loss:2.9301 train_time:25950ms step_avg:64.88ms
step:425/10000 train_loss:2.7546 train_time:27400ms step_avg:64.47ms
step:450/10000 train_loss:2.6984 train_time:28849ms step_avg:64.11ms
step:475/10000 train_loss:2.9071 train_time:30300ms step_avg:63.79ms
step:500/10000 train_loss:2.7405 train_time:31750ms step_avg:63.50ms
step:525/10000 train_loss:2.5747 train_time:33198ms step_avg:63.24ms
step:550/10000 train_loss:2.6128 train_time:34648ms step_avg:63.00ms
step:575/10000 train_loss:2.7881 train_time:36212ms step_avg:62.98ms
step:600/10000 train_loss:2.8108 train_time:37659ms step_avg:62.77ms
step:625/10000 train_loss:2.7805 train_time:39111ms step_avg:62.58ms
step:650/10000 train_loss:2.5448 train_time:40559ms step_avg:62.40ms
step:675/10000 train_loss:2.6996 train_time:42009ms step_avg:62.24ms
step:700/10000 train_loss:2.6779 train_time:43458ms step_avg:62.08ms
step:725/10000 train_loss:2.7990 train_time:44909ms step_avg:61.94ms
step:750/10000 train_loss:2.6629 train_time:46358ms step_avg:61.81ms
step:775/10000 train_loss:2.7210 train_time:47911ms step_avg:61.82ms
step:800/10000 train_loss:2.6822 train_time:49367ms step_avg:61.71ms
step:825/10000 train_loss:2.6443 train_time:50814ms step_avg:61.59ms
step:850/10000 train_loss:2.6320 train_time:52264ms step_avg:61.49ms
step:875/10000 train_loss:2.7490 train_time:53713ms step_avg:61.39ms
step:900/10000 train_loss:2.7004 train_time:55162ms step_avg:61.29ms
step:925/10000 train_loss:2.6181 train_time:56613ms step_avg:61.20ms
step:950/10000 train_loss:2.6259 train_time:58063ms step_avg:61.12ms
step:975/10000 train_loss:2.6435 train_time:59627ms step_avg:61.16ms
step:1000/10000 train_loss:2.5464 train_time:61075ms step_avg:61.08ms
step:1025/10000 train_loss:2.7478 train_time:62526ms step_avg:61.00ms
