run_id	config_hash	status	mode	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	artifact_bytes	output_dir	results_path
baseline_5090_5min	5c5b1a099c8c807dbd662ea1d0fb0592011cee205fca636532b938fa2e92b434	success	train	null	300.035798	342.370938	11678.039	0.000	69.181440	563	17.364000	4	7173390	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/baseline_5090_5min	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/baseline_5090_5min/results.json
baseline_5090_5min_rerun	0b1b478849d886ee875604dd911b7ba3e00e34dfa4b957b3df16b203b94f9370	success	train	1.570137665	410.956827	433.307574	11678.039	0.000	69.304320	564	17.364000	4	7174403	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/baseline_5090_5min_rerun	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/baseline_5090_5min_rerun/results.json
ar5090-20260321-091500	2b34b16909fcf743770c6c35e1546745b72af99a6f7223dc0e572450024609cb	success	train	1.571341215	414.503775	439.776913	11635.290	0.000	67.811328	566	17.364000	4	7183773	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-091500	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-091500/results.json
ar5090-20260321-111727	ab415dba78f90b0c42885d43cbc1659c7944b41312bb771fe49a7c95559a8322	success	train	1.569388948	413.466587	438.955085	12264.988	0.000	67.092480	546	18.409504	4	7850541	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-111727	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-111727/results.json
ar5090-20260321-113258	eecead8d49eab1a6c8a788ef144b65d46b489c83c42c4aac4cc606f8ca38ac90	success	train	1.582224335	430.983753	454.363767	12818.666	0.000	58.982400	480	17.494056	5	8034544	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-113258	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-113258/results.json
ar5090-20260321-115223	5ff504b81ea25a5bbe6fa88a2ae2f79a1b438be5dc7fe5dba37cccb66db114c1	success	train	1.576432352	417.459705	443.097171	13485.617	0.000	65.126400	530	17.481752	4	7095425	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-115223	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-115223/results.json
ar5090-20260321-120803	57ae8c65db4a27bd64d6ec1083c116dbb7fbe96085ed79854660e3348d48f3d2	success	train	1.584993277	435.232550	460.298031	13676.688	0.000	57.016320	464	19.254312	5	7870131	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-120803	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-120803/results.json
ar5090-20260321-122614	77cae3e90beee44b092c1b178e1530f03a10bf17d5c74ac37cddfeddc570543a	success	train	1.574153379	414.922035	438.889650	11869.906	0.000	65.740800	535	17.857056	4	7497463	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-122614	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-122614/results.json
ar5090-20260321-124251	f590719390182a2a756fcb745b651fa4262b9dea1efa7d549a36f04370917712	success	train	1.567220420	411.945696	435.521364	11835.128	0.000	67.706880	551	17.369120	4	7613658	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-124251	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-124251/results.json
ar5090-20260321-125834	3b51c07074cfa6fe9b795a2d63494358c4fa02cd7c23c2ed5eb06239eeb46140	success	train	1.567759081	412.185586	435.271119	11893.940	0.000	67.092480	546	17.372704	4	7193475	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-125834	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-125834/results.json
