logs/b88aac7e-6883-4e89-aa81-4e9fc36d61c9.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:1
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:25517137
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:131072 train_seq_len:2048 iterations:2600 warmup_steps:50 max_wallclock_seconds:600.000
seed:42
warmup_step:10/50
warmup_step:20/50
warmup_step:30/50
warmup_step:40/50
warmup_step:50/50
step:0/2600 val_loss:6.9323 val_bpb:4.1057 train_time:0ms step_avg:0.02ms
step:1/2600 train_loss:6.9346 train_time:614ms step_avg:614.35ms
step:2/2600 train_loss:8.3390 train_time:1146ms step_avg:572.81ms
step:3/2600 train_loss:8.1666 train_time:1666ms step_avg:555.39ms
step:4/2600 train_loss:7.6155 train_time:2179ms step_avg:544.76ms
step:5/2600 train_loss:7.0361 train_time:2682ms step_avg:536.37ms
step:6/2600 train_loss:6.6309 train_time:3184ms step_avg:530.66ms
step:7/2600 train_loss:6.2859 train_time:3691ms step_avg:527.30ms
step:8/2600 train_loss:6.0740 train_time:4186ms step_avg:523.22ms
step:9/2600 train_loss:5.9412 train_time:4694ms step_avg:521.53ms
step:10/2600 train_loss:5.9132 train_time:5200ms step_avg:520.01ms
swa:start step:50
step:100/2600 train_loss:3.6457 train_time:50717ms step_avg:507.17ms
step:200/2600 train_loss:3.1166 train_time:101326ms step_avg:506.63ms
step:300/2600 train_loss:2.8470 train_time:151915ms step_avg:506.38ms
step:400/2600 train_loss:2.7573 train_time:202412ms step_avg:506.03ms
step:500/2600 train_loss:2.6588 train_time:252982ms step_avg:505.96ms
step:500/2600 val_loss:2.6109 val_bpb:1.5463 train_time:253047ms step_avg:506.09ms
step:600/2600 train_loss:2.5962 train_time:303499ms step_avg:505.83ms
step:700/2600 train_loss:2.3533 train_time:354001ms step_avg:505.72ms
step:800/2600 train_loss:2.4180 train_time:405397ms step_avg:506.75ms
step:900/2600 train_loss:2.4291 train_time:456037ms step_avg:506.71ms
step:1000/2600 train_loss:2.3699 train_time:506592ms step_avg:506.59ms
step:1000/2600 val_loss:2.4129 val_bpb:1.4290 train_time:506651ms step_avg:506.65ms
step:1100/2600 train_loss:2.3179 train_time:557072ms step_avg:506.43ms
step:1186/2600 val_loss:2.3771 val_bpb:1.4078 train_time:600485ms step_avg:506.31ms
stopping_early: wallclock_cap train_time:600485ms step:1186/2600
peak memory allocated: 3514 MiB reserved: 4500 MiB
swa:applying averaged 23 checkpoints
Serialized model: 98437419 bytes
Code size: 54284 bytes
Total submission size: 98491703 bytes
Serialized model int6+zstd: 15718415 bytes
Total submission size int8+zlib: 15772699 bytes
final_eval_mode:sliding_window stride:256 batch_seqs:32
  sliding_eval [  0.0%] 32/242272 windows running_bpb=1.542911
  sliding_eval [  0.7%] 1632/242272 windows running_bpb=1.532248
  sliding_eval [  1.3%] 3232/242272 windows running_bpb=1.526119
  sliding_eval [  2.0%] 4832/242272 windows running_bpb=1.536156
  sliding_eval [  2.7%] 6432/242272 windows running_bpb=1.538784
  sliding_eval [  3.3%] 8032/242272 windows running_bpb=1.543449
  sliding_eval [  4.0%] 9632/242272 windows running_bpb=1.540656
  sliding_eval [  4.6%] 11232/242272 windows running_bpb=1.539058
  sliding_eval [  5.3%] 12832/242272 windows running_bpb=1.540433
  sliding_eval [  6.0%] 14432/242272 windows running_bpb=1.541871
  sliding_eval [  6.6%] 16032/242272 windows running_bpb=1.538953
  sliding_eval [  7.3%] 17632/242272 windows running_bpb=1.536329
  sliding_eval [  7.9%] 19232/242272 windows running_bpb=1.536621
  sliding_eval [  8.6%] 20832/242272 windows running_bpb=1.538839
  sliding_eval [  9.3%] 22432/242272 windows running_bpb=1.540812
  sliding_eval [  9.9%] 24032/242272 windows running_bpb=1.540133
  sliding_eval [ 10.6%] 25632/242272 windows running_bpb=1.542586
  sliding_eval [ 11.2%] 27232/242272 windows running_bpb=1.542444
  sliding_eval [ 11.9%] 28832/242272 windows running_bpb=1.542901
  sliding_eval [ 12.6%] 30432/242272 windows running_bpb=1.543459
  sliding_eval [ 13.2%] 32032/242272 windows running_bpb=1.542852
  sliding_eval [ 13.9%] 33632/242272 windows running_bpb=1.542306
  sliding_eval [ 14.5%] 35232/242272 windows running_bpb=1.542435
  sliding_eval [ 15.2%] 36832/242272 windows running_bpb=1.541701
  sliding_eval [ 15.9%] 38432/242272 windows running_bpb=1.541459
  sliding_eval [ 16.5%] 40032/242272 windows running_bpb=1.541615
  sliding_eval [ 17.2%] 41632/242272 windows running_bpb=1.541257
  sliding_eval [ 17.8%] 43232/242272 windows running_bpb=1.539891
  sliding_eval [ 18.5%] 44832/242272 windows running_bpb=1.539957
  sliding_eval [ 19.2%] 46432/242272 windows running_bpb=1.541325
  sliding_eval [ 19.8%] 48032/242272 windows running_bpb=1.541075
  sliding_eval [ 20.5%] 49632/242272 windows running_bpb=1.540226
  sliding_eval [ 21.1%] 51232/242272 windows running_bpb=1.539872
  sliding_eval [ 21.8%] 52832/242272 windows running_bpb=1.538440
  sliding_eval [ 22.5%] 54432/242272 windows running_bpb=1.539028
  sliding_eval [ 23.1%] 56032/242272 windows running_bpb=1.538159
  sliding_eval [ 23.8%] 57632/242272 windows running_bpb=1.537164
  sliding_eval [ 24.4%] 59232/242272 windows running_bpb=1.536654
  sliding_eval [ 25.1%] 60832/242272 windows running_bpb=1.535543
  sliding_eval [ 25.8%] 62432/242272 windows running_bpb=1.535604
