run_id:full_anchor_s4d_aaaasasss_rank12_k96_corefp16_smear_1200steps_blackwell_seed2027
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf\data\tokenizers\fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:1
val_loader:shards pattern=C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf\data\datasets\fineweb10B_sp1024\fineweb_val_*.bin tokens:62021632
model_params:17111592
world_size:1 grad_accum_steps:8
sdp_backend:math compile:0 compile_fullgraph:1
block_layout:AAAASASSS layout_counts:A=5 S=4 H=0 ssm_core:s4d ssm_kernel_size:96 ssm_rank:12
smear_enabled:1 smear_init:0.0 bigram_vocab_size:0 bigram_dim:128
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.05 head_lr:0.0 matrix_lr:0.04 scalar_lr:0.04
train_batch_tokens:32768 train_seq_len:1024 iterations:1200 warmup_steps:0 max_wallclock_seconds:0.000
seed:2027
step:1/1200 train_loss:6.9310 train_time:632ms step_avg:631.76ms
step:2/1200 train_loss:11.9096 train_time:942ms step_avg:470.96ms
step:3/1200 train_loss:7.7621 train_time:1252ms step_avg:417.28ms
step:4/1200 train_loss:8.1467 train_time:1572ms step_avg:392.90ms
step:5/1200 train_loss:7.9929 train_time:1877ms step_avg:375.38ms
step:6/1200 train_loss:7.5946 train_time:2192ms step_avg:365.41ms
step:7/1200 train_loss:7.0106 train_time:2510ms step_avg:358.60ms
step:8/1200 train_loss:6.6164 train_time:2793ms step_avg:349.08ms
step:9/1200 train_loss:6.3690 train_time:3093ms step_avg:343.63ms
step:10/1200 train_loss:6.2339 train_time:3392ms step_avg:339.25ms
step:20/1200 train_loss:5.5217 train_time:6026ms step_avg:301.31ms
step:40/1200 train_loss:4.4821 train_time:11281ms step_avg:282.03ms
step:60/1200 train_loss:4.3441 train_time:16500ms step_avg:275.01ms
step:80/1200 train_loss:3.8612 train_time:21877ms step_avg:273.46ms
step:100/1200 train_loss:3.9457 train_time:27341ms step_avg:273.41ms
step:120/1200 train_loss:3.8404 train_time:32684ms step_avg:272.37ms
step:140/1200 train_loss:3.6475 train_time:37785ms step_avg:269.89ms
step:160/1200 train_loss:3.6986 train_time:43132ms step_avg:269.57ms
step:180/1200 train_loss:3.4341 train_time:48313ms step_avg:268.40ms
step:200/1200 train_loss:3.7404 train_time:53431ms step_avg:267.16ms
step:220/1200 train_loss:3.4712 train_time:58676ms step_avg:266.71ms
step:240/1200 train_loss:3.4601 train_time:63791ms step_avg:265.80ms
step:260/1200 train_loss:3.2735 train_time:68963ms step_avg:265.24ms
step:280/1200 train_loss:3.2772 train_time:74242ms step_avg:265.15ms
step:300/1200 train_loss:3.2609 train_time:79500ms step_avg:265.00ms
step:320/1200 train_loss:3.1046 train_time:84784ms step_avg:264.95ms
step:340/1200 train_loss:3.1765 train_time:89975ms step_avg:264.63ms
step:360/1200 train_loss:3.2922 train_time:95116ms step_avg:264.21ms
step:380/1200 train_loss:3.2506 train_time:100291ms step_avg:263.92ms
step:400/1200 train_loss:3.2914 train_time:105453ms step_avg:263.63ms
step:420/1200 train_loss:3.0584 train_time:110555ms step_avg:263.23ms
step:440/1200 train_loss:3.2176 train_time:115765ms step_avg:263.10ms
step:460/1200 train_loss:3.0686 train_time:120765ms step_avg:262.53ms
step:480/1200 train_loss:3.1191 train_time:125841ms step_avg:262.17ms
step:500/1200 train_loss:3.0351 train_time:130854ms step_avg:261.71ms
step:520/1200 train_loss:3.0366 train_time:136068ms step_avg:261.67ms
step:540/1200 train_loss:3.0383 train_time:141237ms step_avg:261.55ms
step:560/1200 train_loss:2.9485 train_time:146573ms step_avg:261.74ms
step:580/1200 train_loss:3.0141 train_time:151698ms step_avg:261.55ms
step:600/1200 train_loss:2.9664 train_time:156820ms step_avg:261.37ms
step:620/1200 train_loss:2.9727 train_time:161892ms step_avg:261.12ms
step:640/1200 train_loss:2.9280 train_time:167079ms step_avg:261.06ms
step:660/1200 train_loss:3.4863 train_time:172277ms step_avg:261.03ms
step:680/1200 train_loss:2.9256 train_time:177439ms step_avg:260.94ms
step:700/1200 train_loss:2.9617 train_time:182505ms step_avg:260.72ms
step:720/1200 train_loss:2.9666 train_time:187707ms step_avg:260.70ms
step:740/1200 train_loss:3.0129 train_time:192852ms step_avg:260.61ms
step:760/1200 train_loss:2.8747 train_time:198132ms step_avg:260.70ms
step:780/1200 train_loss:2.9370 train_time:203320ms step_avg:260.67ms
step:800/1200 train_loss:2.7842 train_time:208527ms step_avg:260.66ms
step:820/1200 train_loss:2.8835 train_time:213576ms step_avg:260.46ms
step:840/1200 train_loss:2.8280 train_time:218683ms step_avg:260.34ms
step:860/1200 train_loss:2.7801 train_time:223776ms step_avg:260.20ms
step:880/1200 train_loss:2.8913 train_time:228952ms step_avg:260.17ms
step:900/1200 train_loss:2.5325 train_time:234084ms step_avg:260.09ms
step:920/1200 train_loss:2.7841 train_time:239517ms step_avg:260.34ms
step:940/1200 train_loss:2.5527 train_time:244608ms step_avg:260.22ms
step:960/1200 train_loss:2.6676 train_time:249646ms step_avg:260.05ms
step:980/1200 train_loss:2.9271 train_time:254771ms step_avg:259.97ms
step:1000/1200 train_loss:2.6579 train_time:259923ms step_avg:259.92ms
step:1020/1200 train_loss:2.6969 train_time:265163ms step_avg:259.96ms
step:1040/1200 train_loss:2.5959 train_time:270249ms step_avg:259.85ms
step:1060/1200 train_loss:2.7071 train_time:275354ms step_avg:259.77ms
step:1080/1200 train_loss:2.7353 train_time:280571ms step_avg:259.79ms
step:1100/1200 train_loss:2.7996 train_time:286546ms step_avg:260.50ms
step:1120/1200 train_loss:2.8173 train_time:291834ms step_avg:260.57ms
step:1140/1200 train_loss:2.6951 train_time:296936ms step_avg:260.47ms
step:1160/1200 train_loss:2.6579 train_time:302055ms step_avg:260.39ms
step:1180/1200 train_loss:2.6809 train_time:307209ms step_avg:260.35ms
step:1200/1200 train_loss:2.6811 train_time:312374ms step_avg:260.31ms
peak memory allocated: 1818 MiB reserved: 2160 MiB
