batch_name	timestamp	run_name	run_kind	status	bpb	wall_seconds	quant_bpb	sliding_bpb	ttt_bpb	total_bytes	archive_ckpt_bytes	env_vars
optimization_batch_20260409_131357	2026-04-09T14:11:20+00:00	R7_d_owc_eval	tier2_eval	OK	1.07831680	480	1.09635004	1.07965450	1.07831680		17147928	OWC_ENABLED=1 + best_eval(SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1)
optimization_batch_20260409_131357	2026-04-09T14:39:19+00:00	R8_d_cdquant_owc_eval	tier2_eval	OK	1.07839806	474	1.09629982	1.07968718	1.07839806		17137795	CDQuant+OWC + best_eval(SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1)
optimization_batch_20260409_131357	2026-04-09T14:03:20+00:00	R7_d_owc_train	tier2_train	OK	1.07846152	1206	1.09635004	1.07965450	1.07846152	17166438	17147928	OWC_ENABLED=1 OWC_GAMMA_STEPS=10
optimization_batch_20260409_131357	2026-04-09T14:31:25+00:00	R8_d_cdquant_owc_train	tier2_train	OK	1.07854093	1204	1.09629982	1.07968718	1.07854093	17156305	17137795	CDQUANT_ENABLED=1 CDQUANT_ITERS=3 OWC_ENABLED=1 OWC_GAMMA_STEPS=10
optimization_batch_20260409_131357	2026-04-09T15:07:21+00:00	R9_d_full_stack_eval	tier2_eval	OK	1.07916167	476	1.09704872	1.08048663	1.07916167		17183571	full_stack + best_eval(SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1)
optimization_batch_20260409_131357	2026-04-09T14:59:25+00:00	R9_d_full_stack_train	tier2_train	OK	1.07930032	1206	1.09704872	1.08048663	1.07930032	17202081	17183571	CAUTIOUS_MUON=1 OWC_ENABLED=1 OWC_GAMMA_STEPS=10 CDQUANT_ENABLED=1 CDQUANT_ITERS=3
optimization_batch_20260409_122546	2026-04-09T12:35:54+00:00	R1_e_baseline	tier1_eval	OK	1.08078562	605	1.09936033	1.08261177	1.08078562		15975248	SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1
optimization_batch_20260409_122546	2026-04-09T13:00:18+00:00	R4_e_freeze4	tier1_eval	OK	1.08093112	478	1.09936033	1.08261177	1.08093112		15975248	SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1 TTT_FREEZE_BLOCKS=4
candidate_verify_requant_20260409_155823		requant_export_s0	unknown	OK	1.08158498	543				16275138		REQUANT_ONLY=1 OWC_ENABLED=1 OWC_GAMMA_STEPS=10 OWC_SCOPE=attn
optimization_batch_20260409_131357	2026-04-09T13:43:14+00:00	R6_d_cautious_muon_eval	tier2_eval	OK	1.08169712	484	1.10018913	1.08357810	1.08169712		15975441	CAUTIOUS_MUON=1 + best_eval(SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1)
optimization_batch_20260409_131357	2026-04-09T13:35:10+00:00	R6_d_cautious_muon_train	tier2_train	OK	1.08185431	1273	1.10018913	1.08357810	1.08185431	15993951	15975441	CAUTIOUS_MUON=1
optimization_batch_20260409_122546	2026-04-09T13:08:33+00:00	R5_e_combo	tier1_eval	OK	1.47494162	495	1.09936033	1.08261177	1.47494162		15975248	SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1 TTT_OPTIMIZER=rmsdecay TTT_DECAY=0.005
optimization_batch_20260409_122546	2026-04-09T12:52:20+00:00	R3_e_rmsdecay_high	tier1_eval	OK	1.47582751	493	1.09936033	1.08261177	1.47582751		15975248	SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1 TTT_OPTIMIZER=rmsdecay TTT_DECAY=0.005
optimization_batch_20260409_122546	2026-04-09T12:44:07+00:00	R2_e_rmsdecay_low	tier1_eval	OK	1.59780678	493	1.09936033	1.08261177	1.59780678		15975248	SKIP_TRAINING=1 NGRAM_TILT_ENABLED=1 TTT_OPTIMIZER=rmsdecay TTT_DECAY=0.001
candidate_verify_requant_20260409_155823		requant_eval_s0	unknown	FAILED	FAILED	421						REQUANT OWC_SCOPE=attn gamma=10 + NGRAM_TILT_ENABLED=1
