MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM Diffusion Training | num_unique_layers=0
Running PyTorch 2.11.0+cu130
val tokens:62021632 sequences:60568
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model compiled
MDLM: model compiled
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
model_params:19190656
world_size:8 grad_accum_steps:1
layers:8 dim:576 heads:8 kv_heads:4 mlp_mult:2
mask_eps:0.001 eval_t_samples:64 grad_clip:1.0 weight_clamp:100.0
quant_mode:fp8 qat_bits:0 qat_start_frac:0.0 norm_proj_input:False qat_at_step_zero:False
warmup_step:10/20
warmup_step:20/20
ema:enabled decay:0.999 start_frac:0.1
step:1/80000 train_loss:6.9400 train_time:121ms step_avg:121.23ms
step:2/80000 train_loss:11.2015 train_time:158ms step_avg:78.78ms
step:3/80000 train_loss:28.6729 train_time:219ms step_avg:72.95ms
step:4/80000 train_loss:24.4469 train_time:282ms step_avg:70.58ms
step:5/80000 train_loss:18.4242 train_time:350ms step_avg:69.93ms
step:6/80000 train_loss:17.5514 train_time:412ms step_avg:68.65ms
step:7/80000 train_loss:16.4838 train_time:476ms step_avg:67.98ms
step:8/80000 train_loss:15.5865 train_time:537ms step_avg:67.15ms
step:9/80000 train_loss:15.3431 train_time:603ms step_avg:66.97ms
step:10/80000 train_loss:13.5641 train_time:666ms step_avg:66.56ms
step:50/80000 train_loss:6.0581 train_time:3620ms step_avg:72.39ms
step:100/80000 train_loss:5.8554 train_time:6814ms step_avg:68.14ms
step:150/80000 train_loss:5.0970 train_time:10033ms step_avg:66.89ms
step:200/80000 train_loss:4.3124 train_time:13355ms step_avg:66.77ms
step:250/80000 train_loss:3.8901 train_time:16545ms step_avg:66.18ms
step:300/80000 train_loss:3.5968 train_time:19719ms step_avg:65.73ms
step:350/80000 train_loss:3.6456 train_time:22898ms step_avg:65.42ms
step:400/80000 train_loss:3.2261 train_time:26213ms step_avg:65.53ms
step:450/80000 train_loss:3.3052 train_time:29426ms step_avg:65.39ms
step:500/80000 train_loss:3.1900 train_time:32615ms step_avg:65.23ms
step:550/80000 train_loss:3.1931 train_time:35809ms step_avg:65.11ms
step:600/80000 train_loss:3.3346 train_time:39129ms step_avg:65.22ms
step:650/80000 train_loss:3.1636 train_time:42318ms step_avg:65.11ms
