variant,scheduler_policy,lookahead_size,seed,max_wallclock_seconds,train_tokens,eff_tok_per_sec,final_train_lm_loss,final_valid_lm_loss,final_valid_bpb
baseline_no_scheduler,none,16,42,0.8,73728,73551.93707080105,5.985381603240967,6.004009446910783,3.5492282672051716
random_lookahead_16,random_lookahead,16,42,0.8,69632,70983.89643651126,6.032282829284668,6.009315559910793,3.5523649388601957
unique_only_lookahead_16,score_unique_only,16,42,0.8,67584,66546.88625858664,6.0152812004089355,6.005982774846694,3.550394786237583
baseline_no_scheduler,none,16,1337,0.8,71680,74049.35463888934,6.04460334777832,6.026350651535333,3.562435114342574
random_lookahead_16,random_lookahead,16,1337,0.8,67584,66011.79300824368,5.990927696228027,6.029285357980167,3.5641699455686155
unique_only_lookahead_16,score_unique_only,16,1337,0.8,71680,72000.25258834078,5.984694004058838,6.009583338569192,3.5525232343445965
baseline_no_scheduler,none,16,2024,0.8,75776,75010.4445939698,5.984620094299316,6.005591772116866,3.550163647703654
random_lookahead_16,random_lookahead,16,2024,0.8,67584,68293.16184689513,6.078577518463135,6.022545835083606,3.560185923660679
unique_only_lookahead_16,score_unique_only,16,2024,0.8,69632,68476.92341714783,5.974425792694092,6.004695090125589,3.5496335804047465
baseline_no_scheduler,none,16,42,1.2,167936,120897.38414295789,5.745214462280273,5.754097884309058,3.401494791745063
random_lookahead_16,random_lookahead,16,42,1.2,161792,115266.43117015826,5.764822006225586,5.755377320682301,3.4022511216246465
unique_only_lookahead_16,score_unique_only,16,42,1.2,165888,118368.65790875853,5.666131019592285,5.7265549023946125,3.385212950279245
baseline_no_scheduler,none,16,1337,1.2,169984,121274.814925266,5.722508907318115,5.758091425428203,3.4038555456965094
random_lookahead_16,random_lookahead,16,1337,1.2,169984,120855.58669335906,5.721107482910156,5.739711935379926,3.3929906384719337
unique_only_lookahead_16,score_unique_only,16,1337,1.2,163840,116363.99166751615,5.747180938720703,5.744031350752887,3.3955440307134133
baseline_no_scheduler,none,16,2024,1.2,169984,119807.69508384267,5.699493408203125,5.7094012335235,3.3750726786854095
random_lookahead_16,random_lookahead,16,2024,1.2,163840,116827.37932364049,5.754732131958008,5.722368470360251,3.3827381702099473
unique_only_lookahead_16,score_unique_only,16,2024,1.2,169984,123727.46935527843,5.640201091766357,5.677926805907605,3.356466790540794
