step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
1,0.3804,0.0479,0.0122,0.0042,0.0016,0.0007,0.0006,0.001,0.0017,0.0031,0.0057,0.0054
2,1.9885,0.2015,0.0573,0.0226,0.0087,0.0038,0.0034,0.0059,0.0114,0.0211,0.0407,0.0395
3,1.9608,0.2541,0.0763,0.0318,0.0123,0.0055,0.0046,0.008,0.0151,0.0272,0.0512,0.0505
4,1.9977,0.2512,0.079,0.0334,0.0134,0.006,0.0049,0.0082,0.0152,0.0267,0.0488,0.0473
5,1.6619,0.2503,0.0804,0.0339,0.0139,0.0063,0.0051,0.0084,0.015,0.0258,0.0464,0.0444
10,0.43,0.2184,0.0631,0.0251,0.01,0.0045,0.0035,0.0057,0.0092,0.015,0.0265,0.0245
15,0.3086,0.2464,0.0651,0.0254,0.011,0.0048,0.0039,0.0064,0.0112,0.0183,0.0321,0.0324
20,0.5599,0.2756,0.0761,0.0298,0.0129,0.0055,0.0048,0.0074,0.0137,0.0223,0.0394,0.0415
25,0.5034,0.2799,0.0728,0.0267,0.0132,0.0054,0.0044,0.0069,0.0129,0.0215,0.0375,0.037
30,0.444,0.2816,0.0703,0.0254,0.0128,0.0056,0.0046,0.0064,0.0126,0.0216,0.0335,0.0356
35,0.4903,0.2806,0.0732,0.0314,0.0133,0.0061,0.0042,0.0078,0.0131,0.0225,0.0338,0.0398
40,0.4114,0.2757,0.0718,0.0271,0.012,0.0059,0.0048,0.0083,0.015,0.0292,0.0494,0.0544
45,0.4244,0.2792,0.0711,0.032,0.0139,0.0062,0.0045,0.0071,0.0116,0.0238,0.035,0.046
50,0.5629,0.2774,0.0826,0.0297,0.0137,0.0062,0.0047,0.0077,0.0132,0.0234,0.0371,0.0449
55,0.41,0.2736,0.0921,0.0332,0.0155,0.0073,0.006,0.0085,0.0134,0.0255,0.0373,0.043
60,0.4143,0.269,0.087,0.0346,0.0172,0.0099,0.0061,0.0097,0.015,0.0303,0.0461,0.0556
65,0.3337,0.2683,0.0949,0.0374,0.0176,0.0089,0.0066,0.0103,0.0156,0.028,0.043,0.0472
70,0.4892,0.2692,0.099,0.0402,0.0191,0.0101,0.007,0.0105,0.0159,0.0246,0.0384,0.0425
75,0.4604,0.2644,0.0985,0.0374,0.0188,0.0104,0.0078,0.0121,0.0177,0.0325,0.0478,0.057
80,0.5355,0.2675,0.1074,0.0424,0.0211,0.0113,0.0081,0.0112,0.0152,0.0241,0.0357,0.0374
85,0.5027,0.2561,0.1089,0.0451,0.0235,0.0136,0.0099,0.0141,0.0204,0.0339,0.0543,0.059
90,0.592,0.2514,0.1174,0.0476,0.0265,0.0159,0.0113,0.0154,0.0211,0.034,0.0513,0.0582
95,0.503,0.2581,0.1182,0.0506,0.0273,0.0168,0.0111,0.0147,0.018,0.0273,0.0355,0.0431
