batches_done,baseline_rb,internal_only_rb,port_1695_rb
1,,,1.0593
4,1.1168,,
5,,1.09,
10,,1.095,
11,1.0983,,
14,,1.0837,
16,1.079,,
25,1.0771,1.0811,1.0604
26,,,1.0583
36,1.076,1.0795,1.0592
37,1.0715,1.0746,1.0567
46,1.0708,1.0737,1.0571
48,1.0683,1.0709,1.0558
55,1.0671,1.0696,1.0554
69,1.0646,1.0668,1.0537
71,1.0627,,1.0526
77,,1.0669,
84,,1.0657,
85,,,1.052
86,1.0625,,
89,,,1.0522
91,1.063,,
92,,1.0659,
98,,,1.0522
100,,1.0659,
101,1.0625,,
105,,,1.0518
108,1.0637,1.0669,
111,1.0633,,
114,,1.0671,
116,,,1.0524
120,,1.0661,
122,,,1.0525
123,1.0629,,
127,,1.0656,
130,1.0619,,
131,,,1.0525
135,,1.0649,
137,1.0613,,
141,,,1.052
144,,1.0652,
146,1.0616,,
150,,,1.0517
152,,1.0647,1.0516
154,1.061,,
160,,1.0641,1.0514
161,1.0609,,
168,,1.064,1.0515
169,1.0606,,
175,,1.0639,1.0517
176,1.0608,,
185,,,1.0518
186,,1.0638,
192,1.0609,,
193,,,1.0512
195,,1.0639,
200,1.0605,,
201,,,1.051
203,,1.0636,
207,,,1.051
208,1.0607,,
210,,1.0633,
215,,,1.0506
216,1.0602,,
219,,1.0627,
223,,,1.0505
224,1.0604,,
227,,1.0622,
232,1.0604,1.0622,
234,,,1.0506
240,1.0602,1.062,
243,,,1.0505
247,,,1.0503
248,1.06,,
252,,1.0624,
254,,,1.0503
255,1.0597,,
261,,1.0625,
263,1.0596,,1.0503
265,,1.0621,
270,1.0597,,
271,,,1.0504
273,,1.0619,
278,1.0595,,
283,,1.0619,
284,1.0595,,
291,,1.0616,1.0502
292,1.0595,,
299,,1.0614,1.0501
301,1.0594,,
307,,1.0614,1.0502
310,1.0597,,
315,,1.0614,1.0503
318,1.0593,,
321,,1.0612,
323,,,1.0503
326,1.0592,,
329,,1.0613,
331,,,1.0507
334,1.0588,,
338,,1.0613,
339,,,1.0508
342,1.0582,,
345,,1.0613,
346,,,1.0508
350,1.0581,,
353,,1.0611,1.0507
358,1.0582,,
360,,,1.051
361,,1.0606,
366,1.0582,1.0606,
368,,,1.0507
374,1.0583,1.0607,
376,,,1.0509
382,1.0582,,
383,,1.0605,
384,,,1.0506
390,1.0581,,
392,,,1.0507
395,,1.0607,
398,1.0581,,
400,,,1.0509
404,,1.0607,
406,1.058,,
407,,,1.0511
412,,1.0609,
414,1.0584,,1.0515
421,,1.0612,1.0518
422,1.0585,,
428,,,1.0519
429,,1.0609,
430,1.0588,,
434,,,1.052
437,,1.061,
438,1.0588,,
441,,,1.0522
445,,1.061,
446,1.059,,
448,,,1.0523
451,,1.0612,
453,1.0592,,
456,,,1.0524
459,,1.0613,
464,1.0593,,1.0525
467,,1.0616,
472,,,1.0527
473,1.0596,,
477,,1.0617,
480,,,1.0528
481,1.0598,,
483,,1.0619,
488,,,1.0529
489,1.06,,
491,,1.0617,
496,,,1.0532
497,1.0601,,
500,,1.0618,
504,,,1.0533
505,1.0602,,
509,,1.0619,
512,,1.0619,1.0533
520,1.0605,,1.0537
523,,1.0621,
528,1.0608,,1.0539
532,,1.0621,
536,1.061,,1.0541
541,,1.0623,
544,,,1.0544
546,1.061,,
549,,1.0625,
556,,,1.0545
557,,1.0627,
559,1.0613,,
565,,1.063,1.0548
567,1.0614,,
573,,1.0633,1.0551
575,1.0616,,
581,,1.0634,1.0552
583,1.0619,,
589,,1.0636,1.0554
593,,,1.0557
597,,1.0638,
598,1.0622,,
602,,,1.0559
605,,1.0639,
606,1.0624,,
611,,,1.0561
612,,1.0641,
615,1.0626,,
619,,1.0643,
620,,,1.0563
623,1.0628,,
626,,1.0646,
628,,,1.0567
631,1.063,,
635,,1.0647,
638,,,1.0568
643,,,1.057
644,1.0632,,
648,,1.0649,
653,1.0634,,1.0572
656,,1.0651,
660,1.0636,,
662,,,1.0574
664,,1.0652,
669,1.0637,,
671,,,1.0576
673,,1.0655,
677,1.064,,
678,,,1.0579
681,,1.0657,
685,1.0642,,
687,,,1.058
689,,1.066,
695,1.0644,,1.0582
701,,1.0661,
703,,,1.0584
706,1.0646,,
710,,1.0663,
712,,,1.0587
715,1.0649,,
720,,1.0665,1.0589
723,1.0651,,
727,,1.0667,1.0592
731,1.0653,,
734,,1.067,
736,,,1.0594
740,1.0655,,
742,,1.0671,
746,,,1.0596
748,1.0657,,
752,,1.0674,
756,,,1.0599
758,1.0658,,
761,,1.0676,
765,,,1.0602
769,1.066,1.0678,
773,,,1.0604
778,1.0662,,
779,,1.0679,
781,1.0663,,
