step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
1,6936806.548016,0.000,-1.0,-1.0,-1.0,2649.0,683933184,46393196544,0,348,0
2,6936806.718428,170.412,-1.0,-1.0,-1.0,216.8,683933696,46393196544,0,348,0
3,6936806.909991,191.562,-1.0,-1.0,-1.0,196.5,683933696,46393196544,0,348,0
4,6936807.100589,190.599,-1.0,-1.0,-1.0,195.2,683933696,46393196544,0,348,0
5,6936807.290008,189.418,-1.0,-1.0,-1.0,201.5,683933696,46393196544,0,348,0
6,6936807.485931,195.923,-1.0,-1.0,-1.0,249.3,683933696,46393196544,0,348,0
7,6936807.670112,184.181,-1.0,-1.0,-1.0,198.7,683933696,46393196544,0,348,0
8,6936807.855377,185.265,-1.0,-1.0,-1.0,212.8,683933696,46393196544,0,348,0
9,6936808.039794,184.417,-1.0,-1.0,-1.0,191.5,683933696,46393196544,0,348,0
10,6936808.227486,187.692,-1.0,-1.0,-1.0,198.3,683933696,46393196544,0,348,0
11,6936808.413481,185.995,-1.0,-1.0,-1.0,192.0,683933696,46393196544,0,348,0
12,6936808.597872,184.390,-1.0,-1.0,-1.0,181.7,683933696,46393196544,0,348,0
13,6936808.781928,184.056,-1.0,-1.0,-1.0,264.2,683933696,46393196544,0,348,0
14,6936808.965908,183.980,-1.0,-1.0,-1.0,200.4,683933696,46393196544,0,348,0
15,6936809.149824,183.916,-1.0,-1.0,-1.0,379.2,683933696,46393196544,0,348,0
16,6936809.335824,186.001,-1.0,-1.0,-1.0,471.3,683933696,46393196544,0,348,0
17,6936809.520083,184.259,-1.0,-1.0,-1.0,484.5,683933696,46393196544,0,348,0
18,6936809.703627,183.544,-1.0,-1.0,-1.0,487.3,683933696,46393196544,0,348,0
19,6936809.889732,186.105,-1.0,-1.0,-1.0,336.1,683933696,46393196544,0,348,0
20,6936810.074030,184.298,-1.0,-1.0,-1.0,449.3,683933696,46393196544,0,348,0
21,6936810.257904,183.874,-1.0,-1.0,-1.0,353.4,683933696,46393196544,0,348,0
22,6936810.443353,185.449,-1.0,-1.0,-1.0,465.6,683933696,46393196544,0,348,0
23,6936810.627875,184.522,-1.0,-1.0,-1.0,450.3,683933696,46393196544,0,348,0
24,6936810.813481,185.606,-1.0,-1.0,-1.0,203.1,683933696,46393196544,0,348,0
