timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/21 16:13:13.338, 0, 27, 345 MHz, 68.96 W, 0 %, 0 MiB
2026/04/21 16:13:13.345, 1, 26, 345 MHz, 68.59 W, 0 %, 0 MiB
2026/04/21 16:13:13.349, 2, 25, 345 MHz, 70.85 W, 0 %, 0 MiB
2026/04/21 16:13:13.355, 3, 26, 1590 MHz, 99.26 W, 0 %, 0 MiB
2026/04/21 16:13:14.359, 0, 27, 345 MHz, 68.94 W, 0 %, 0 MiB
2026/04/21 16:13:14.363, 1, 26, 345 MHz, 68.82 W, 0 %, 0 MiB
2026/04/21 16:13:14.366, 2, 25, 345 MHz, 70.63 W, 0 %, 0 MiB
2026/04/21 16:13:14.369, 3, 26, 1590 MHz, 99.29 W, 0 %, 0 MiB
2026/04/21 16:13:15.373, 0, 27, 345 MHz, 68.88 W, 0 %, 4 MiB
2026/04/21 16:13:15.386, 1, 26, 345 MHz, 68.89 W, 0 %, 4 MiB
2026/04/21 16:13:15.389, 2, 25, 345 MHz, 70.86 W, 0 %, 4 MiB
2026/04/21 16:13:15.392, 3, 26, 1590 MHz, 99.32 W, 0 %, 1 MiB
2026/04/21 16:13:16.397, 0, 27, 345 MHz, 68.96 W, 0 %, 4 MiB
2026/04/21 16:13:16.400, 1, 26, 345 MHz, 68.65 W, 0 %, 4 MiB
2026/04/21 16:13:16.402, 2, 25, 345 MHz, 70.69 W, 0 %, 4 MiB
2026/04/21 16:13:16.403, 3, 26, 1590 MHz, 99.36 W, 0 %, 4 MiB
2026/04/21 16:13:17.405, 0, 27, 345 MHz, 68.93 W, 0 %, 4 MiB
2026/04/21 16:13:17.410, 1, 26, 345 MHz, 68.59 W, 0 %, 4 MiB
2026/04/21 16:13:17.413, 2, 25, 345 MHz, 70.83 W, 0 %, 4 MiB
2026/04/21 16:13:17.416, 3, 26, 1590 MHz, 99.30 W, 0 %, 4 MiB
2026/04/21 16:13:18.419, 0, 27, 345 MHz, 68.95 W, 0 %, 4 MiB
2026/04/21 16:13:18.423, 1, 26, 345 MHz, 68.84 W, 0 %, 4 MiB
2026/04/21 16:13:18.428, 2, 25, 345 MHz, 70.74 W, 0 %, 4 MiB
2026/04/21 16:13:18.432, 3, 26, 1590 MHz, 99.29 W, 0 %, 4 MiB
2026/04/21 16:13:19.435, 0, 27, 345 MHz, 69.02 W, 0 %, 4 MiB
2026/04/21 16:13:19.454, 1, 26, 1980 MHz, 71.14 W, 0 %, 22 MiB
2026/04/21 16:13:19.457, 2, 25, 345 MHz, 70.83 W, 0 %, 4 MiB
2026/04/21 16:13:19.465, 3, 26, 1590 MHz, 99.33 W, 0 %, 23 MiB
2026/04/21 16:13:20.474, 0, 28, 1980 MHz, 111.24 W, 1 %, 969 MiB
2026/04/21 16:13:20.479, 1, 27, 1980 MHz, 113.79 W, 0 %, 969 MiB
2026/04/21 16:13:20.482, 2, 27, 1980 MHz, 117.96 W, 5 %, 969 MiB
2026/04/21 16:13:20.485, 3, 26, 1590 MHz, 97.52 W, 1 %, 969 MiB
2026/04/21 16:13:21.489, 0, 29, 1980 MHz, 115.19 W, 0 %, 1519 MiB
2026/04/21 16:13:21.493, 1, 27, 1980 MHz, 112.74 W, 0 %, 1519 MiB
2026/04/21 16:13:21.494, 2, 27, 1980 MHz, 118.75 W, 0 %, 1519 MiB
2026/04/21 16:13:21.495, 3, 26, 1590 MHz, 97.43 W, 0 %, 1519 MiB
2026/04/21 16:13:22.497, 0, 29, 1980 MHz, 114.72 W, 0 %, 1519 MiB
2026/04/21 16:13:22.499, 1, 27, 1980 MHz, 112.42 W, 0 %, 1519 MiB
2026/04/21 16:13:22.502, 2, 27, 1980 MHz, 118.24 W, 0 %, 1519 MiB
2026/04/21 16:13:22.503, 3, 26, 1590 MHz, 97.00 W, 0 %, 1519 MiB
2026/04/21 16:13:23.505, 0, 29, 1980 MHz, 114.79 W, 0 %, 1519 MiB
2026/04/21 16:13:23.508, 1, 27, 1980 MHz, 112.57 W, 0 %, 1519 MiB
2026/04/21 16:13:23.510, 2, 27, 1980 MHz, 118.10 W, 0 %, 1519 MiB
2026/04/21 16:13:23.511, 3, 26, 1590 MHz, 97.01 W, 0 %, 1519 MiB
2026/04/21 16:13:24.513, 0, 29, 1980 MHz, 114.82 W, 0 %, 1519 MiB
2026/04/21 16:13:24.517, 1, 27, 1980 MHz, 112.34 W, 0 %, 1519 MiB
2026/04/21 16:13:24.520, 2, 27, 1980 MHz, 118.30 W, 0 %, 1519 MiB
2026/04/21 16:13:24.524, 3, 26, 1590 MHz, 97.00 W, 0 %, 1519 MiB
2026/04/21 16:13:25.527, 0, 29, 1980 MHz, 115.12 W, 0 %, 1721 MiB
2026/04/21 16:13:25.530, 1, 27, 1980 MHz, 112.60 W, 0 %, 1721 MiB
2026/04/21 16:13:25.533, 2, 27, 1980 MHz, 118.20 W, 0 %, 1721 MiB
2026/04/21 16:13:25.536, 3, 26, 1590 MHz, 97.43 W, 0 %, 1721 MiB
2026/04/21 16:13:26.539, 0, 29, 1980 MHz, 114.85 W, 0 %, 1721 MiB
2026/04/21 16:13:26.542, 1, 27, 1980 MHz, 112.42 W, 0 %, 1721 MiB
2026/04/21 16:13:26.544, 2, 27, 1980 MHz, 118.38 W, 0 %, 1721 MiB
2026/04/21 16:13:26.547, 3, 26, 1590 MHz, 97.11 W, 0 %, 1721 MiB
2026/04/21 16:13:27.550, 0, 29, 1980 MHz, 114.91 W, 0 %, 1721 MiB
2026/04/21 16:13:27.554, 1, 27, 1980 MHz, 112.75 W, 0 %, 1721 MiB
2026/04/21 16:13:27.556, 2, 27, 1980 MHz, 118.18 W, 0 %, 1721 MiB
2026/04/21 16:13:27.558, 3, 26, 1590 MHz, 97.09 W, 0 %, 1721 MiB
2026/04/21 16:13:28.561, 0, 29, 1980 MHz, 115.01 W, 0 %, 1821 MiB
2026/04/21 16:13:28.565, 1, 28, 1980 MHz, 112.53 W, 0 %, 1821 MiB
2026/04/21 16:13:28.567, 2, 27, 1980 MHz, 118.51 W, 0 %, 1821 MiB
2026/04/21 16:13:28.570, 3, 26, 1590 MHz, 97.13 W, 0 %, 1821 MiB
2026/04/21 16:13:29.573, 0, 29, 1980 MHz, 114.97 W, 0 %, 1821 MiB
2026/04/21 16:13:29.577, 1, 28, 1980 MHz, 112.52 W, 0 %, 1821 MiB
2026/04/21 16:13:29.580, 2, 27, 1980 MHz, 118.33 W, 0 %, 1821 MiB
2026/04/21 16:13:29.581, 3, 26, 1590 MHz, 97.09 W, 0 %, 1821 MiB
2026/04/21 16:13:30.583, 0, 29, 1980 MHz, 114.98 W, 0 %, 1821 MiB
2026/04/21 16:13:30.587, 1, 28, 1980 MHz, 112.57 W, 0 %, 1821 MiB
2026/04/21 16:13:30.589, 2, 27, 1980 MHz, 118.40 W, 0 %, 1821 MiB
2026/04/21 16:13:30.589, 3, 26, 1590 MHz, 97.04 W, 0 %, 1821 MiB
2026/04/21 16:13:31.590, 0, 29, 1980 MHz, 115.01 W, 0 %, 1821 MiB
2026/04/21 16:13:31.594, 1, 28, 1980 MHz, 112.73 W, 0 %, 1821 MiB
2026/04/21 16:13:31.597, 2, 27, 1980 MHz, 118.43 W, 0 %, 1821 MiB
2026/04/21 16:13:31.600, 3, 26, 1590 MHz, 97.08 W, 0 %, 1821 MiB
2026/04/21 16:13:32.603, 0, 29, 1980 MHz, 115.02 W, 0 %, 1821 MiB
2026/04/21 16:13:32.607, 1, 28, 1980 MHz, 112.52 W, 0 %, 1821 MiB
2026/04/21 16:13:32.610, 2, 27, 1980 MHz, 118.36 W, 0 %, 1821 MiB
2026/04/21 16:13:32.612, 3, 26, 1590 MHz, 97.09 W, 0 %, 1821 MiB
2026/04/21 16:13:33.616, 0, 29, 1980 MHz, 115.00 W, 0 %, 1821 MiB
2026/04/21 16:13:33.619, 1, 28, 1980 MHz, 112.60 W, 0 %, 1821 MiB
2026/04/21 16:13:33.622, 2, 27, 1980 MHz, 118.42 W, 0 %, 1821 MiB
2026/04/21 16:13:33.626, 3, 26, 1590 MHz, 97.10 W, 0 %, 1821 MiB
2026/04/21 16:13:34.628, 0, 29, 1980 MHz, 115.04 W, 0 %, 1821 MiB
2026/04/21 16:13:34.632, 1, 28, 1980 MHz, 112.56 W, 0 %, 1821 MiB
2026/04/21 16:13:34.635, 2, 27, 1980 MHz, 118.33 W, 0 %, 1821 MiB
2026/04/21 16:13:34.638, 3, 26, 1590 MHz, 97.12 W, 0 %, 1821 MiB
2026/04/21 16:13:35.640, 0, 29, 1980 MHz, 115.00 W, 0 %, 1821 MiB
2026/04/21 16:13:35.645, 1, 28, 1980 MHz, 112.81 W, 0 %, 1821 MiB
2026/04/21 16:13:35.648, 2, 27, 1980 MHz, 118.51 W, 0 %, 1821 MiB
2026/04/21 16:13:35.651, 3, 26, 1590 MHz, 97.06 W, 0 %, 1821 MiB
2026/04/21 16:13:36.654, 0, 29, 1980 MHz, 114.96 W, 0 %, 1821 MiB
2026/04/21 16:13:36.659, 1, 28, 1980 MHz, 112.63 W, 0 %, 1821 MiB
2026/04/21 16:13:36.662, 2, 27, 1980 MHz, 118.38 W, 0 %, 1821 MiB
2026/04/21 16:13:36.665, 3, 26, 1590 MHz, 97.08 W, 0 %, 1821 MiB
2026/04/21 16:13:37.668, 0, 29, 1980 MHz, 115.03 W, 0 %, 1821 MiB
2026/04/21 16:13:37.673, 1, 28, 1980 MHz, 112.63 W, 0 %, 1821 MiB
2026/04/21 16:13:37.676, 2, 27, 1980 MHz, 118.50 W, 0 %, 1821 MiB
2026/04/21 16:13:37.679, 3, 26, 1590 MHz, 97.12 W, 0 %, 1821 MiB
2026/04/21 16:13:38.682, 0, 29, 1980 MHz, 114.98 W, 0 %, 1821 MiB
2026/04/21 16:13:38.687, 1, 28, 1980 MHz, 112.47 W, 0 %, 1821 MiB
2026/04/21 16:13:38.690, 2, 27, 1980 MHz, 118.31 W, 0 %, 1821 MiB
2026/04/21 16:13:38.694, 3, 26, 1590 MHz, 97.10 W, 0 %, 1821 MiB
2026/04/21 16:13:39.697, 0, 29, 1980 MHz, 115.15 W, 0 %, 1821 MiB
2026/04/21 16:13:39.700, 1, 28, 1980 MHz, 112.76 W, 0 %, 1821 MiB
2026/04/21 16:13:39.703, 2, 27, 1980 MHz, 118.52 W, 0 %, 1821 MiB
2026/04/21 16:13:39.705, 3, 26, 1590 MHz, 97.13 W, 0 %, 1821 MiB
2026/04/21 16:13:40.707, 0, 29, 1980 MHz, 115.03 W, 0 %, 1821 MiB
2026/04/21 16:13:40.710, 1, 28, 1980 MHz, 112.71 W, 0 %, 1821 MiB
2026/04/21 16:13:40.712, 2, 27, 1980 MHz, 118.36 W, 0 %, 1821 MiB
2026/04/21 16:13:40.714, 3, 26, 1590 MHz, 97.07 W, 0 %, 1821 MiB
2026/04/21 16:13:41.716, 0, 29, 1980 MHz, 115.08 W, 0 %, 1821 MiB
2026/04/21 16:13:41.720, 1, 28, 1980 MHz, 112.57 W, 0 %, 1821 MiB
2026/04/21 16:13:41.724, 2, 27, 1980 MHz, 118.52 W, 0 %, 1821 MiB
2026/04/21 16:13:41.727, 3, 26, 1590 MHz, 97.07 W, 0 %, 1821 MiB
2026/04/21 16:13:42.730, 0, 29, 1980 MHz, 115.05 W, 0 %, 1821 MiB
2026/04/21 16:13:42.733, 1, 28, 1980 MHz, 112.57 W, 0 %, 1821 MiB
2026/04/21 16:13:42.735, 2, 27, 1980 MHz, 118.45 W, 0 %, 1821 MiB
2026/04/21 16:13:42.738, 3, 26, 1590 MHz, 97.02 W, 0 %, 1821 MiB
2026/04/21 16:13:43.740, 0, 29, 1980 MHz, 115.08 W, 0 %, 1821 MiB
2026/04/21 16:13:43.743, 1, 28, 1980 MHz, 112.66 W, 0 %, 1821 MiB
2026/04/21 16:13:43.746, 2, 27, 1980 MHz, 118.57 W, 0 %, 1821 MiB
2026/04/21 16:13:43.748, 3, 26, 1590 MHz, 97.04 W, 0 %, 1821 MiB
2026/04/21 16:13:44.750, 0, 29, 1980 MHz, 115.10 W, 0 %, 1821 MiB
2026/04/21 16:13:44.753, 1, 28, 1980 MHz, 112.82 W, 0 %, 1821 MiB
2026/04/21 16:13:44.754, 2, 27, 1980 MHz, 118.42 W, 0 %, 1821 MiB
2026/04/21 16:13:44.756, 3, 26, 1590 MHz, 97.09 W, 0 %, 1821 MiB
2026/04/21 16:13:45.758, 0, 29, 1980 MHz, 115.06 W, 0 %, 1821 MiB
2026/04/21 16:13:45.762, 1, 28, 1980 MHz, 112.66 W, 0 %, 1821 MiB
2026/04/21 16:13:45.764, 2, 27, 1980 MHz, 118.54 W, 0 %, 1821 MiB
2026/04/21 16:13:45.766, 3, 26, 1590 MHz, 97.10 W, 0 %, 1821 MiB
2026/04/21 16:13:46.769, 0, 29, 1980 MHz, 115.13 W, 0 %, 1821 MiB
2026/04/21 16:13:46.773, 1, 28, 1980 MHz, 112.69 W, 0 %, 1821 MiB
2026/04/21 16:13:46.776, 2, 27, 1980 MHz, 118.43 W, 0 %, 1821 MiB
2026/04/21 16:13:46.778, 3, 26, 1590 MHz, 97.10 W, 0 %, 1821 MiB
2026/04/21 16:13:47.781, 0, 31, 1980 MHz, 152.19 W, 18 %, 2411 MiB
2026/04/21 16:13:47.785, 1, 28, 1980 MHz, 112.57 W, 0 %, 1821 MiB
2026/04/21 16:13:47.789, 2, 30, 1980 MHz, 141.64 W, 0 %, 2065 MiB
2026/04/21 16:13:47.792, 3, 27, 1590 MHz, 130.05 W, 97 %, 2313 MiB
2026/04/21 16:13:48.795, 0, 32, 1980 MHz, 310.11 W, 82 %, 28067 MiB
2026/04/21 16:13:48.799, 1, 31, 1980 MHz, 280.32 W, 80 %, 15267 MiB
2026/04/21 16:13:48.803, 2, 30, 1980 MHz, 295.73 W, 81 %, 22009 MiB
2026/04/21 16:13:48.806, 3, 28, 1590 MHz, 259.30 W, 81 %, 28067 MiB
2026/04/21 16:13:49.809, 0, 30, 1980 MHz, 132.71 W, 0 %, 28067 MiB
2026/04/21 16:13:49.815, 1, 29, 1980 MHz, 203.73 W, 0 %, 28067 MiB
2026/04/21 16:13:49.818, 2, 28, 1980 MHz, 184.75 W, 0 %, 28067 MiB
2026/04/21 16:13:49.822, 3, 26, 1590 MHz, 132.84 W, 0 %, 28067 MiB
2026/04/21 16:13:50.825, 0, 30, 1980 MHz, 115.40 W, 0 %, 28067 MiB
2026/04/21 16:13:50.830, 1, 29, 1980 MHz, 113.55 W, 0 %, 28067 MiB
2026/04/21 16:13:50.833, 2, 28, 1980 MHz, 118.89 W, 0 %, 28067 MiB
2026/04/21 16:13:50.836, 3, 26, 1590 MHz, 97.58 W, 0 %, 28067 MiB
2026/04/21 16:13:51.839, 0, 30, 1980 MHz, 115.36 W, 0 %, 28067 MiB
2026/04/21 16:13:51.844, 1, 29, 1980 MHz, 113.43 W, 0 %, 28067 MiB
2026/04/21 16:13:51.847, 2, 28, 1980 MHz, 118.86 W, 0 %, 28067 MiB
2026/04/21 16:13:51.850, 3, 26, 1590 MHz, 97.56 W, 0 %, 28067 MiB
2026/04/21 16:13:52.853, 0, 30, 1980 MHz, 115.34 W, 0 %, 28067 MiB
2026/04/21 16:13:52.857, 1, 28, 1980 MHz, 113.36 W, 0 %, 28067 MiB
2026/04/21 16:13:52.860, 2, 28, 1980 MHz, 118.78 W, 0 %, 28067 MiB
2026/04/21 16:13:52.863, 3, 26, 1590 MHz, 97.57 W, 0 %, 28067 MiB
2026/04/21 16:13:53.866, 0, 29, 1980 MHz, 115.29 W, 0 %, 28067 MiB
2026/04/21 16:13:53.870, 1, 28, 1980 MHz, 113.71 W, 0 %, 28067 MiB
2026/04/21 16:13:53.873, 2, 28, 1980 MHz, 118.84 W, 0 %, 28067 MiB
2026/04/21 16:13:53.876, 3, 26, 1590 MHz, 97.53 W, 0 %, 28067 MiB
2026/04/21 16:13:54.879, 0, 29, 1980 MHz, 115.30 W, 0 %, 28067 MiB
2026/04/21 16:13:54.884, 1, 28, 1980 MHz, 113.55 W, 0 %, 28067 MiB
2026/04/21 16:13:54.887, 2, 28, 1980 MHz, 118.70 W, 0 %, 28067 MiB
2026/04/21 16:13:54.889, 3, 26, 1590 MHz, 97.55 W, 0 %, 28067 MiB
2026/04/21 16:13:55.893, 0, 29, 1980 MHz, 115.20 W, 0 %, 28067 MiB
2026/04/21 16:13:55.896, 1, 28, 1980 MHz, 113.45 W, 0 %, 28067 MiB
2026/04/21 16:13:55.899, 2, 28, 1980 MHz, 118.76 W, 0 %, 28067 MiB
2026/04/21 16:13:55.902, 3, 26, 1590 MHz, 97.50 W, 0 %, 28067 MiB
2026/04/21 16:13:56.904, 0, 29, 1980 MHz, 115.30 W, 0 %, 28067 MiB
2026/04/21 16:13:56.908, 1, 28, 1980 MHz, 113.35 W, 0 %, 28067 MiB
2026/04/21 16:13:56.911, 2, 28, 1980 MHz, 118.67 W, 0 %, 28067 MiB
2026/04/21 16:13:56.914, 3, 26, 1590 MHz, 97.51 W, 0 %, 28067 MiB
2026/04/21 16:13:57.916, 0, 29, 1980 MHz, 115.30 W, 0 %, 28067 MiB
2026/04/21 16:13:57.920, 1, 28, 1980 MHz, 113.43 W, 0 %, 28067 MiB
2026/04/21 16:13:57.923, 2, 28, 1980 MHz, 118.70 W, 0 %, 28067 MiB
2026/04/21 16:13:57.926, 3, 26, 1590 MHz, 97.53 W, 0 %, 28067 MiB
2026/04/21 16:13:58.930, 0, 29, 1980 MHz, 115.33 W, 0 %, 28067 MiB
2026/04/21 16:13:58.934, 1, 28, 1980 MHz, 113.62 W, 0 %, 28067 MiB
2026/04/21 16:13:58.938, 2, 28, 1980 MHz, 118.65 W, 0 %, 28067 MiB
2026/04/21 16:13:58.941, 3, 26, 1590 MHz, 97.55 W, 0 %, 28067 MiB
2026/04/21 16:13:59.945, 0, 29, 1980 MHz, 115.25 W, 0 %, 28067 MiB
2026/04/21 16:13:59.948, 1, 28, 1980 MHz, 113.52 W, 0 %, 28067 MiB
2026/04/21 16:13:59.951, 2, 28, 1980 MHz, 118.58 W, 0 %, 28067 MiB
2026/04/21 16:13:59.954, 3, 26, 1590 MHz, 97.54 W, 0 %, 28133 MiB
2026/04/21 16:14:00.956, 0, 37, 1980 MHz, 352.60 W, 94 %, 28133 MiB
2026/04/21 16:14:00.959, 1, 34, 1980 MHz, 375.12 W, 100 %, 28133 MiB
2026/04/21 16:14:00.962, 2, 36, 1980 MHz, 389.83 W, 56 %, 28133 MiB
2026/04/21 16:14:00.965, 3, 28, 1590 MHz, 326.29 W, 100 %, 28133 MiB
2026/04/21 16:14:01.968, 0, 30, 1980 MHz, 161.32 W, 0 %, 28133 MiB
2026/04/21 16:14:01.972, 1, 29, 1980 MHz, 114.06 W, 0 %, 28133 MiB
2026/04/21 16:14:01.975, 2, 28, 1980 MHz, 117.94 W, 0 %, 28133 MiB
2026/04/21 16:14:01.978, 3, 27, 1590 MHz, 97.49 W, 0 %, 28133 MiB
2026/04/21 16:14:02.981, 0, 30, 1980 MHz, 115.44 W, 0 %, 28133 MiB
2026/04/21 16:14:02.984, 1, 29, 1980 MHz, 113.64 W, 0 %, 28133 MiB
2026/04/21 16:14:02.987, 2, 28, 1980 MHz, 116.97 W, 0 %, 28133 MiB
2026/04/21 16:14:02.991, 3, 26, 1590 MHz, 97.15 W, 0 %, 28133 MiB
2026/04/21 16:14:03.994, 0, 30, 1980 MHz, 115.09 W, 0 %, 28133 MiB
2026/04/21 16:14:03.998, 1, 29, 1980 MHz, 113.82 W, 0 %, 28133 MiB
2026/04/21 16:14:04.001, 2, 28, 1980 MHz, 117.00 W, 0 %, 28133 MiB
2026/04/21 16:14:04.004, 3, 26, 1590 MHz, 97.14 W, 0 %, 28133 MiB
2026/04/21 16:14:05.007, 0, 30, 1980 MHz, 115.09 W, 0 %, 28133 MiB
2026/04/21 16:14:05.011, 1, 29, 1980 MHz, 113.22 W, 0 %, 28133 MiB
2026/04/21 16:14:05.014, 2, 28, 1980 MHz, 116.85 W, 0 %, 28133 MiB
2026/04/21 16:14:05.017, 3, 26, 1590 MHz, 97.15 W, 0 %, 28133 MiB
2026/04/21 16:14:06.020, 0, 30, 1980 MHz, 115.24 W, 0 %, 28133 MiB
2026/04/21 16:14:06.023, 1, 29, 1980 MHz, 113.06 W, 0 %, 28133 MiB
2026/04/21 16:14:06.026, 2, 28, 1980 MHz, 116.96 W, 0 %, 28133 MiB
2026/04/21 16:14:06.029, 3, 26, 1590 MHz, 97.10 W, 0 %, 28133 MiB
2026/04/21 16:14:07.033, 0, 30, 1980 MHz, 115.06 W, 0 %, 28133 MiB
2026/04/21 16:14:07.036, 1, 29, 1980 MHz, 112.91 W, 0 %, 28133 MiB
2026/04/21 16:14:07.038, 2, 28, 1980 MHz, 116.82 W, 0 %, 28133 MiB
2026/04/21 16:14:07.041, 3, 26, 1590 MHz, 97.07 W, 0 %, 28133 MiB
2026/04/21 16:14:08.043, 0, 30, 1980 MHz, 115.13 W, 0 %, 28133 MiB
2026/04/21 16:14:08.047, 1, 29, 1980 MHz, 112.99 W, 0 %, 28133 MiB
2026/04/21 16:14:08.050, 2, 28, 1980 MHz, 116.93 W, 0 %, 28133 MiB
2026/04/21 16:14:08.053, 3, 26, 1590 MHz, 97.05 W, 0 %, 28133 MiB
2026/04/21 16:14:09.057, 0, 30, 1980 MHz, 115.08 W, 0 %, 28133 MiB
2026/04/21 16:14:09.061, 1, 29, 1980 MHz, 113.10 W, 0 %, 28133 MiB
2026/04/21 16:14:09.064, 2, 28, 1980 MHz, 116.74 W, 0 %, 28133 MiB
2026/04/21 16:14:09.067, 3, 26, 1590 MHz, 97.04 W, 0 %, 28133 MiB
2026/04/21 16:14:10.070, 0, 30, 1980 MHz, 115.07 W, 0 %, 28133 MiB
2026/04/21 16:14:10.074, 1, 29, 1980 MHz, 113.04 W, 0 %, 28133 MiB
2026/04/21 16:14:10.077, 2, 28, 1980 MHz, 116.90 W, 0 %, 28133 MiB
2026/04/21 16:14:10.080, 3, 26, 1590 MHz, 97.03 W, 0 %, 28133 MiB
2026/04/21 16:14:11.083, 0, 30, 1980 MHz, 115.11 W, 0 %, 28133 MiB
2026/04/21 16:14:11.087, 1, 29, 1980 MHz, 112.92 W, 0 %, 28133 MiB
2026/04/21 16:14:11.090, 2, 28, 1980 MHz, 116.70 W, 0 %, 28133 MiB
2026/04/21 16:14:11.093, 3, 26, 1590 MHz, 97.06 W, 0 %, 28133 MiB
2026/04/21 16:14:12.097, 0, 30, 1980 MHz, 115.13 W, 0 %, 28133 MiB
2026/04/21 16:14:12.101, 1, 29, 1980 MHz, 113.02 W, 0 %, 28133 MiB
2026/04/21 16:14:12.104, 2, 28, 1980 MHz, 116.87 W, 0 %, 28133 MiB
2026/04/21 16:14:12.107, 3, 26, 1590 MHz, 97.06 W, 0 %, 28133 MiB
2026/04/21 16:14:13.110, 0, 30, 1980 MHz, 115.10 W, 0 %, 28133 MiB
2026/04/21 16:14:13.114, 1, 29, 1980 MHz, 112.84 W, 0 %, 28133 MiB
2026/04/21 16:14:13.117, 2, 28, 1980 MHz, 116.74 W, 0 %, 28133 MiB
2026/04/21 16:14:13.120, 3, 26, 1590 MHz, 97.06 W, 0 %, 28133 MiB
2026/04/21 16:14:14.123, 0, 30, 1980 MHz, 115.06 W, 0 %, 28133 MiB
2026/04/21 16:14:14.127, 1, 29, 1980 MHz, 113.11 W, 0 %, 28133 MiB
2026/04/21 16:14:14.130, 2, 28, 1980 MHz, 116.90 W, 0 %, 28133 MiB
2026/04/21 16:14:14.133, 3, 26, 1590 MHz, 97.01 W, 0 %, 28133 MiB
2026/04/21 16:14:15.136, 0, 30, 1980 MHz, 115.12 W, 0 %, 28133 MiB
2026/04/21 16:14:15.141, 1, 29, 1980 MHz, 113.00 W, 0 %, 28133 MiB
2026/04/21 16:14:15.144, 2, 28, 1980 MHz, 116.99 W, 0 %, 28133 MiB
2026/04/21 16:14:15.147, 3, 26, 1590 MHz, 97.03 W, 0 %, 28133 MiB
2026/04/21 16:14:16.150, 0, 30, 1980 MHz, 115.10 W, 0 %, 28133 MiB
2026/04/21 16:14:16.154, 1, 29, 1980 MHz, 112.89 W, 0 %, 28133 MiB
2026/04/21 16:14:16.157, 2, 28, 1980 MHz, 116.84 W, 0 %, 28133 MiB
2026/04/21 16:14:16.160, 3, 26, 1590 MHz, 97.01 W, 0 %, 28133 MiB
2026/04/21 16:14:17.163, 0, 30, 1980 MHz, 115.10 W, 0 %, 28133 MiB
2026/04/21 16:14:17.167, 1, 29, 1980 MHz, 112.91 W, 0 %, 28133 MiB
2026/04/21 16:14:17.170, 2, 28, 1980 MHz, 116.71 W, 0 %, 28133 MiB
2026/04/21 16:14:17.173, 3, 26, 1590 MHz, 97.05 W, 0 %, 28133 MiB
2026/04/21 16:14:18.176, 0, 30, 1980 MHz, 134.29 W, 0 %, 28133 MiB
2026/04/21 16:14:18.181, 1, 29, 1980 MHz, 130.88 W, 0 %, 28133 MiB
2026/04/21 16:14:18.183, 2, 28, 1980 MHz, 136.00 W, 0 %, 28133 MiB
2026/04/21 16:14:18.186, 3, 26, 1590 MHz, 111.22 W, 0 %, 28133 MiB
2026/04/21 16:14:19.189, 0, 30, 1980 MHz, 115.09 W, 0 %, 28133 MiB
2026/04/21 16:14:19.193, 1, 29, 1980 MHz, 113.92 W, 0 %, 28133 MiB
2026/04/21 16:14:19.196, 2, 28, 1980 MHz, 118.11 W, 0 %, 28133 MiB
2026/04/21 16:14:19.199, 3, 26, 1590 MHz, 96.99 W, 0 %, 28133 MiB
2026/04/21 16:14:20.202, 0, 30, 1980 MHz, 115.07 W, 0 %, 28133 MiB
2026/04/21 16:14:20.207, 1, 29, 1980 MHz, 113.73 W, 0 %, 28133 MiB
2026/04/21 16:14:20.209, 2, 28, 1980 MHz, 118.12 W, 0 %, 28133 MiB
2026/04/21 16:14:20.212, 3, 26, 1590 MHz, 96.96 W, 0 %, 28133 MiB
2026/04/21 16:14:21.215, 0, 30, 1980 MHz, 115.02 W, 0 %, 28133 MiB
2026/04/21 16:14:21.218, 1, 29, 1980 MHz, 113.51 W, 0 %, 28133 MiB
2026/04/21 16:14:21.221, 2, 28, 1980 MHz, 118.05 W, 0 %, 28133 MiB
