timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/21 20:54:20.434, 0, 21, 345 MHz, 69.05 W, 0 %, 0 MiB
2026/04/21 20:54:20.435, 1, 24, 345 MHz, 70.25 W, 0 %, 0 MiB
2026/04/21 20:54:20.436, 2, 23, 345 MHz, 70.90 W, 0 %, 0 MiB
2026/04/21 20:54:20.436, 3, 21, 345 MHz, 68.26 W, 0 %, 0 MiB
2026/04/21 20:54:20.437, 4, 21, 345 MHz, 70.85 W, 0 %, 0 MiB
2026/04/21 20:54:20.438, 5, 24, 345 MHz, 70.07 W, 0 %, 0 MiB
2026/04/21 20:54:20.439, 6, 23, 345 MHz, 68.70 W, 0 %, 0 MiB
2026/04/21 20:54:20.440, 7, 21, 345 MHz, 69.46 W, 0 %, 0 MiB
2026/04/21 20:54:21.441, 0, 21, 345 MHz, 69.06 W, 0 %, 0 MiB
2026/04/21 20:54:21.442, 1, 24, 345 MHz, 70.25 W, 0 %, 0 MiB
2026/04/21 20:54:21.442, 2, 23, 345 MHz, 70.93 W, 0 %, 0 MiB
2026/04/21 20:54:21.442, 3, 21, 345 MHz, 68.32 W, 0 %, 0 MiB
2026/04/21 20:54:21.443, 4, 21, 345 MHz, 70.86 W, 0 %, 0 MiB
2026/04/21 20:54:21.443, 5, 24, 345 MHz, 70.08 W, 0 %, 0 MiB
2026/04/21 20:54:21.443, 6, 23, 345 MHz, 68.69 W, 0 %, 0 MiB
2026/04/21 20:54:21.444, 7, 21, 345 MHz, 69.44 W, 0 %, 0 MiB
2026/04/21 20:54:22.444, 0, 21, 345 MHz, 68.96 W, 0 %, 0 MiB
2026/04/21 20:54:22.445, 1, 24, 345 MHz, 70.26 W, 0 %, 0 MiB
2026/04/21 20:54:22.445, 2, 23, 345 MHz, 70.94 W, 0 %, 0 MiB
2026/04/21 20:54:22.446, 3, 21, 345 MHz, 68.24 W, 0 %, 0 MiB
2026/04/21 20:54:22.446, 4, 21, 345 MHz, 70.87 W, 0 %, 0 MiB
2026/04/21 20:54:22.446, 5, 24, 345 MHz, 70.11 W, 0 %, 0 MiB
2026/04/21 20:54:22.447, 6, 23, 345 MHz, 68.66 W, 0 %, 0 MiB
2026/04/21 20:54:22.447, 7, 21, 345 MHz, 69.51 W, 0 %, 0 MiB
2026/04/21 20:54:23.447, 0, 21, 345 MHz, 68.95 W, 0 %, 0 MiB
2026/04/21 20:54:23.449, 1, 24, 345 MHz, 70.30 W, 0 %, 0 MiB
2026/04/21 20:54:23.449, 2, 23, 345 MHz, 70.92 W, 0 %, 0 MiB
2026/04/21 20:54:23.449, 3, 21, 345 MHz, 68.17 W, 0 %, 0 MiB
2026/04/21 20:54:23.449, 4, 21, 345 MHz, 70.94 W, 0 %, 0 MiB
2026/04/21 20:54:23.450, 5, 24, 345 MHz, 70.05 W, 0 %, 0 MiB
2026/04/21 20:54:23.450, 6, 23, 345 MHz, 68.67 W, 0 %, 0 MiB
2026/04/21 20:54:23.450, 7, 21, 345 MHz, 69.45 W, 0 %, 0 MiB
2026/04/21 20:54:24.451, 0, 21, 345 MHz, 68.94 W, 0 %, 0 MiB
2026/04/21 20:54:24.451, 1, 24, 345 MHz, 70.25 W, 0 %, 0 MiB
2026/04/21 20:54:24.452, 2, 23, 345 MHz, 70.93 W, 0 %, 0 MiB
2026/04/21 20:54:24.452, 3, 21, 345 MHz, 68.29 W, 0 %, 0 MiB
