timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/21 23:42:27.110, 0, 22, 345 MHz, 69.05 W, 0 %, 0 MiB
2026/04/21 23:42:27.111, 1, 24, 345 MHz, 70.29 W, 0 %, 0 MiB
2026/04/21 23:42:27.112, 2, 24, 345 MHz, 71.15 W, 0 %, 0 MiB
2026/04/21 23:42:27.113, 3, 21, 345 MHz, 68.07 W, 0 %, 0 MiB
2026/04/21 23:42:27.113, 4, 22, 345 MHz, 70.94 W, 0 %, 0 MiB
2026/04/21 23:42:27.114, 5, 24, 345 MHz, 69.93 W, 0 %, 0 MiB
2026/04/21 23:42:27.115, 6, 23, 345 MHz, 68.74 W, 0 %, 0 MiB
2026/04/21 23:42:27.116, 7, 21, 345 MHz, 69.51 W, 0 %, 0 MiB
2026/04/21 23:42:28.117, 0, 22, 345 MHz, 69.04 W, 0 %, 0 MiB
2026/04/21 23:42:28.117, 1, 24, 345 MHz, 70.27 W, 0 %, 0 MiB
2026/04/21 23:42:28.117, 2, 24, 345 MHz, 71.21 W, 0 %, 0 MiB
2026/04/21 23:42:28.117, 3, 21, 345 MHz, 68.16 W, 0 %, 0 MiB
2026/04/21 23:42:28.118, 4, 22, 345 MHz, 70.94 W, 0 %, 0 MiB
2026/04/21 23:42:28.118, 5, 24, 345 MHz, 69.90 W, 0 %, 0 MiB
2026/04/21 23:42:28.118, 6, 23, 345 MHz, 68.77 W, 0 %, 0 MiB
2026/04/21 23:42:28.118, 7, 21, 345 MHz, 69.52 W, 0 %, 0 MiB
2026/04/21 23:42:29.119, 0, 22, 780 MHz, 70.63 W, 0 %, 4 MiB
2026/04/21 23:42:29.169, 1, 24, 810 MHz, 71.29 W, 0 %, 4 MiB
2026/04/21 23:42:29.169, 2, 24, 825 MHz, 71.57 W, 0 %, 4 MiB
2026/04/21 23:42:29.169, 3, 21, 345 MHz, 68.12 W, 0 %, 1 MiB
2026/04/21 23:42:29.169, 4, 22, 345 MHz, 70.93 W, 0 %, 1 MiB
2026/04/21 23:42:29.170, 5, 24, 345 MHz, 69.96 W, 0 %, 1 MiB
2026/04/21 23:42:29.170, 6, 23, 345 MHz, 68.74 W, 0 %, 1 MiB
2026/04/21 23:42:29.170, 7, 21, 345 MHz, 69.53 W, 0 %, 1 MiB
2026/04/21 23:42:30.171, 0, 22, 780 MHz, 71.80 W, 0 %, 4 MiB
2026/04/21 23:42:30.175, 1, 24, 810 MHz, 73.52 W, 0 %, 4 MiB
2026/04/21 23:42:30.176, 2, 24, 825 MHz, 74.38 W, 0 %, 4 MiB
2026/04/21 23:42:30.178, 3, 21, 345 MHz, 68.23 W, 0 %, 4 MiB
2026/04/21 23:42:30.180, 4, 22, 840 MHz, 73.25 W, 0 %, 4 MiB
2026/04/21 23:42:30.181, 5, 24, 345 MHz, 69.99 W, 0 %, 4 MiB
2026/04/21 23:42:30.182, 6, 23, 345 MHz, 68.72 W, 0 %, 4 MiB
2026/04/21 23:42:30.184, 7, 21, 345 MHz, 69.56 W, 0 %, 1 MiB
2026/04/21 23:42:31.186, 0, 22, 345 MHz, 69.75 W, 0 %, 4 MiB
2026/04/21 23:42:31.187, 1, 24, 345 MHz, 71.97 W, 0 %, 4 MiB
2026/04/21 23:42:31.187, 2, 24, 345 MHz, 73.34 W, 0 %, 4 MiB
2026/04/21 23:42:31.187, 3, 21, 345 MHz, 68.19 W, 0 %, 4 MiB
2026/04/21 23:42:31.187, 4, 22, 840 MHz, 74.55 W, 0 %, 4 MiB
2026/04/21 23:42:31.187, 5, 24, 345 MHz, 69.99 W, 0 %, 4 MiB
2026/04/21 23:42:31.188, 6, 23, 345 MHz, 68.76 W, 0 %, 4 MiB
2026/04/21 23:42:31.188, 7, 21, 345 MHz, 69.56 W, 0 %, 4 MiB
2026/04/21 23:42:32.188, 0, 22, 345 MHz, 69.02 W, 0 %, 4 MiB
2026/04/21 23:42:32.189, 1, 24, 345 MHz, 70.34 W, 0 %, 4 MiB
2026/04/21 23:42:32.189, 2, 24, 345 MHz, 71.17 W, 0 %, 4 MiB
2026/04/21 23:42:32.189, 3, 21, 345 MHz, 68.16 W, 0 %, 4 MiB
