timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 01:22:48.437, 0, 22, 345 MHz, 69.14 W, 0 %, 0 MiB
2026/04/22 01:22:48.438, 1, 25, 345 MHz, 70.45 W, 0 %, 0 MiB
2026/04/22 01:22:48.439, 2, 24, 345 MHz, 71.25 W, 0 %, 0 MiB
2026/04/22 01:22:48.440, 3, 21, 345 MHz, 68.39 W, 0 %, 0 MiB
2026/04/22 01:22:48.441, 4, 22, 345 MHz, 70.98 W, 0 %, 0 MiB
2026/04/22 01:22:48.441, 5, 25, 345 MHz, 70.39 W, 0 %, 0 MiB
2026/04/22 01:22:48.442, 6, 24, 345 MHz, 68.80 W, 0 %, 0 MiB
2026/04/22 01:22:48.443, 7, 22, 345 MHz, 69.62 W, 0 %, 0 MiB
2026/04/22 01:22:49.444, 0, 22, 345 MHz, 69.14 W, 0 %, 1 MiB
2026/04/22 01:22:49.445, 1, 25, 345 MHz, 70.41 W, 0 %, 1 MiB
2026/04/22 01:22:49.448, 2, 24, 345 MHz, 71.20 W, 0 %, 1 MiB
2026/04/22 01:22:49.448, 3, 21, 345 MHz, 68.32 W, 0 %, 0 MiB
2026/04/22 01:22:49.449, 4, 22, 345 MHz, 70.98 W, 0 %, 0 MiB
2026/04/22 01:22:49.450, 5, 25, 345 MHz, 70.32 W, 0 %, 0 MiB
2026/04/22 01:22:49.451, 6, 24, 345 MHz, 68.78 W, 0 %, 0 MiB
2026/04/22 01:22:49.451, 7, 22, 345 MHz, 69.63 W, 0 %, 0 MiB
2026/04/22 01:22:50.451, 0, 22, 345 MHz, 69.21 W, 0 %, 4 MiB
2026/04/22 01:22:50.466, 1, 25, 345 MHz, 70.46 W, 0 %, 4 MiB
2026/04/22 01:22:50.466, 2, 24, 345 MHz, 71.28 W, 0 %, 4 MiB
2026/04/22 01:22:50.466, 3, 21, 345 MHz, 68.36 W, 0 %, 1 MiB
2026/04/22 01:22:50.467, 4, 22, 345 MHz, 70.99 W, 0 %, 1 MiB
2026/04/22 01:22:50.467, 5, 25, 345 MHz, 70.35 W, 0 %, 1 MiB
2026/04/22 01:22:50.467, 6, 24, 345 MHz, 68.79 W, 0 %, 1 MiB
2026/04/22 01:22:50.468, 7, 22, 345 MHz, 69.63 W, 0 %, 1 MiB
2026/04/22 01:22:51.468, 0, 22, 345 MHz, 69.16 W, 0 %, 4 MiB
2026/04/22 01:22:51.470, 1, 25, 345 MHz, 70.53 W, 0 %, 4 MiB
2026/04/22 01:22:51.470, 2, 24, 345 MHz, 71.25 W, 0 %, 4 MiB
2026/04/22 01:22:51.470, 3, 21, 345 MHz, 68.39 W, 0 %, 4 MiB
2026/04/22 01:22:51.471, 4, 22, 345 MHz, 71.07 W, 0 %, 4 MiB
2026/04/22 01:22:51.472, 5, 25, 345 MHz, 70.33 W, 0 %, 4 MiB
2026/04/22 01:22:51.473, 6, 24, 345 MHz, 68.81 W, 0 %, 1 MiB
2026/04/22 01:22:51.473, 7, 22, 345 MHz, 69.66 W, 0 %, 1 MiB
2026/04/22 01:22:52.474, 0, 22, 345 MHz, 69.23 W, 0 %, 4 MiB
2026/04/22 01:22:52.475, 1, 25, 345 MHz, 70.50 W, 0 %, 4 MiB
2026/04/22 01:22:52.475, 2, 24, 345 MHz, 71.27 W, 0 %, 4 MiB
