timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 03:39:08.369, 0, 24, 345 MHz, 68.90 W, 0 %, 0 MiB
2026/04/22 03:39:08.378, 1, 28, 345 MHz, 69.53 W, 0 %, 0 MiB
2026/04/22 03:39:08.383, 2, 28, 345 MHz, 69.51 W, 0 %, 0 MiB
2026/04/22 03:39:08.390, 3, 26, 345 MHz, 68.31 W, 0 %, 0 MiB
2026/04/22 03:39:09.396, 0, 24, 345 MHz, 68.89 W, 0 %, 0 MiB
2026/04/22 03:39:09.400, 1, 28, 345 MHz, 69.54 W, 0 %, 0 MiB
2026/04/22 03:39:09.403, 2, 28, 345 MHz, 69.57 W, 0 %, 0 MiB
2026/04/22 03:39:09.405, 3, 26, 345 MHz, 68.34 W, 0 %, 0 MiB
2026/04/22 03:39:10.408, 0, 24, 345 MHz, 68.96 W, 0 %, 4 MiB
2026/04/22 03:39:10.424, 1, 28, 345 MHz, 69.62 W, 0 %, 4 MiB
2026/04/22 03:39:10.529, 2, 28, 345 MHz, 69.66 W, 0 %, 4 MiB
2026/04/22 03:39:10.532, 3, 26, 345 MHz, 68.30 W, 0 %, 1 MiB
2026/04/22 03:39:11.537, 0, 24, 345 MHz, 68.96 W, 0 %, 4 MiB
2026/04/22 03:39:11.539, 1, 28, 345 MHz, 69.59 W, 0 %, 4 MiB
2026/04/22 03:39:11.541, 2, 28, 345 MHz, 69.60 W, 0 %, 4 MiB
2026/04/22 03:39:11.543, 3, 26, 345 MHz, 68.35 W, 0 %, 4 MiB
2026/04/22 03:39:12.545, 0, 24, 345 MHz, 68.97 W, 0 %, 4 MiB
2026/04/22 03:39:12.547, 1, 28, 345 MHz, 69.57 W, 0 %, 4 MiB
2026/04/22 03:39:12.550, 2, 28, 345 MHz, 69.59 W, 0 %, 4 MiB
2026/04/22 03:39:12.553, 3, 26, 345 MHz, 68.42 W, 0 %, 4 MiB
2026/04/22 03:39:13.556, 0, 24, 345 MHz, 68.99 W, 0 %, 4 MiB
2026/04/22 03:39:13.565, 1, 28, 345 MHz, 69.59 W, 0 %, 4 MiB
2026/04/22 03:39:13.570, 2, 28, 345 MHz, 69.63 W, 0 %, 4 MiB
2026/04/22 03:39:13.575, 3, 26, 345 MHz, 68.35 W, 0 %, 4 MiB
2026/04/22 03:39:14.578, 0, 24, 345 MHz, 69.00 W, 0 %, 4 MiB
2026/04/22 03:39:14.585, 1, 28, 345 MHz, 69.59 W, 0 %, 4 MiB
2026/04/22 03:39:14.588, 2, 28, 1980 MHz, 74.11 W, 0 %, 23 MiB
2026/04/22 03:39:14.590, 3, 26, 345 MHz, 68.32 W, 0 %, 12 MiB
2026/04/22 03:39:15.594, 0, 25, 1980 MHz, 110.90 W, 0 %, 881 MiB
2026/04/22 03:39:15.598, 1, 29, 1980 MHz, 108.10 W, 5 %, 895 MiB
2026/04/22 03:39:15.601, 2, 29, 1980 MHz, 116.71 W, 0 %, 929 MiB
2026/04/22 03:39:15.604, 3, 27, 1980 MHz, 112.98 W, 10 %, 949 MiB
2026/04/22 03:39:16.608, 0, 25, 1980 MHz, 112.43 W, 0 %, 1519 MiB
2026/04/22 03:39:16.611, 1, 29, 1980 MHz, 115.61 W, 0 %, 1519 MiB
2026/04/22 03:39:16.612, 2, 29, 1980 MHz, 115.97 W, 0 %, 1519 MiB
2026/04/22 03:39:16.613, 3, 28, 1980 MHz, 114.93 W, 0 %, 1519 MiB
2026/04/22 03:39:17.614, 0, 25, 1980 MHz, 112.16 W, 0 %, 1519 MiB
2026/04/22 03:39:17.618, 1, 29, 1980 MHz, 115.19 W, 0 %, 1519 MiB
2026/04/22 03:39:17.619, 2, 29, 1980 MHz, 115.32 W, 0 %, 1519 MiB
2026/04/22 03:39:17.619, 3, 28, 1980 MHz, 114.35 W, 0 %, 1519 MiB
2026/04/22 03:39:18.620, 0, 25, 1980 MHz, 112.20 W, 0 %, 1519 MiB
2026/04/22 03:39:18.622, 1, 29, 1980 MHz, 115.17 W, 0 %, 1519 MiB
2026/04/22 03:39:18.623, 2, 29, 1980 MHz, 115.39 W, 0 %, 1519 MiB
2026/04/22 03:39:18.624, 3, 28, 1980 MHz, 114.39 W, 0 %, 1519 MiB
2026/04/22 03:39:19.625, 0, 25, 1980 MHz, 112.21 W, 0 %, 1519 MiB
2026/04/22 03:39:19.629, 1, 29, 1980 MHz, 115.24 W, 0 %, 1519 MiB
2026/04/22 03:39:19.632, 2, 29, 1980 MHz, 115.40 W, 0 %, 1519 MiB
2026/04/22 03:39:19.634, 3, 28, 1980 MHz, 114.35 W, 0 %, 1519 MiB
2026/04/22 03:39:20.637, 0, 25, 1980 MHz, 112.45 W, 0 %, 1721 MiB
2026/04/22 03:39:20.638, 1, 29, 1980 MHz, 115.34 W, 0 %, 1721 MiB
2026/04/22 03:39:20.640, 2, 29, 1980 MHz, 115.70 W, 0 %, 1721 MiB
2026/04/22 03:39:20.642, 3, 28, 1980 MHz, 114.55 W, 0 %, 1721 MiB
2026/04/22 03:39:21.643, 0, 25, 1980 MHz, 112.27 W, 0 %, 1721 MiB
2026/04/22 03:39:21.647, 1, 29, 1980 MHz, 115.35 W, 0 %, 1721 MiB
2026/04/22 03:39:21.648, 2, 29, 1980 MHz, 115.47 W, 0 %, 1721 MiB
2026/04/22 03:39:21.649, 3, 28, 1980 MHz, 114.47 W, 0 %, 1721 MiB
2026/04/22 03:39:22.651, 0, 25, 1980 MHz, 112.25 W, 3 %, 1821 MiB
2026/04/22 03:39:22.653, 1, 29, 1980 MHz, 115.42 W, 0 %, 1821 MiB
2026/04/22 03:39:22.654, 2, 29, 1980 MHz, 115.58 W, 3 %, 1821 MiB
2026/04/22 03:39:22.655, 3, 28, 1980 MHz, 114.51 W, 0 %, 1821 MiB
2026/04/22 03:39:23.656, 0, 25, 1980 MHz, 112.38 W, 0 %, 1821 MiB
2026/04/22 03:39:23.659, 1, 29, 1980 MHz, 115.43 W, 0 %, 1821 MiB
2026/04/22 03:39:23.662, 2, 29, 1980 MHz, 115.48 W, 0 %, 1821 MiB
2026/04/22 03:39:23.665, 3, 28, 1980 MHz, 114.59 W, 0 %, 1821 MiB
2026/04/22 03:39:24.668, 0, 25, 1980 MHz, 112.33 W, 0 %, 1821 MiB
2026/04/22 03:39:24.671, 1, 29, 1980 MHz, 115.30 W, 0 %, 1821 MiB
2026/04/22 03:39:24.674, 2, 29, 1980 MHz, 115.50 W, 0 %, 1821 MiB
2026/04/22 03:39:24.677, 3, 28, 1980 MHz, 114.53 W, 0 %, 1821 MiB
2026/04/22 03:39:25.680, 0, 25, 1980 MHz, 112.35 W, 0 %, 1821 MiB
2026/04/22 03:39:25.683, 1, 29, 1980 MHz, 115.36 W, 0 %, 1821 MiB
2026/04/22 03:39:25.685, 2, 29, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:25.688, 3, 28, 1980 MHz, 114.51 W, 0 %, 1821 MiB
2026/04/22 03:39:26.690, 0, 25, 1980 MHz, 112.33 W, 0 %, 1821 MiB
2026/04/22 03:39:26.694, 1, 29, 1980 MHz, 115.37 W, 0 %, 1821 MiB
2026/04/22 03:39:26.698, 2, 29, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:26.702, 3, 28, 1980 MHz, 114.49 W, 0 %, 1821 MiB
2026/04/22 03:39:27.704, 0, 25, 1980 MHz, 112.34 W, 0 %, 1821 MiB
2026/04/22 03:39:27.708, 1, 29, 1980 MHz, 115.47 W, 0 %, 1821 MiB
2026/04/22 03:39:27.711, 2, 29, 1980 MHz, 115.58 W, 0 %, 1821 MiB
2026/04/22 03:39:27.714, 3, 28, 1980 MHz, 114.61 W, 0 %, 1821 MiB
2026/04/22 03:39:28.717, 0, 25, 1980 MHz, 112.34 W, 0 %, 1821 MiB
2026/04/22 03:39:28.722, 1, 30, 1980 MHz, 115.45 W, 0 %, 1821 MiB
2026/04/22 03:39:28.725, 2, 29, 1980 MHz, 115.52 W, 0 %, 1821 MiB
2026/04/22 03:39:28.728, 3, 28, 1980 MHz, 114.66 W, 0 %, 1821 MiB
2026/04/22 03:39:29.731, 0, 25, 1980 MHz, 112.30 W, 0 %, 1821 MiB
2026/04/22 03:39:29.735, 1, 30, 1980 MHz, 115.46 W, 0 %, 1821 MiB
2026/04/22 03:39:29.738, 2, 29, 1980 MHz, 115.55 W, 0 %, 1821 MiB
2026/04/22 03:39:29.741, 3, 28, 1980 MHz, 114.48 W, 0 %, 1821 MiB
2026/04/22 03:39:30.745, 0, 25, 1980 MHz, 112.38 W, 0 %, 1821 MiB
2026/04/22 03:39:30.748, 1, 30, 1980 MHz, 115.41 W, 1 %, 1821 MiB
2026/04/22 03:39:30.749, 2, 29, 1980 MHz, 115.61 W, 1 %, 1821 MiB
2026/04/22 03:39:30.750, 3, 28, 1980 MHz, 114.62 W, 0 %, 1821 MiB
2026/04/22 03:39:31.751, 0, 25, 1980 MHz, 112.42 W, 0 %, 1821 MiB
2026/04/22 03:39:31.755, 1, 30, 1980 MHz, 115.41 W, 0 %, 1821 MiB
2026/04/22 03:39:31.759, 2, 29, 1980 MHz, 115.62 W, 0 %, 1821 MiB
2026/04/22 03:39:31.762, 3, 28, 1980 MHz, 114.50 W, 0 %, 1821 MiB
2026/04/22 03:39:32.765, 0, 25, 1980 MHz, 112.38 W, 0 %, 1821 MiB
2026/04/22 03:39:32.769, 1, 30, 1980 MHz, 115.41 W, 0 %, 1821 MiB
2026/04/22 03:39:32.773, 2, 29, 1980 MHz, 115.61 W, 0 %, 1821 MiB
2026/04/22 03:39:32.776, 3, 28, 1980 MHz, 114.55 W, 0 %, 1821 MiB
2026/04/22 03:39:33.779, 0, 25, 1980 MHz, 112.35 W, 0 %, 1821 MiB
2026/04/22 03:39:33.784, 1, 30, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:33.787, 2, 29, 1980 MHz, 115.59 W, 0 %, 1821 MiB
2026/04/22 03:39:33.790, 3, 28, 1980 MHz, 114.55 W, 0 %, 1821 MiB
2026/04/22 03:39:34.794, 0, 25, 1980 MHz, 112.33 W, 0 %, 1821 MiB
2026/04/22 03:39:34.798, 1, 30, 1980 MHz, 115.52 W, 0 %, 1821 MiB
2026/04/22 03:39:34.801, 2, 29, 1980 MHz, 115.59 W, 0 %, 1821 MiB
2026/04/22 03:39:34.804, 3, 28, 1980 MHz, 114.65 W, 0 %, 1821 MiB
2026/04/22 03:39:35.807, 0, 25, 1980 MHz, 112.34 W, 0 %, 1821 MiB
2026/04/22 03:39:35.812, 1, 30, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:35.815, 2, 29, 1980 MHz, 115.64 W, 0 %, 1821 MiB
2026/04/22 03:39:35.818, 3, 28, 1980 MHz, 114.54 W, 0 %, 1821 MiB
2026/04/22 03:39:36.821, 0, 25, 1980 MHz, 112.41 W, 0 %, 1821 MiB
2026/04/22 03:39:36.825, 1, 30, 1980 MHz, 115.48 W, 0 %, 1821 MiB
2026/04/22 03:39:36.829, 2, 29, 1980 MHz, 115.56 W, 0 %, 1821 MiB
2026/04/22 03:39:36.832, 3, 28, 1980 MHz, 114.55 W, 0 %, 1821 MiB
2026/04/22 03:39:37.835, 0, 25, 1980 MHz, 112.40 W, 0 %, 1821 MiB
2026/04/22 03:39:37.839, 1, 30, 1980 MHz, 115.50 W, 0 %, 1821 MiB
2026/04/22 03:39:37.842, 2, 29, 1980 MHz, 115.59 W, 0 %, 1821 MiB
2026/04/22 03:39:37.845, 3, 28, 1980 MHz, 114.62 W, 0 %, 1821 MiB
2026/04/22 03:39:38.848, 0, 25, 1980 MHz, 112.40 W, 0 %, 1821 MiB
2026/04/22 03:39:38.850, 1, 30, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:38.851, 2, 29, 1980 MHz, 115.59 W, 0 %, 1821 MiB
2026/04/22 03:39:38.851, 3, 28, 1980 MHz, 114.50 W, 0 %, 1821 MiB
2026/04/22 03:39:39.852, 0, 26, 1980 MHz, 112.41 W, 0 %, 1821 MiB
2026/04/22 03:39:39.855, 1, 30, 1980 MHz, 115.53 W, 0 %, 1821 MiB
2026/04/22 03:39:39.858, 2, 29, 1980 MHz, 115.58 W, 0 %, 1821 MiB
2026/04/22 03:39:39.861, 3, 28, 1980 MHz, 114.58 W, 0 %, 1821 MiB
2026/04/22 03:39:40.864, 0, 26, 1980 MHz, 112.33 W, 0 %, 1821 MiB
2026/04/22 03:39:40.866, 1, 30, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:40.868, 2, 29, 1980 MHz, 115.63 W, 0 %, 1821 MiB
2026/04/22 03:39:40.869, 3, 28, 1980 MHz, 114.66 W, 0 %, 1821 MiB
2026/04/22 03:39:41.870, 0, 26, 1980 MHz, 112.40 W, 0 %, 1821 MiB
2026/04/22 03:39:41.875, 1, 30, 1980 MHz, 115.51 W, 0 %, 1821 MiB
2026/04/22 03:39:41.878, 2, 29, 1980 MHz, 115.58 W, 0 %, 1821 MiB
2026/04/22 03:39:41.881, 3, 28, 1980 MHz, 114.69 W, 0 %, 1821 MiB
2026/04/22 03:39:42.884, 0, 28, 1980 MHz, 255.23 W, 96 %, 7033 MiB
2026/04/22 03:39:42.888, 1, 32, 1980 MHz, 267.84 W, 94 %, 11031 MiB
2026/04/22 03:39:42.891, 2, 33, 1980 MHz, 271.80 W, 86 %, 11415 MiB
2026/04/22 03:39:42.893, 3, 32, 1980 MHz, 200.42 W, 90 %, 2797 MiB
2026/04/22 03:39:43.896, 0, 27, 1980 MHz, 235.16 W, 0 %, 28067 MiB
2026/04/22 03:39:43.900, 1, 31, 1980 MHz, 228.81 W, 0 %, 28067 MiB
2026/04/22 03:39:43.904, 2, 31, 1980 MHz, 225.44 W, 0 %, 28067 MiB
2026/04/22 03:39:43.906, 3, 31, 1980 MHz, 297.27 W, 38 %, 28067 MiB
2026/04/22 03:39:44.909, 0, 26, 1980 MHz, 112.70 W, 0 %, 28067 MiB
2026/04/22 03:39:44.913, 1, 30, 1980 MHz, 117.18 W, 0 %, 28067 MiB
2026/04/22 03:39:44.916, 2, 30, 1980 MHz, 115.84 W, 0 %, 28067 MiB
2026/04/22 03:39:44.919, 3, 29, 1980 MHz, 116.23 W, 0 %, 28067 MiB
2026/04/22 03:39:45.921, 0, 26, 1980 MHz, 112.61 W, 0 %, 28067 MiB
2026/04/22 03:39:45.926, 1, 30, 1980 MHz, 117.13 W, 0 %, 28067 MiB
2026/04/22 03:39:45.929, 2, 30, 1980 MHz, 115.79 W, 0 %, 28067 MiB
2026/04/22 03:39:45.932, 3, 29, 1980 MHz, 116.43 W, 0 %, 28067 MiB
2026/04/22 03:39:46.935, 0, 26, 1980 MHz, 112.63 W, 0 %, 28067 MiB
2026/04/22 03:39:46.939, 1, 30, 1980 MHz, 117.14 W, 0 %, 28067 MiB
2026/04/22 03:39:46.943, 2, 30, 1980 MHz, 115.73 W, 0 %, 28067 MiB
2026/04/22 03:39:46.946, 3, 29, 1980 MHz, 116.52 W, 0 %, 28067 MiB
2026/04/22 03:39:47.949, 0, 26, 1980 MHz, 112.60 W, 0 %, 28067 MiB
2026/04/22 03:39:47.953, 1, 30, 1980 MHz, 117.13 W, 0 %, 28067 MiB
2026/04/22 03:39:47.956, 2, 30, 1980 MHz, 115.79 W, 0 %, 28067 MiB
2026/04/22 03:39:47.960, 3, 29, 1980 MHz, 116.45 W, 0 %, 28067 MiB
2026/04/22 03:39:48.963, 0, 26, 1980 MHz, 112.58 W, 0 %, 28067 MiB
2026/04/22 03:39:48.967, 1, 30, 1980 MHz, 117.13 W, 0 %, 28067 MiB
2026/04/22 03:39:48.971, 2, 30, 1980 MHz, 115.73 W, 0 %, 28067 MiB
2026/04/22 03:39:48.974, 3, 29, 1980 MHz, 116.45 W, 0 %, 28067 MiB
2026/04/22 03:39:49.977, 0, 26, 1980 MHz, 112.58 W, 0 %, 28067 MiB
2026/04/22 03:39:49.982, 1, 30, 1980 MHz, 117.11 W, 0 %, 28067 MiB
2026/04/22 03:39:49.985, 2, 30, 1980 MHz, 115.70 W, 0 %, 28067 MiB
2026/04/22 03:39:49.988, 3, 29, 1980 MHz, 116.39 W, 0 %, 28067 MiB
2026/04/22 03:39:50.991, 0, 26, 1980 MHz, 112.63 W, 0 %, 28067 MiB
2026/04/22 03:39:50.995, 1, 30, 1980 MHz, 117.12 W, 0 %, 28067 MiB
2026/04/22 03:39:50.997, 2, 30, 1980 MHz, 115.76 W, 0 %, 28067 MiB
2026/04/22 03:39:51.000, 3, 29, 1980 MHz, 116.48 W, 0 %, 28067 MiB
2026/04/22 03:39:52.001, 0, 26, 1980 MHz, 112.63 W, 0 %, 28067 MiB
2026/04/22 03:39:52.006, 1, 30, 1980 MHz, 117.15 W, 0 %, 28067 MiB
