step,train_loss,val_bpb
0,,4.1115
1,8.9977,
2,12.9374,
3,10.3197,
4,8.7088,
5,7.9196,
100,3.6386,
200,3.1146,
300,2.9453,
400,2.6564,
500,2.6636,
600,2.7293,
700,2.8437,
800,2.7911,
900,2.7616,
1000,2.7696,
1100,2.6914,
1200,2.7219,
1300,2.7588,
1400,2.5997,
1500,2.5919,
1600,2.7153,
1700,2.6415,
1800,2.5827,
1900,2.7087,
2000,2.6558,
2100,2.7154,
2200,2.6012,
2300,2.6709,
2400,2.6617,
2500,2.5105,
2600,2.5012,
2700,2.6598,
2800,2.5586,
2900,2.4934,
3000,2.5772,
3100,2.4580,
3200,2.4821,
3300,2.5973,
3400,2.4975,
3500,2.4021,
3600,2.4619,
3700,2.5290,
3800,2.5139,
3900,2.5265,
4000,2.3946,1.1159
4100,2.3483,
4200,2.3888,
4300,2.4815,
4400,2.3578,
4500,2.3719,
4600,2.3958,
4700,2.3571,
4800,2.2752,
4900,2.3290,
4998,,1.0682
