timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 19:16:55.119, 0, 23, 345 MHz, 69.28 W, 0 %, 0 MiB
2026/04/22 19:16:55.124, 1, 25, 345 MHz, 68.74 W, 0 %, 0 MiB
2026/04/22 19:16:55.128, 2, 27, 345 MHz, 68.42 W, 0 %, 0 MiB
2026/04/22 19:16:55.133, 3, 22, 345 MHz, 68.91 W, 0 %, 0 MiB
2026/04/22 19:16:55.137, 4, 22, 345 MHz, 69.28 W, 0 %, 0 MiB
2026/04/22 19:16:55.142, 5, 26, 345 MHz, 69.64 W, 0 %, 0 MiB
2026/04/22 19:16:55.146, 6, 24, 345 MHz, 70.94 W, 0 %, 0 MiB
2026/04/22 19:16:55.150, 7, 23, 345 MHz, 67.48 W, 0 %, 0 MiB
2026/04/22 19:16:56.154, 0, 23, 345 MHz, 69.29 W, 0 %, 0 MiB
2026/04/22 19:16:56.156, 1, 25, 345 MHz, 68.73 W, 0 %, 0 MiB
2026/04/22 19:16:56.157, 2, 27, 345 MHz, 68.47 W, 0 %, 0 MiB
2026/04/22 19:16:56.158, 3, 22, 345 MHz, 68.93 W, 0 %, 0 MiB
2026/04/22 19:16:56.158, 4, 22, 345 MHz, 69.30 W, 0 %, 0 MiB
2026/04/22 19:16:56.159, 5, 26, 345 MHz, 69.77 W, 0 %, 0 MiB
2026/04/22 19:16:56.161, 6, 24, 345 MHz, 71.17 W, 0 %, 0 MiB
2026/04/22 19:16:56.162, 7, 23, 345 MHz, 67.46 W, 0 %, 0 MiB
2026/04/22 19:16:57.164, 0, 23, 345 MHz, 69.36 W, 0 %, 4 MiB
2026/04/22 19:16:57.167, 1, 25, 345 MHz, 68.73 W, 0 %, 4 MiB
2026/04/22 19:16:57.168, 2, 27, 345 MHz, 68.47 W, 0 %, 1 MiB
2026/04/22 19:16:57.170, 3, 22, 345 MHz, 68.88 W, 0 %, 1 MiB
2026/04/22 19:16:57.172, 4, 22, 345 MHz, 69.34 W, 0 %, 1 MiB
2026/04/22 19:16:57.172, 5, 26, 345 MHz, 69.73 W, 0 %, 1 MiB
2026/04/22 19:16:57.174, 6, 24, 345 MHz, 71.19 W, 0 %, 1 MiB
2026/04/22 19:16:57.176, 7, 23, 345 MHz, 67.49 W, 0 %, 1 MiB
2026/04/22 19:16:58.177, 0, 23, 345 MHz, 69.37 W, 0 %, 4 MiB
2026/04/22 19:16:58.267, 1, 25, 345 MHz, 68.75 W, 0 %, 4 MiB
2026/04/22 19:16:58.268, 2, 27, 345 MHz, 68.45 W, 0 %, 4 MiB
2026/04/22 19:16:58.269, 3, 22, 825 MHz, 71.45 W, 0 %, 4 MiB
2026/04/22 19:16:58.269, 4, 22, 345 MHz, 69.36 W, 0 %, 4 MiB
2026/04/22 19:16:58.271, 5, 26, 345 MHz, 69.76 W, 0 %, 4 MiB
2026/04/22 19:16:58.274, 6, 24, 345 MHz, 71.19 W, 0 %, 1 MiB
2026/04/22 19:16:58.278, 7, 23, 345 MHz, 67.43 W, 0 %, 1 MiB
2026/04/22 19:16:59.285, 0, 23, 345 MHz, 69.39 W, 0 %, 4 MiB
2026/04/22 19:16:59.287, 1, 25, 345 MHz, 68.80 W, 0 %, 4 MiB
2026/04/22 19:16:59.288, 2, 26, 345 MHz, 68.46 W, 0 %, 4 MiB
2026/04/22 19:16:59.288, 3, 22, 825 MHz, 72.19 W, 0 %, 4 MiB
2026/04/22 19:16:59.289, 4, 22, 345 MHz, 69.36 W, 0 %, 4 MiB
2026/04/22 19:16:59.290, 5, 26, 345 MHz, 69.74 W, 0 %, 4 MiB
2026/04/22 19:16:59.290, 6, 24, 345 MHz, 71.25 W, 0 %, 4 MiB
2026/04/22 19:16:59.291, 7, 23, 345 MHz, 67.48 W, 0 %, 4 MiB
2026/04/22 19:17:00.292, 0, 23, 345 MHz, 69.39 W, 0 %, 4 MiB
2026/04/22 19:17:00.293, 1, 25, 345 MHz, 68.73 W, 0 %, 4 MiB
2026/04/22 19:17:00.293, 2, 26, 345 MHz, 68.46 W, 0 %, 4 MiB
2026/04/22 19:17:00.294, 3, 22, 345 MHz, 68.99 W, 0 %, 4 MiB
2026/04/22 19:17:00.294, 4, 22, 345 MHz, 69.34 W, 0 %, 4 MiB
2026/04/22 19:17:00.295, 5, 26, 345 MHz, 69.74 W, 0 %, 4 MiB
2026/04/22 19:17:00.295, 6, 24, 345 MHz, 71.19 W, 0 %, 4 MiB
